,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
ShareAmountCurrent,20000000000,20000000000,20000000000,20000000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000,22353000000
WKCurrent,1350,1120,0,0,1010,970,0,0,1320,1420,1680,0,1710,1670,1760,1520,1510,1600,1770,1790,1510,1580,1550,1560,1490,1470,1420,1340,1200,1280,1190,1180,1150,1120,1010,1000,350,360,340
CWKCurrent,470,570,,,630,660,,,480,450,380,,370,380,360,420,420,400,360,360,420,400,410,410,430,440,450,480,530,500,540,540,560,570,630,640,1850,1800,1870
WKGrahamCurrent,240,30,0,0,-50,60,0,0,40,130,160,0,400,120,120,110,70,60,120,110,40,70,20,-110,-190,-190,-210,-180,-170,-190,-290,-300,-350,-330,-350,-370,-310,-270,-190
CWKGrahamCurrent,2650,23750,,,,10050,,,15110,5040,4100,,1590,5470,5160,5940,9110,9960,5470,5860,16710,9320,28840,,,,,,,,,,,,,,,,
PCurrent,230,1320,1330,1250,880,830,700,660,750,750,740,720,560,540,540,550,510,660,620,610,710,850,990,1030,980,920,350,820,790,460,800,160,10,10,10,10,10,10,20
CPCurrent,2760,480,480,510,730,770,910,980,860,860,870,890,1140,1180,1200,1170,1250,960,1030,1050,900,750,640,620,650,700,1840,780,810,1400,800,3910,72620,81280,84650,45710,43480,49500,29320
ZCurrent,80,-200,-210,-110,-30,20,30,320,350,510,520,680,380,230,240,-380,-170,-120,-10,260,270,320,140,100,10,-140,-190,-240,-300,-310,-320,-290,-170,-160,-190,-210,-800,-770,-640
CZCurrent,8530,,,,,40640,20440,2000,1830,1250,1220,940,1680,2730,2660,,,,,2490,2390,2029,4490,6470,63580,,,,,,,,,,,,,,
ZOCurrent,10,-150,-170,-70,-50,-20,-10,290,410,490,520,400,240,220,220,130,240,260,510,460,610,660,350,330,70,-90,-90,-160,-170,-170,-180,-130,-110,-100,-100,-90,-90,-90,-80
CZOCurrent,71510,,,,,,,2220,1550,1310,1230,1580,2690,2960,2970,5000,2710,2510,1260,1390,1050,980,1840,1930,8980,,,,,,,,,,,,,,
EVCurrent,300,600,640,640,560,560,640,640,580,310,480,640,560,410,560,510,640,750,650,650,730,610,780,800,780,680,780,730,770,790,820,830,840,850,860,880,900,900,930
EVPCurrent,1310,460,480,510,640,670,910,980,780,420,660,890,1000,750,1040,930,1250,1130,1050,1060,1030,720,780,780,800,740,2230,900,970,1740,1030,5070,95330,108480,113260,62610,60840,69480,42620
EVEBITCurrent,33910,-3930,-3670,-8630,-11080,-28650,-71890,2220,1410,640,930,1580,2350,1870,2590,3990,2720,2930,1280,1410,1190,940,2230,2410,10940,-7570,-8600,-4560,-4390,-4540,-4480,-6450,-7950,-8470,-8600,-9930,-10330,-10130,-11180
EVEBITDACurrent,15060,-6630,-5730,-54940,-111030,21430,17450,1770,1300,590,850,1490,2150,1730,2400,3370,2470,2680,1230,1340,1150,900,2080,2220,7440,-13040,-11340,-6420,-5600,-5400,-5650,-6580,-8050,-8580,-8720,-10040,-10500,-10260,-11350
DTAR,180,200,,,260,270,,,190,200,150,,200,200,210,230,270,300,170,190,260,220,190,180,200,240,190,190,220,190,250,240,260,260,270,290,490,490,520
CG,230,290,,,420,470,,,300,310,190,,280,270,300,330,390,470,220,250,390,310,250,230,260,330,230,240,290,240,340,320,360,340,380,400,940,960,1080
LDER,30,60,,,50,50,,,30,0,10,,20,20,20,20,10,10,10,10,10,10,10,10,10,0,90,0,0,80,80,100,130,130,140,140,140,120,140
PZAT,1830,1820,,,2000,2710,,,4040,15130,2910,,1030,1220,1370,1490,400,350,670,610,970,930,840,790,730,2600,30,1740,1450,20,20,20,10,10,10,0,10,10,0
PELDR,1280,1030,,,980,1070,,,900,1040,1140,,1390,1180,1170,1200,1160,1200,1060,1060,1060,1010,1000,970,960,960,1070,950,900,960,910,920,910,890,860,850,600,640,740
TSF,810,740,,,660,600,,,650,660,800,,750,750,740,710,690,660,780,760,680,720,750,790,770,730,890,790,760,870,810,830,830,840,830,810,590,570,550
ZKO,570,920,,,1150,880,,,900,770,670,,540,800,810,830,890,920,770,800,940,880,950,1430,1990,1650,2810,2220,1960,2570,3570,4600,6390,7250,13040,12930,18650,4780,2029
OSF,700,890,,,950,720,,,730,690,690,,650,790,810,810,880,910,760,800,910,840,900,1320,1800,1500,2710,2020,1680,2240,2930,3750,5010,5590,9670,9430,9860,2710,1310
NetDebt,-708000000,4298000000,,,6760000000,6502000000,,,6204000000,466000000,2650000000,,6140000000,2205000000,7219000000,6244000000,8784000000,13175000000,2036000000,3543000000,8840000000,4131000000,5484000000,6049000000,7486000000,7270000000,5687000000,5367000000,6432000000,4396000000,6685000000,6788000000,7971000000,7603000000,8028000000,8535000000,7134000000,7372000000,6872000000
NetDebtEBITDA,-1760,-2360,,,-59820,11150,,,620,40,210,,1060,420,1390,1840,1510,2110,170,330,630,270,660,750,3200,-6220,-3720,-2100,-2100,-1340,-2060,-2410,-3420,-3420,-3660,-4370,-3740,-3770,-3750
DebtFin,-6731000000,-732000000,,,-1760000000,-1813000000,,,-1287000000,-7343000000,-3499000000,,-1819000000,-5251000000,-1846000000,-2887000000,41000000,2427000000,205000000,149000000,1957000000,-579000000,3028000000,3544000000,3121000000,933000000,3025000000,2091000000,2818000000,3427000000,4001000000,4232000000,4474000000,4787000000,4835000000,5290000000,5709000000,5775000000,6495000000
DebtFinEBITDA,-16700,400,,,15580,-3110,,,-130,-620,-270,,-310,-1000,-360,-850,10,390,20,10,140,-40,360,440,1330,-800,-1980,-820,-920,-1040,-1230,-1500,-1920,-2150,-2200,-2710,-3000,-2950,-3540
