,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,68965517000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,82.52,12.24,-18.35,,,,-40.32,-29.57,-12.77,92.94,90.95,67.41,356.14,397.46,381.11,345.49,3.41,-14.40,-21.00,-25.66,-12.71,-7.65,-10.92,-5.00,-27.55
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,18.58,-30.67,-46.30,35.18,39.94,-14.14,18.77,33.79,22.70,133.94,29.54,29.39,13.61,-45.70,7.23,19.41,6.91,-36.24,13.45,15.18,14.02,-51.37
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-45.21,-10.91,22.47,,,,67.55,41.98,14.65,-48.17,-47.62,-40.27,-78.08,-79.90,-79.22,-77.55,-3.29,16.83,26.59,34.51,14.56,8.28,12.26,5.27,38.03
