,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
ShareAmountCurrent,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3872381000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000,3800000000
WKCurrent,1720,1520,1350,1460,1690,1560,1580,1730,1950,1840,1740,1780,1710,1370,1240,1400,1630,1500,1380,1540,1830,1780,1710,1810,1930,1810,1750,1830,2050,2040,1830,1920,2150,2110,2020,2160,2370,2290,2150,2150,2380,2310,2210,2360,2520,2430,2400,2530,2820,2750,2650,2780
CWKCurrent,1020,1150,1300,1200,1040,1120,1110,1010,900,950,1000,980,1020,1280,1410,1250,1070,1160,1260,1140,960,980,1020,970,900,970,1000,960,850,860,960,910,810,830,870,810,740,760,810,810,730,760,790,740,690,720,730,690,620,640,660,630
WKGrahamCurrent,540,500,580,700,970,650,670,740,680,590,500,520,460,130,-20,170,410,310,200,380,700,680,450,580,720,610,560,680,940,970,780,860,1120,990,910,1040,1280,1190,850,880,1140,1100,1020,1150,1340,1250,1220,1380,1570,1500,1360,1510
CWKGrahamCurrent,3230,3480,3040,2510,1810,2690,2620,2380,2580,2990,3510,3380,3810,13010,,10130,4240,5570,8650,4590,2490,2570,3920,3010,2420,2850,3140,2570,1870,1810,2230,2029,1560,1760,1930,1680,1370,1480,2050,1990,1530,1600,1720,1520,1310,1400,1440,1270,1120,1170,1290,1160
PCurrent,9720,8940,8810,9150,9180,9300,10830,10460,9240,8730,8070,7270,6770,6800,6320,6640,7570,7590,7480,7570,8270,8730,9350,9620,9730,9730,9540,9200,8189,7550,6780,6580,6500,6680,7340,7200,7600,7320,7140,6580,5530,5390,5410,5700,5590,5810,5830,6210,7070,7570,7570,7570
CPCurrent,180,200,200,190,190,190,160,170,190,200,220,240,260,260,280,260,230,230,230,230,210,200,190,180,180,180,180,190,210,230,260,270,270,260,240,240,230,240,250,270,320,320,320,310,310,300,300,280,250,230,230,230
ZCurrent,220,-160,-160,-70,40,40,230,260,260,270,160,60,-240,-460,-500,-380,-110,110,120,110,190,280,330,270,110,30,30,20,110,230,90,90,110,70,180,250,210,180,140,-10,20,20,60,210,140,120,190,170,290,320,250,250
CZCurrent,8029,,,,44580,41570,7560,6700,6770,6440,11020,31820,,,,,,16460,14650,16059,8990,6220,5340,6420,16219,70000,51950,99250,15430,7610,20400,20030,16500,23920,9490,7050,8220,9870,12860,,100760,73080,29560,8400,12480,14840,9380,10080,5990,5530,7060,7040
ZOCurrent,340,-80,-70,0,140,100,270,340,370,390,280,170,-180,-310,-330,-210,60,200,210,180,300,400,440,400,220,160,160,130,240,340,190,180,190,150,280,340,290,280,210,60,80,70,100,270,210,180,250,270,410,440,370,360
CZOCurrent,5110,,,564720,12430,18320,6420,5220,4720,4470,6250,10390,,,,,27710,8690,8310,9610,5890,4420,3950,4350,7890,11080,11230,13350,7450,5220,9070,9470,9000,11790,6180,5100,5950,6320,8330,30930,21590,26180,16840,6540,8280,9620,6960,6590,4240,4000,4750,4890
EVCurrent,1730,1730,1710,1700,1700,1700,1650,1700,1470,1700,1730,1710,1680,1690,1740,1720,1720,1720,1740,1730,1740,1740,1740,1730,1740,1720,1750,1730,1600,2730,1780,1760,2620,2490,2650,2720,2210,2410,2690,2580,1740,1820,1860,2730,2480,2590,2730,2730,2500,2270,2570,2800
EVPCurrent,180,190,190,190,190,180,150,160,160,190,210,230,250,250,280,260,230,230,230,230,210,200,190,180,180,180,180,190,200,360,260,270,400,370,360,380,290,330,380,390,320,340,340,480,440,450,470,440,350,300,340,370
EVEBITCurrent,5050,-21190,-25330,549970,12110,17780,6070,5080,3970,4330,6160,10130,-9510,-5520,-5210,-8050,27230,8560,8290,9510,5850,4410,3920,4290,7830,10920,11200,13180,6800,8140,9250,9550,13450,16780,9360,7940,7510,8710,12810,45600,21490,27300,17860,10210,11730,14250,10840,10260,6060,5180,6980,7820
EVEBITDACurrent,3450,21810,18620,10610,5740,6780,3910,3520,2860,3110,3950,5220,-110300,-10820,-9480,-27350,7910,4820,4820,5230,3890,3200,2910,3050,4420,5140,5190,5660,3970,5530,5250,5420,7940,8910,6420,5770,5230,5980,8000,14290,8610,9850,8610,7310,7930,9280,7810,8700,4890,4210,5470,6110
DTAR,430,560,470,630,560,490,570,600,550,480,560,570,590,610,630,660,640,560,580,640,620,500,590,630,640,540,580,580,550,440,450,550,510,390,470,540,460,350,440,470,430,370,420,480,410,390,440,500,440,400,390,460
CG,770,1280,1030,1910,1470,940,1310,1500,1230,930,1250,1330,1420,1570,1720,1960,1780,1290,1370,1790,1620,1020,1440,1710,1790,1170,1400,1390,1210,790,810,1230,1030,650,870,1160,840,540,780,900,760,590,720,940,710,640,780,980,800,660,640,860
