,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
ShareAmountCurrent,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000,69200000000
WKCurrent,1750,2290,3160,3180,3190,3190,3210,3230,3370,3390,3420,3450,3490,3520,3570,4220,4300,4330,4360,4390,4400,4430,4410,4440,4580,4620,4690,4750,4820,4880,4920
CWKCurrent,920,700,510,510,510,500,500,500,480,470,470,470,460,460,450,380,370,370,370,370,370,360,370,360,350,350,340,340,330,330,330
WKGrahamCurrent,1310,-150,660,670,620,560,290,80,-10,-10,10,-70,20,40,50,1700,1580,1590,1590,1570,1470,1460,1410,1450,1450,1450,1460,1310,1100,1150,1200
CWKGrahamCurrent,1230,,2420,2420,2580,2870,5650,20290,,,146630,,105920,42370,35200,950,1020,1010,1010,1030,1100,1100,1140,1110,1110,1110,1100,1230,1460,1400,1340
PCurrent,290,1030,1610,1860,1420,1160,1190,1170,1490,1550,1480,1510,1260,1310,1520,1220,1270,1280,1220,1180,1200,1150,1070,1020,1140,1230,1530,1840,1990,2270,2330
CPCurrent,5490,1560,1000,870,1140,1380,1350,1370,1080,1040,1090,1070,1280,1230,1060,1320,1270,1260,1320,1360,1340,1400,1510,1580,1410,1310,1050,870,810,710,690
ZCurrent,-20,310,350,390,100,50,60,50,180,200,200,220,120,130,150,100,100,110,110,120,110,100,80,90,210,220,280,310,240,260,260
CZCurrent,,5260,4610,4090,16270,34200,27430,31810,8980,8250,7860,7300,13190,12730,10940,16400,16350,14600,14470,13890,15030,15760,20740,18590,7720,7180,5690,5240,6630,6150,6280
ZOCurrent,-10,360,460,540,220,140,160,140,330,350,360,370,250,260,280,210,190,190,180,180,160,160,130,140,300,320,390,420,330,360,370
CZOCurrent,,4460,3520,3010,7340,11210,9860,11330,4950,4630,4450,4400,6330,6210,5700,7690,8510,8390,8740,9020,9800,10100,12420,11690,5310,5040,4100,3830,4890,4430,4410
EVCurrent,2190,3520,2900,2930,3390,3620,3640,2510,2540,2820,2390,2300,2440,2290,2190,2000,2050,2470,2150,2280,2130,2360,2180,2550,2430,2420,2300,2420,2200,2140,2110
EVPCurrent,7480,3410,1800,1570,2400,3120,3060,2140,1710,1820,1620,1530,1940,1750,1440,1640,1610,1930,1760,1930,1770,2050,2050,2510,2130,1970,1500,1310,1100,940,910
EVEBITCurrent,-383820,9770,6330,5470,15480,25230,22330,17690,7820,8100,6620,6280,9610,8820,7770,9530,10820,12860,11690,12790,12960,14840,16850,18500,8020,7570,5850,5750,6670,5880,5770
EVEBITDACurrent,-697200,9410,5920,5150,13970,23570,21040,16580,7620,7930,6500,6190,9400,8620,7620,9350,10600,12580,11390,12440,12570,14340,16160,17770,7860,7430,5770,5670,6550,5780,5680
DTAR,460,610,480,500,530,540,560,570,560,560,550,550,550,540,530,210,200,200,200,190,220,230,250,270,250,260,230,250,260,250,240
CG,840,1600,940,1010,1140,1190,1300,1380,1300,1290,1280,1260,1230,1210,1140,270,250,240,240,240,290,300,330,370,330,350,300,330,360,330,310
LDER,250,770,640,640,770,840,940,960,910,940,830,790,800,760,720,110,130,120,150,140,180,180,170,210,240,220,170,190,170,170,180
PZAT,1000,1410,1230,1220,1060,980,980,980,1080,1040,1170,1260,1210,1270,1320,5090,4700,4910,3920,4160,3410,3470,3540,2850,2610,2890,3690,3580,4160,4010,3930
PELDR,5340,1660,2020,2020,2140,2190,2080,2009,1860,1890,1810,1730,1800,1780,1750,1820,1790,1790,1820,1780,1780,1770,1740,1830,1810,1770,1700,1710,1520,1540,1560
TSF,680,670,830,810,820,830,830,810,820,840,790,780,800,790,790,870,900,900,920,920,920,910,880,890,930,900,900,890,860,880,900
ZKO,530,1040,820,830,850,870,940,980,1000,1000,1000,1020,1000,990,990,400,410,400,400,400,460,480,510,530,510,530,490,540,610,590,560
OSF,2080,950,1000,1010,1030,1020,1000,980,970,970,970,970,970,980,970,650,650,630,630,630,690,710,750,790,750,770,720,750,790,770,740
NetDebt,72213050000,178118190000,144153000000,157912000000,178086000000,187668000000,204805000000,220225000000,213243000000,215628000000,214916000000,212809000000,211289000000,207006000000,195641000000,73910000000,71431000000,66949000000,69305000000,67835000000,76913000000,88769000000,97444000000,104231000000,94215000000,105023000000,94732000000,103004000000,105658000000,94901000000,85631000000
NetDebtEBITDA,-458870,9510,5890,5550,14660,24410,23650,29050,12790,12140,11680,11450,16250,15620,13590,5000,5340,4930,5300,5340,6560,7780,10420,10510,4400,4660,3430,3490,4550,3710,3330
DebtFin,29218520000,95715990000,64399000000,65887000000,89194000000,100698000000,101720000000,45148000000,46590000000,60319000000,39189000000,34471000000,41670000000,33787000000,29160000000,26743000000,30330000000,59343000000,37577000000,46606000000,35942000000,52195000000,39726000000,64865000000,56833000000,56062000000,47789000000,55722000000,40589000000,36388000000,34498000000
DebtFinEBITDA,-185670,5110,2630,2320,7340,13100,11740,5960,2790,3400,2130,1860,3210,2550,2029,1810,2270,4370,2870,3670,3060,4570,4250,6540,2650,2490,1730,1890,1750,1420,1340
SP1,3940,910,1220,1220,1200,1170,1070,1000,970,970,980,950,980,980,990,1630,1580,1580,1580,1560,1500,1490,1470,1490,1460,1460,1450,1380,1300,1310,1320
SP2,4930,1610,2009,2009,2120,2160,2070,1950,1860,1880,1790,1710,1760,1730,1700,1820,1780,1770,1810,1780,1770,1760,1730,1810,1810,1770,1700,1640,1520,1540,1560
CAR,20,50,80,40,50,50,80,40,100,40,50,60,60,80,110,80,100,160,160,180,300,90,80,200,380,160,80,110,230,330,440
QR,-110,90,140,80,100,60,190,-10,170,130,80,80,30,80,80,440,490,560,1000,820,780,460,230,220,570,340,240,100,560,720,910
CR,2700,1850,3830,3310,3610,3880,3810,3350,3290,3710,2850,2620,2840,2700,2740,4390,4880,4960,6490,6160,5930,5210,4150,4500,6790,4970,4590,4210,3100,3580,4110
PP,20,50,80,40,50,50,80,40,100,40,50,60,60,80,110,80,100,160,160,180,310,90,80,200,380,160,80,110,230,330,440
RCLR,50,110,70,60,90,70,120,70,80,80,60,50,60,80,80,360,400,430,810,610,480,360,180,130,180,130,130,350,320,340,430
KP,540,270,430,420,440,460,440,410,390,410,360,340,360,340,340,400,390,390,410,400,400,390,370,400,420,390,370,350,290,310,320
PKKO,6970,2020,2310,2080,3280,4150,4080,3910,2810,2840,2690,2440,3240,2950,2380,2430,2240,2240,2520,2590,2640,2770,2910,3430,3110,2740,1980,1600,1280,1150,1160
RN,5610,6710,12690,15260,14880,14630,12160,11280,14360,14140,15170,16270,14060,13620,14710,10290,8119,6670,4840,4550,4610,4570,5310,6400,9300,13030,18640,15520,11610,10470,8660
CRN,65000,54000,29000,24000,25000,25000,30000,32000,25000,26000,24000,22000,26000,27000,25000,35000,45000,55000,75000,80000,79000,80000,69000,57000,39000,28000,20000,24000,31000,35000,42000
CPZ,1273000,506000,267000,241000,269000,347000,356000,376000,306000,297000,333000,344000,426000,439000,374000,298000,246000,201000,159000,148000,139000,145000,181000,213000,189000,181000,141000,117000,130000,120000,119000
RZ,90,240,350,390,260,200,200,200,260,270,250,260,210,230,280,320,360,380,380,370,380,350,310,270,310,320,410,510,580,710,770
CRZ,3895000,1509000,1029000,935000,1383000,1786000,1807000,1869000,1407000,1366000,1446000,1383000,1735000,1621000,1322000,1128000,1012000,957000,960000,979000,967000,1046000,1187000,1340000,1193000,1124000,889000,720000,632000,513000,471000
RMO,110,290,450,510,370,290,280,270,330,350,340,350,290,300,360,410,440,460,450,450,450,430,390,350,390,410,510,620,680,800,830
RMT,660,740,820,730,550,440,430,400,480,470,430,430,350,370,420,470,480,480,450,430,430,400,360,340,380,400,490,570,590,640,640
RM,90,210,290,300,220,170,170,160,200,200,190,190,160,170,190,220,230,230,230,220,220,210,190,170,190,200,250,300,320,360,360
COP,3960000,1563000,1058000,959000,1408000,1811000,1837000,1901000,1432000,1392000,1470000,1405000,1761000,1648000,1347000,1163000,1057000,1012000,1035000,1059000,1046000,1126000,1256000,1397000,1232000,1152000,909000,744000,663000,548000,513000
CSP,2687000,1057000,791000,718000,1139000,1464000,1481000,1525000,1126000,1095000,1137000,1061000,1335000,1209000,973000,865000,811000,811000,876000,911000,907000,981000,1075000,1184000,1043000,971000,768000,627000,533000,428000,394000
