,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,108849600000,108849600000,108849600000,108849600000,108849600000,119207920000,119207920000,119207920000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000,117411596000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-12.63,27.49,,,,28.57,25.20,11.74,15.43,3.58,-0.64,-1.30,-5.23,-2.59,-5.17,-5.12,-3.87,-13.11,-14.99,-17.63,-17.78,-46.08,-45.15,-43.06,-45.05,4.37,25.01,43.68,58.73,59.63,51.06,40.84
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,8.85,9.23,-0.35,8.51,6.00,-2.51,2.95,-2.64,1.69,-3.17,-1.15,0.08,-1.01,-3.12,0.15,-9.53,-3.15,-6.13,-0.04,-40.67,-1.48,-2.55,-3.53,12.69,18.01,12.00,6.57,13.32,11.68,4.42
