,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
ShareAmountCurrent,256250000000,256250000000,256250000000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54698280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,54073280000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000,88859443000
WKCurrent,440,470,750,7790,8119,10050,10400,11040,11280,5870,5390,6820,7190,6790,7930,8189,8950,8550,8920,9020,9110,9130,9170,9290,9180,9310,9380,9400,9450,9490,9600,9600,7100,7060,7070,7110,7060,7050,6950,7360,7460,7350,7370,7300,7380,7630,7650,7390
CWKCurrent,6580,6250,3870,370,360,290,280,260,260,500,540,430,410,430,370,360,330,340,330,320,320,320,320,310,320,310,310,310,310,310,300,300,410,410,410,410,410,410,420,400,390,400,400,400,400,380,380,400
WKGrahamCurrent,-670,-820,-560,1760,2050,3080,3410,4030,4240,-2770,-3210,-1000,-570,-990,130,-1080,-390,-2000,-2000,-1960,-2110,-3590,-3870,-6900,-7270,-7510,-7960,-7790,-7770,-6880,-6810,-5960,-2440,-3120,-3010,-3070,-2700,-2690,-2820,-1790,-1690,-60,20,-100,-20,-760,-1200,-990
CWKGrahamCurrent,,,,1660,1430,950,860,720,690,,,,,,21960,,,,,,,,,,,,,,,,,,,,,,,,,,,,119350,,,,,
PCurrent,1620,1620,2830,10420,10760,14280,14640,16270,17100,13880,15970,13780,13500,13040,10800,11400,12570,11470,11600,11050,8370,7000,5540,5830,5540,6580,7300,7050,7440,6060,5680,4870,2520,2400,2140,2510,2590,2280,2410,3710,5260,5520,5740,4180,3170,4550,4280,4040
CPCurrent,1810,1800,1030,280,270,200,200,180,170,210,180,210,220,220,270,260,230,250,250,260,350,420,530,500,530,440,400,410,390,480,510,600,1160,1220,1360,1160,1130,1280,1210,790,560,530,510,700,920,640,680,720
ZCurrent,20,40,520,1740,1890,2710,2720,2880,2910,1510,1950,1780,1790,1840,1510,1520,1830,1700,1730,1570,1000,580,270,280,70,180,210,110,270,210,230,230,140,90,50,80,10,60,-60,300,450,280,410,-50,-80,290,280,90
CZCurrent,172570,66370,5670,1680,1550,1080,1080,1010,1000,1930,1500,1640,1640,1590,1940,1920,1600,1720,1690,1860,2920,5050,10950,10440,42120,16530,13830,25800,10910,13800,12820,12890,21540,31110,54300,34630,199680,45250,,9710,6490,10390,7090,,,10000,10510,32280
