,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950,11950
ShareAmountCurrent,1700000000,1700000000,1700000000,1700000000,1700000000,2030000000,2030000000,2030000000,2030000000,2030000000,2030000000,2030000000,2030000000,2030000000,2026000000,2026000000,2026000000,2026000000,2026000000,2026000000,2026000000,2026000000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000,2485032000
WKCurrent,830,1360,2020,2960,3100,6540,0,7510,7250,7000,0,7460,7590,7730,0,9220,9620,8010,0,9440,9510,10140,10360,10060,9580,9390,9400,9510,9170,9060,11270,11440,10950,10150,10480,11070,10650,9580,9540,10240,10220,9260,9780,10760,10800,9890
CWKCurrent,14460,8790,5920,4040,3850,1830,,1590,1650,1710,,1600,1570,1550,,1300,1240,1490,,1270,1260,1180,1150,1190,1250,1270,1270,1260,1300,1320,1060,1040,1090,1180,1140,1080,1120,1250,1250,1170,1170,1290,1220,1110,1110,1210
WKGrahamCurrent,330,820,1170,1270,1020,4640,0,4650,4430,4290,0,4430,4550,4840,0,5580,6130,3880,0,3910,2970,1430,3340,1020,550,-10,30,-30,-1110,-1600,2040,2580,1940,1340,1730,2670,1040,120,90,1330,1530,700,1500,3160,3200,2440
CWKGrahamCurrent,35890,14640,10190,9420,11760,2580,,2570,2700,2780,,2700,2620,2470,,2140,1950,3080,,3060,4030,8350,3580,11710,21850,,349370,,,,5870,4630,6160,8930,6900,4480,11490,100660,138120,8980,7790,17060,7970,3780,3730,4890
PCurrent,3710,6910,9000,15290,17180,15330,16870,20120,20330,21110,21340,21260,23430,24940,26820,27530,28790,29070,29820,30990,30680,31300,24210,22070,21180,20110,21430,23990,24800,28140,29700,31910,33380,33980,35060,35250,35680,35580,35970,37980,40280,41000,42980,44390,44930,45380
CPCurrent,3220,1730,1330,780,700,780,710,590,590,570,560,560,510,480,450,430,420,410,400,390,390,380,490,540,560,590,560,500,480,420,400,370,360,350,340,340,330,340,330,310,300,290,280,270,270,260
ZCurrent,130,350,660,940,1010,760,110,1260,850,460,650,10,340,780,1870,2009,2500,2680,2310,2380,1890,2009,1140,70,-470,-1070,-950,-470,-320,-250,1950,1930,1780,2090,210,630,700,430,60,170,570,680,1240,1520,1590,1710
CZCurrent,89100,34030,18140,12740,11780,15680,108780,9480,14130,26230,18320,1102660,34660,15260,6380,5930,4780,4460,5180,5030,6330,5960,10520,172650,,,,,,,6120,6190,6720,5710,56350,18890,17170,27990,184450,71210,21080,17560,9660,7840,7520,6980
ZOCurrent,240,580,880,1380,1510,1100,300,1620,1100,570,750,70,420,930,2140,2450,3160,3470,3180,2950,2180,1020,150,-1100,-1690,-1410,-1220,-480,-110,190,260,180,-130,-40,320,800,820,680,190,300,890,1140,1830,2040,2070,2040
