,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q4,2015/Q4,2016/Q4,2017/Q4
QuoteCurrent,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,
ShareAmountCurrent,6500000000,6500000000,6500000000,7296000000,7296000000,9296000000,9296000000,9296000000,9296000000,9296000000,9296000000,9296000000,9296000000,9296000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,
WKCurrent_yy,,1.15,163.25,47.49,,,,16.14,-8.39,-19.50,-19.34,-4.05,-17.31,-12.41
WKCurrent_sy,,,,,,,,,,,,,,
WKCurrent_qq,,,,,9.89,11.42,1.09,-6.17,-13.32,-2.09,,,,
WKCurrent_sq,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,
CWKCurrent_yy,,-1.13,-62.00,-32.25,,,,-13.80,9.25,24.18,23.88,4.27,20.90,14.16
CWKCurrent_sy,,-11.99,-6.23,-25.64,,,,-34.08,-35.06,-19.50,-8.46,-18.71,-5.13,12.17
CWKCurrent_qq,,,,,-9.01,-10.15,-1.14,6.66,15.33,2.12,,,,
CWKCurrent_sq,,,,,-5.74,-27.14,-8.45,4.85,-7.15,-9.68,,,,
WKGrahamCurrent,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-7.29,10.36,223.66,,,,128.30,59.49,-0.62,9.49,3.55,-6.49,-12.52
WKGrahamCurrent_sy,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,32.70,82.99,8.81,-13.60,-7.30,14.02,,,,
WKGrahamCurrent_sq,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,-56.20,-37.31,0.65,-8.65,-3.42,6.90,14.33
CWKGrahamCurrent_sy,,,,,,,,-18.95,75.68,228.80,5.33,-20.63,24.92,-10.72
CWKGrahamCurrent_qq,,,,,-24.63,-45.36,-8.08,15.70,7.87,-12.27,,,,
