,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950,6950
ShareAmountCurrent,2340248000,2340248000,2340248000,2340248000,2340248000,2340248000,2340248000,2340248000,2340248000,2340248000,2340248000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000,4680496000
WKCurrent,5240,4520,4190,4050,0,1400,2320,1740,0,3360,3840,4790,0,5340,5450,5440,0,5370,5370,5910,0,5100,10420,10820,0,10620,10660,10650,0,8810,8860,9250,9630,9610,9850,10070,10200,9990,10330,10610,10900,10830,10940,10880,11130,11050,11330,11380,11500,13520,13670,13560
CWKCurrent,1330,1540,1660,1720,,4950,2990,3990,,2070,1810,1450,,1300,1280,1280,,1290,1290,1180,,1360,670,640,,650,650,650,,790,780,750,720,720,710,690,680,700,670,650,640,640,640,640,620,630,610,610,600,510,510,510
WKGrahamCurrent,-1090,30,-1600,-290,0,-2570,-1620,-2070,0,-780,-210,2300,0,1530,1520,1280,0,1470,1610,700,0,-1220,-2610,-7190,0,-7240,-7020,-6030,0,-5720,-5370,-4410,-4200,-4330,-4600,-3750,-3950,-4010,-3740,-3440,-3140,-3260,-3080,-3250,-4340,-4640,-5700,-5420,-6640,-7320,-8050,-7680
CWKGrahamCurrent,,216860,,,,,,,,,,3020,,4550,4560,5440,,4740,4310,9980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,7160,4090,3760,3690,4220,4970,5760,5950,6820,8490,9000,4580,4460,4630,4740,4780,4940,4040,3940,3640,2960,2350,3770,5930,8820,11310,11530,17510,11240,11340,11150,5250,11140,11380,11690,12090,11910,12020,12050,12470,13050,13360,13820,13880,13820,13910,13670,13430,13740,14080,15630,17440
CPCurrent,970,1700,1850,1880,1650,1400,1210,1170,1020,820,770,1520,1560,1500,1470,1450,1410,1720,1760,1910,2350,2960,1840,1170,790,610,600,400,620,610,620,1320,620,610,590,580,580,580,580,560,530,520,500,500,500,500,510,520,510,490,440,400
ZCurrent,-2580,-720,-910,-890,-550,-3120,-2610,-2310,-1490,1950,2230,1050,940,810,630,580,340,10,0,-140,-230,-230,5010,5530,5850,5490,90,-1950,-650,-1820,-1660,410,-760,860,1070,920,700,400,510,630,790,1000,770,640,580,570,750,610,480,2530,2370,2180
CZCurrent,,,,,,,,,,3560,3120,6620,7430,8590,11060,11950,20320,492870,,,,,1390,1260,1190,1270,75830,,,,,16900,,8050,6490,7540,9930,17320,13600,11100,8830,6950,9020,10840,11960,12220,9290,11430,14590,2750,2940,3190
ZOCurrent,-1080,-510,-680,-590,-400,-2940,-2390,-1910,-1370,2060,2290,940,910,710,500,460,240,-30,-30,-70,-170,-300,-310,-460,-350,-720,-860,-2820,-610,-2320,-2100,380,-1580,500,560,660,610,890,1070,1170,1450,1480,1420,1290,1170,1100,1110,890,790,770,760,730
CZOCurrent,,,,,,,,,,3370,3030,7360,7660,9770,13930,15210,28970,,,,,,,,,,,,,,,18260,,13920,12360,10470,11470,7810,6520,5930,4800,4710,4880,5410,5950,6290,6260,7830,8760,9040,9200,9540
EVCurrent,8050,6580,8140,6640,6950,8370,8340,8130,6950,8270,6660,4470,6950,5870,5940,5910,6950,5540,5740,6610,6950,7780,9470,12530,6950,12100,11890,11560,6950,10800,10530,10290,10080,10300,10410,10310,9890,10360,10230,9890,9900,10000,9750,9800,11280,11390,13000,12560,13840,13330,15310,14970
