,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
ShareAmountCurrent,6000000000,6000000000,6000000000,6000000000,6000000000,7450000000,7450000000,7450000000,8194999000,8194999000,8194999000,8194999000,8194999000,8194999000,8194999000,8194999000,8194999000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9572349000,9793974000,9793974000
WKCurrent,940,1490,2900,2910,0,0,10760,11070,13330,13260,13720,13850,13850,13610,13870,13500,14070,12180,12680,12100,12750,0,13360,13280,12640,13130,13290,13430,13880,14980,15350,15650,15930,16910,17130,17540,17110,17410,17880,18120,18430,18900,20920,19410,19740,20220,16550,16340
CWKCurrent,3620,2290,1170,1170,,,320,310,260,260,250,250,250,250,250,250,240,280,270,280,270,,250,260,270,260,260,250,250,230,220,220,210,200,200,190,200,200,190,190,180,180,160,180,170,170,210,210
WKGrahamCurrent,-290,-400,150,100,0,0,7690,-1940,4460,3510,2100,3180,3180,2820,2990,1600,-3910,-2009,-2020,-3280,3140,0,4030,4030,3420,4100,4130,4260,4490,4780,4840,5240,5640,6730,5400,5000,4270,4570,430,740,1160,1710,2400,2450,2650,3100,4280,4330
CWKGrahamCurrent,,,22820,33890,,,440,,760,970,1620,1070,1070,1210,1140,2120,,,,,1080,,840,840,990,830,820,800,760,710,700,650,600,510,630,680,800,740,7900,4620,2930,1990,1420,1390,1280,1100,790,790
PCurrent,26840,38580,56390,62370,66740,59810,69710,75680,77880,83230,92570,95660,98410,100820,98960,99770,100850,97240,91740,95510,99510,102290,106750,107410,108390,117040,130060,144420,163470,170230,179220,191660,202730,223380,234680,245050,237400,232470,220410,209690,215220,210250,210260,210190,207130,214530,208780,207950
CPCurrent,130,90,60,50,50,60,50,40,40,40,40,40,30,30,30,30,30,40,40,40,30,30,30,30,30,30,30,20,20,20,20,20,20,20,10,10,10,10,20,20,20,20,20,20,20,20,20,20
ZCurrent,430,560,1450,1450,1390,1140,1390,1560,1500,1150,710,240,300,220,-70,-90,260,530,870,480,830,2000,910,1060,320,-430,250,840,1290,2280,2490,2650,2710,2230,2110,2170,1680,1000,1250,1100,1380,1450,1430,1360,1360,1400,-3840,-4059
CZCurrent,7960,6120,2340,2350,2440,2990,2450,2180,2260,2960,4780,14430,11340,15130,,,13100,6390,3910,7030,4100,1700,3720,3220,10700,,13860,4030,2630,1490,1360,1280,1250,1530,1610,1570,2029,3410,2730,3090,2460,2340,2370,2510,2500,2420,,
