,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,9870000000,9870000000,9870000000,9870000000,9870000000,13870000000,13870000000,13870000000,13870000000,13870000000,13870000000,13870000000,13870000000,13870000000,13870000000,13821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000,19821404000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,129.22,68.01,91.79,,,,115.48,101.35,-2.10,,-1.26,-8.59,2.77,2.86,3.66,-21.11,25.29,19.55,-22.97,11.62,-41.13,-37.16,-4.11,-3.37,-6.02,-7.72,-6.86,-10.38,-17.67,-15.71,-10.45,-8.78,68.49
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,11.32,78.75,-100.00,,4.02,-13.10,5.16,3.87,-3.71,-2.30,5.26,4.68,-26.71,55.17,0.43,-32.55,6.19,-18.16,7.20,2.93,7.01,-20.41,5.26,3.89,2.97,-26.88,7.76,10.38,4.88,35.07
