,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000
ShareAmountCurrent,35426120000,35426120000,35426120000,35426120000,35426120000,35426120000,35426120000,35426120000,35426120000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000,32793448000
WKCurrent,117580,141910,142990,151900,161940,153740,155840,160350,168130,174760,175540,177110,188670,180260,182550,188700,200330,185420,194720,192420,196480,190350,189090,196340,209420
CWKCurrent,2060,1710,1690,1590,1490,1570,1550,1510,1440,1380,1380,1370,1280,1340,1330,1280,1210,1310,1240,1260,1230,1270,1280,1230,1160
WKGrahamCurrent,23120,34400,36300,41790,46800,39650,41990,43750,48280,43760,44580,50350,58610,51010,54490,59740,64590,52480,54760,57680,62900,54540,57830,65190,74590
CWKGrahamCurrent,10470,7040,6670,5790,5170,6100,5760,5530,5010,5530,5430,4810,4130,4740,4440,4050,3750,4610,4420,4200,3850,4440,4190,3710,3240
PCurrent,112910,134110,131940,136690,138590,140740,140580,143260,141670,152460,154880,150600,152080,153200,151340,152090,153250,151880,158440,158320,160490,163700,161070,165370,167830
CPCurrent,2140,1800,1830,1770,1750,1720,1720,1690,1710,1590,1560,1610,1590,1580,1600,1590,1580,1590,1530,1530,1510,1480,1500,1460,1440
ZCurrent,19120,20300,18450,19120,20120,20550,20230,19530,21070,22250,21600,22690,21880,21960,20560,18490,15210,13840,14630,14680,16950,18020,19410,20490,21130
CZCurrent,12660,11920,13110,12660,12030,11780,11960,12390,11490,10880,11200,10660,11060,11020,11770,13090,15910,17480,16540,16490,14270,13430,12470,11810,11450
ZOCurrent,23640,26380,22190,23070,24890,26250,26640,27670,25950,28930,36000,32880,32750,34360,25920,26720,24810,18600,16520,14970,19760,22360,25280,28260,27330
CZOCurrent,10240,9170,10900,10490,9720,9220,9080,8750,9320,8370,6720,7360,7390,7040,9340,9060,9760,13010,14650,16170,12250,10820,9570,8560,8850
EVCurrent,247600,248080,242300,242250,241920,239390,234030,234470,228580,237360,243800,242870,237410,238190,235810,231820,234680,234630,236790,239490,235170,237940,236160,232180,230540
EVPCurrent,2190,1850,1840,1770,1750,1700,1660,1640,1610,1560,1570,1610,1560,1550,1560,1520,1530,1540,1490,1510,1470,1450,1470,1400,1370
EVEBITCurrent,10470,9410,10920,10500,9720,9120,8780,8480,8810,8200,6770,7390,7250,6930,9100,8680,9460,12610,14340,16000,11900,10640,9340,8220,8440
EVEBITDACurrent,7550,6660,7440,7190,6780,6430,6210,6010,6140,5760,5010,5320,5170,4980,5920,5710,6040,7190,7690,8180,6980,6560,6060,5510,5540
DTAR,290,260,240,230,240,240,240,240,250,240,250,240,220,220,220,220,230,220,240,230,220,230,220,220,200
CG,410,350,310,300,320,320,320,310,320,310,330,310,280,280,290,290,300,290,320,300,290,300,290,290,260
LDER,190,140,120,110,110,100,100,90,100,110,90,90,80,80,80,80,70,80,80,80,80,80,80,80,80
PZAT,3390,4560,5310,5360,5430,6140,6390,6490,5760,5790,6750,6790,6810,7920,7440,7510,7710,7720,7580,7560,7530,7440,7140,7010,6960
PELDR,1480,1500,1500,1530,1560,1480,1500,1500,1550,1480,1460,1520,1570,1500,1540,1570,1580,1500,1500,1540,1580,1510,1560,1610,1670
TSF,840,840,850,850,840,830,830,830,830,840,820,830,850,840,840,830,830,840,820,830,830,830,840,840,860
ZKO,680,590,550,520,530,560,540,530,530,550,560,520,470,490,490,480,480,510,540,500,470,510,490,460,420
OSF,840,780,740,720,740,750,740,730,740,740,760,730,690,690,700,700,710,700,740,720,700,720,700,690,650
NetDebt,426435000000,373484000000,362554000000,370576000000,407335000000,392559000000,359206000000,359555000000,350731000000,391456000000,419686000000,419193000000,377733000000,356873000000,355586000000,341047000000,388566000000,352221000000,428367000000,411134000000,376240000000,402201000000,385484000000,353716000000,311631000000
