,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
ShareAmountCurrent,10653751000,10653751000,10653751000,12251813000,12251813000,12251813000,12251813000,12251813000,12251813000,12251813000,12251813000,12251813000,12251813000,12251813000
WKCurrent,3040,3480,3620,4950,5100,4690,4640,4140,4380,4350,4420,4440,4550,4390
CWKCurrent,1840,1610,1550,1130,1100,1190,1210,1350,1280,1290,1270,1260,1230,1270
WKGrahamCurrent,-1570,-1330,-1800,-320,-660,-1420,-2029,-2400,-2190,-2160,-2050,-1990,-2300,-2610
CWKGrahamCurrent,,,,,,,,,,,,,,
PCurrent,9900,12490,15670,13490,13830,13800,13450,13610,13890,14030,15310,16880,18120,19240
CPCurrent,570,450,360,420,410,410,420,410,400,400,370,330,310,290
ZCurrent,270,410,1130,1110,1140,1120,670,120,90,-130,-10,470,470,440
CZCurrent,20970,13760,4940,5060,4910,5000,8300,45650,64849,,,11940,11840,12770
ZOCurrent,460,710,1590,1480,1550,1450,1000,310,270,80,170,620,620,620
CZOCurrent,12100,7910,3530,3780,3620,3850,5630,18000,21130,68200,33500,9070,9090,9030
EVCurrent,6910,7480,7360,6780,6350,7210,8810,7950,7980,8160,7310,7970,8090,8510
EVPCurrent,700,600,470,500,460,520,650,580,570,580,480,470,450,440
EVEBITCurrent,14930,10570,4630,4570,4100,4960,8850,25540,30100,99370,43730,12900,13130,13720
EVEBITDACurrent,8980,7470,3860,3750,3350,3940,6240,9970,9930,12140,9260,6430,6460,6730
DTAR,570,580,580,440,480,580,570,590,600,660,620,590,620,660
CG,1340,1380,1380,770,910,1360,1340,1410,1470,1910,1660,1450,1620,1980
LDER,520,590,440,230,210,270,380,480,450,440,430,360,320,390
PZAT,2830,2290,3300,4510,5210,4630,3710,3130,3200,3300,3230,3960,4560,3980
PELDR,1010,1160,970,1160,1080,980,960,940,970,960,980,940,880,870
TSF,650,670,610,690,630,540,590,610,580,490,540,550,510,470
ZKO,1620,1380,1560,1090,1160,1290,1490,1700,1510,1350,1390,1450,1460,1430
OSF,1070,1000,1040,1030,1030,990,1030,1080,1010,900,950,1000,970,900
NetDebt,41804000000,47705000000,51162000000,45450000000,54374000000,77495000000,75516000000,71233000000,78691000000,99904000000,88386000000,78264000000,89306000000,106191000000
NetDebtEBITDA,5100,4470,2520,2050,2340,3460,4370,7300,8000,12130,9130,5150,5820,6860
DebtFin,13941000000,20022000000,18755000000,14472000000,9190000000,19712000000,39275000000,28748000000,29119000000,31355000000,20952000000,29008000000,30457000000,35594000000
DebtFinEBITDA,1700,1880,920,650,400,880,2270,2940,2960,3810,2170,1910,1980,2300
SP1,660,720,670,940,890,770,700,630,670,670,680,690,660,630
SP2,1000,1150,960,1150,1070,980,960,940,960,960,980,940,880,870
CAR,60,130,60,40,60,10,10,0,10,20,20,10,10,0
QR,610,770,630,720,660,610,560,480,620,660,610,560,530,520
CR,1010,1270,940,1300,1120,970,940,890,950,960,980,920,860,870
PP,60,130,60,40,60,10,10,0,10,20,20,10,10,0
RCLR,540,630,560,670,590,600,540,490,580,610,560,550,510,510
KP,0,90,-20,90,40,-10,-30,-40,-20,-20,-10,-40,-70,-70
PKKO,0,80,-20,90,40,-10,-30,-40,-20,-20,-10,-30,-60,-60
RN,7410,7230,8300,6160,6230,5810,5780,5800,5610,5200,5350,5520,5750,6290
CRN,49000,51000,44000,59000,59000,63000,63000,63000,65000,70000,68000,66000,64000,58000
CPZ,92000,81000,79000,94000,95000,105000,107000,114000,117000,125000,120000,114000,114000,110000
RZ,7880,6900,11110,5790,6310,6080,6560,6860,7260,7770,7640,8220,8330,8350
CRZ,46000,53000,33000,63000,58000,60000,56000,53000,50000,47000,48000,44000,44000,44000
RMO,3940,3570,4900,3350,3450,3310,3240,3290,3300,3120,3210,3360,3470,3690
RMT,2150,2600,2890,2660,2620,2490,2260,2170,2150,2130,2350,2600,2760,2880
RM,1390,1500,1820,1480,1490,1420,1330,1310,1300,1270,1360,1470,1540,1620
COP,95000,104000,77000,122000,117000,123000,119000,116000,115000,117000,116000,110000,108000,102000
CSP,3000,23000,-2000,28000,22000,18000,12000,2000,-2000,-8000,-4000,-4000,-6000,-8000
