,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
ShareAmountCurrent,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000,54702992000
WKCurrent,1960,770,780,1330,0,1170,1220,960,0,1300,1350,1360,0,970,1230,1140,1150,1060,930,710,810,650,350,220,390,410,470,570,650,700
CWKCurrent,750,1900,1880,1100,,1250,1200,1520,,1120,1080,1080,,1500,1180,1280,1270,1380,1560,2060,1790,2250,4120,6570,3780,3600,3100,2540,2250,2080
WKGrahamCurrent,1960,660,630,1020,0,820,680,620,0,1050,1230,1120,0,770,1060,1010,960,890,760,540,640,590,130,-30,110,130,200,260,280,340
CWKGrahamCurrent,750,2210,2310,1430,,1790,2160,2370,,1400,1180,1300,,1890,1370,1450,1520,1650,1920,2720,2280,2480,10880,,13530,11120,7380,5610,5140,4350
PCurrent,0,-490,-440,-150,-500,200,250,-150,350,190,150,180,30,180,150,140,110,60,40,10,50,60,680,5230,5030,5410,5570,6410,7380,7360
CPCurrent,,,,,,7250,5740,,4200,7670,9630,7930,52750,8160,9810,10390,13080,22680,34170,110470,27650,26530,2140,280,290,270,260,230,200,200
ZCurrent,-230,-1200,-450,600,380,270,340,-510,-530,120,130,390,0,-330,-100,-220,80,90,-360,-430,-340,-520,10,-30,70,70,110,350,250,290
CZCurrent,,,,2420,3800,5320,4320,,,12680,11340,3710,,,,,18420,16790,,,,,123440,,21300,21840,13380,4140,5770,4950
ZOCurrent,-50,-520,-540,-80,-340,-40,-10,-420,0,-50,-10,-70,50,-60,-140,-40,-270,-100,-80,-140,-220,-220,20,140,230,280,320,440,350,360
CZOCurrent,,,,,,,,,2101750,,,,31490,,,,,,,,,,77840,10170,6310,5270,4570,3350,4110,4059
EVCurrent,1430,1450,1540,1500,1460,1440,1690,1570,1460,1440,1460,1440,1460,1440,1520,1420,1440,1600,1660,1760,1760,1660,1690,2020,2009,1950,1930,2000,2130,2200
EVPCurrent,,,,,,7160,6660,,4200,7540,9610,7840,52750,8029,10220,10130,12920,24840,38810,133150,33350,30080,2470,390,400,360,350,310,290,300
EVEBITCurrent,-31910,-2770,-2850,-19220,-4230,-40840,-190750,-3700,2101750,-30290,-251330,-22180,31490,-25560,-11270,-33760,-5360,-16379,-19860,-12910,-7990,-7640,89930,14110,8680,7050,6030,4580,6010,6110
