,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,3516000000,3516000000,3516000000,3516000000,3516000000,3516000000,3516000000,3516000000,3516000000,3516000000,3516000000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000,3617600000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-10.45,,,15.23,,57.70,68.19,63.83,41.97,48.54,41.64,36.29,32.68,13.77,9.27,17.94,34.10,28.25,25.01,27.06,14.67,22.04
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,7.91,-3.87,24.05,22.54,15.09,-6.36,7.50,28.21,9.74,-9.90,4.65,9.95,5.40,-2.74,18.98,5.15,2.74,-1.15,7.38,11.90
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,11.67,,,-13.23,,-36.59,-40.54,-38.96,-29.56,-32.68,-29.40,-26.63,-24.63,-12.11,-8.48,-15.21,-25.43,-22.03,-20.01,-21.30,-12.79,-18.05
CWKCurrent_sy,,-25.64,,,-34.08,,-19.50,-9.97,-8.46,-17.93,-10.47,-18.61,-18.71,-2.46,10.00,11.35,-5.13,3.30,-2.32,5.45,12.17,11.04,43.50
