,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730,730
ShareAmountCurrent,29000000000,29000000000,29000000000,29000000000,29000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,87000000000,81770000000,81770000000,81770000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000,109270000000
WKCurrent,970,1060,1140,1170,0,660,720,820,0,730,710,680,0,640,630,640,0,650,0,650,0,600,2130,1750,0,1760,1800,1810,1810,1830,1850,1900,1910,1690,1750,1830,1820,1770,1790,1850,1790,1800,1830,1890,1860,1910,1940,1950,1950,1930,1990,1980
CWKCurrent,750,690,640,620,,1100,1020,890,,1000,1030,1080,,1150,1150,1130,,1120,,1120,,1220,340,420,,420,410,400,400,400,390,380,380,430,420,400,400,410,410,390,410,410,400,390,390,380,380,370,370,380,370,370
WKGrahamCurrent,10,610,580,-40,0,140,130,200,0,240,250,340,0,300,280,220,0,180,0,180,0,150,190,-110,0,-100,-100,-40,-70,-50,0,30,20,-40,-60,-50,-90,-60,-70,0,-150,-240,-200,-150,-200,-160,-130,-130,-150,-230,-190,-240
CWKGrahamCurrent,90470,1200,1260,,,5150,5470,3700,,2990,2930,2130,,2420,2560,3360,,4030,,4050,,4950,3950,,,,,,,,623180,22670,33910,,,,,,,,,,,,,,,,,,,
PCurrent,1050,760,760,850,960,440,450,450,470,410,430,590,540,500,480,330,310,250,270,270,310,470,680,910,1130,1500,1780,1890,1940,1740,1780,1860,1880,1930,2029,2040,2140,2160,2140,2140,2090,2200,2210,2260,2260,2510,2410,2290,2350,2110,2210,2190
CPCurrent,700,970,960,860,760,1660,1610,1620,1540,1790,1710,1250,1340,1450,1530,2220,2380,2920,2670,2720,2330,1560,1070,800,650,490,410,390,380,420,410,390,390,380,360,360,340,340,340,340,350,330,330,320,320,290,300,320,310,350,330,330
ZCurrent,130,180,250,360,300,130,150,130,140,120,80,100,50,50,50,10,40,10,10,0,20,-60,-40,300,240,360,370,70,110,50,60,80,80,30,40,80,80,90,70,50,0,30,40,30,60,110,100,60,90,30,50,40
CZCurrent,5840,4110,2870,2060,2400,5520,4920,5420,5240,5950,8690,7630,15930,14760,15890,52360,20480,59690,55030,180420,38290,,,2430,2990,2009,1950,10690,6950,14100,12790,9060,8990,29100,19100,8980,8790,7960,10370,14920,,25670,16750,23130,11320,6580,7100,12960,7890,27360,13290,19150
ZOCurrent,170,140,140,240,220,110,110,90,90,80,90,120,120,80,60,20,10,20,30,10,30,-30,-10,10,-30,90,110,150,180,100,100,130,140,80,90,130,130,140,110,100,40,60,80,60,100,170,160,80,140,50,100,100
CZOCurrent,4320,5050,5300,3020,3350,6950,6640,8160,7920,9000,8360,6030,6340,9670,11590,40610,76800,30050,24740,57190,23750,,,59170,,8310,6370,4790,4059,7410,6960,5430,5390,9240,8080,5520,5740,5130,6930,7690,19230,12690,8940,11990,7520,4180,4630,8940,5320,14300,7320,7510
EVCurrent,380,370,450,800,730,600,600,620,730,510,610,540,730,560,550,620,730,620,730,680,730,620,1040,1230,730,1250,1320,1250,1270,1280,1340,1240,1250,1310,1470,1380,1430,1420,1490,1440,1500,1460,1630,1530,1580,1390,1520,1480,1550,1470,1680,1640
EVPCurrent,360,480,590,940,760,1360,1310,1380,1540,1260,1440,920,1340,1110,1160,1890,2380,2480,2670,2520,2330,1320,1530,1340,650,830,740,660,650,740,750,670,660,680,720,670,670,660,690,670,720,670,740,680,700,560,630,640,660,700,760,750
EVEBITCurrent,2220,2530,3250,3330,3350,5700,5410,6970,7920,6320,7030,4430,6340,7410,8770,34690,76800,25520,24740,52990,23750,-22090,-204240,99380,-22390,14190,11510,8210,7040,13030,12760,9240,9240,16510,16290,10400,11280,10000,14130,15150,39390,25420,19910,25060,16280,7980,9650,18100,11310,28830,16870,16870
EVEBITDACurrent,1780,2060,2620,2890,2840,5040,4790,6040,6910,5530,6220,4059,5790,6550,6930,21830,35380,20140,27980,33850,18950,-54940,53940,31150,94400,8970,7480,5790,5190,7740,7760,6120,6110,8810,9150,6740,7120,6480,8060,8100,11970,10160,9440,9880,8240,5040,5810,7870,6310,9060,7870,7670
DTAR,410,120,30,310,,160,110,120,,140,100,140,,120,100,110,,110,,120,,220,290,380,,370,390,370,340,350,400,340,320,400,450,430,420,440,480,440,440,440,480,450,450,420,450,440,440,440,470,470
CG,670,140,30,450,,200,120,130,,160,110,170,,140,110,130,,120,,130,,280,420,610,,580,640,580,530,540,660,530,480,660,830,750,730,800,920,780,800,810,930,840,810,720,810,790,780,810,890,890
LDER,20,20,10,30,,40,50,60,,30,30,30,,30,30,30,,60,,70,,70,70,150,,170,180,150,160,120,130,120,120,250,280,250,260,250,250,250,270,240,220,240,210,200,190,180,190,200,210,220
