,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500,59500
ShareAmountCurrent,23013590000,23013590000,23013590000,23013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000,34013590000
WKCurrent,39620,41540,48070,47830,50360,50860,52420,53980,56500,57620,58670,58040,58800,62710,65630,63790,66850,67220,69270,66310,68510,71890,73920,68900,71020,73920,74500,72710,74380,62120,63330,63910,65239,67100,69090,68590,69520,85010,85690,86820
CWKCurrent,1500,1430,1240,1240,1180,1170,1140,1100,1050,1030,1010,1030,1010,950,910,930,890,890,860,900,870,830,800,860,840,800,800,820,800,960,940,930,910,890,860,870,860,700,690,690
WKGrahamCurrent,-6290,-10470,-11740,-16760,4720,3570,780,-1570,-2280,-5730,-8370,-13520,-16980,-15630,-13950,-15980,-16370,-22560,-21150,-25490,-25590,-24060,-24360,-28780,-27490,-35470,-34300,-35500,-33130,-25990,-24060,-23200,-20660,-18870,-15980,-16010,-15720,-15500,-14300,-13550
CWKGrahamCurrent,,,,,12610,16670,76070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,36360,37480,44900,46070,32650,32880,34340,34570,35340,36180,36640,36290,34160,38260,43180,47800,53740,53970,52600,53160,54740,55860,57350,57810,57970,59200,57630,56210,54400,55430,55200,55590,55060,52520,53830,54080,52300,52340,50390,50990
CPCurrent,1640,1590,1330,1290,1820,1810,1730,1720,1680,1640,1620,1640,1740,1560,1380,1240,1110,1100,1130,1120,1090,1070,1040,1030,1030,1010,1030,1060,1090,1070,1080,1070,1080,1130,1110,1100,1140,1140,1180,1170
ZCurrent,4590,4090,6780,8150,6020,5630,5800,6300,6140,6760,6250,5450,3700,6500,8350,9690,11950,9070,8210,8220,7630,9680,9460,8200,8130,8020,7140,7560,6860,-8230,-7590,-8250,-8590,5340,5740,6430,6030,19630,18310,18290
CZCurrent,12950,14550,8780,7300,9880,10570,10260,9450,9690,8810,9510,10910,16059,9160,7120,6140,4980,6560,7240,7240,7800,6140,6290,7260,7320,7420,8330,7880,8670,,,,,11150,10360,9250,9870,3030,3250,3250
ZOCurrent,5600,5270,8840,10340,7430,6670,6750,7310,7250,8130,7590,6480,4260,7810,10040,12040,14840,11440,10570,10670,10470,12490,12380,10680,10110,10650,9540,9910,9120,-9590,-8690,-9730,-10180,6970,7290,8460,8060,24910,23110,22870
CZOCurrent,10630,11280,6730,5760,8000,8930,8810,8130,8210,7320,7840,9190,13960,7620,5930,4940,4010,5200,5630,5570,5680,4760,4810,5570,5890,5590,6240,6010,6520,,,,,8540,8170,7030,7380,2390,2570,2600
EVCurrent,55560,59570,59510,59720,46350,46810,47930,49880,51620,52970,56250,58990,63640,66500,64620,62830,66310,68920,70130,67910,70570,71680,70700,71370,67720,77690,76500,75790,73750,73010,70480,68030,64680,61920,59540,60870,60550,56180,57830,60360
EVPCurrent,1530,1590,1330,1300,1420,1420,1400,1440,1460,1460,1540,1630,1860,1740,1500,1310,1230,1280,1330,1280,1290,1280,1230,1230,1170,1310,1330,1350,1360,1320,1280,1220,1170,1180,1110,1130,1160,1070,1150,1180
EVEBITCurrent,9930,11300,6730,5780,6230,7020,7100,6820,7120,6520,7420,9110,14930,8510,6440,5220,4470,6020,6630,6360,6740,5740,5710,6680,6700,7290,8020,7650,8090,-7610,-8109,-6990,-6360,8890,8170,7190,7510,2260,2500,2640
