,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400
ShareAmountCurrent,198537000,198537000,198537000,198537000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,2341385000,3611385000,3611385000,3611385000,3611385000,3611385000,3611385000,3611385000,3611385000
WKCurrent,74140,112530,95490,215420,20480,26500,25880,22240,0,27550,27040,27790,28720,28860,29120,29060,29800,30210,29970,29660,29220,28300,27910,27300,26960,27270,27370,27490,22470,23230,23320,23860,24590,25140,25450,26490
CWKCurrent,520,340,400,180,1880,1450,1480,1730,,1390,1420,1380,1340,1330,1320,1320,1290,1270,1280,1290,1310,1360,1380,1410,1420,1410,1400,1400,1710,1650,1650,1610,1560,1530,1510,1450
WKGrahamCurrent,-133980,-90440,-101710,-113800,2800,-850,-880,-1560,0,-15130,-22520,-29430,-33740,-36690,-37070,-37610,-38380,-40130,-43030,-45450,-45690,-45260,-44970,-45020,-44750,-43550,-42530,-41800,-21950,-21030,-20520,-19230,-17980,-17100,-16120,-14520
CWKGrahamCurrent,,,,,13730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,156800,217950,219960,230300,19220,20070,19850,20530,20990,21990,22590,21980,21430,20040,20310,18870,17690,17280,17220,18530,19110,19700,19550,18770,19230,19410,20380,21330,14170,14640,14970,16260,17150,18140,19150,20070
CPCurrent,240,180,170,170,2000,1910,1930,1870,1830,1750,1700,1750,1790,1920,1890,2029,2170,2220,2230,2070,2009,1950,1960,2050,2000,1980,1880,1800,2710,2620,2570,2360,2240,2120,2009,1910
ZCurrent,37920,46140,45300,45820,2860,1780,840,700,320,1040,1160,1220,1820,1310,2080,1270,1080,1360,850,590,-580,-1910,-2070,-2350,-2260,-1040,-540,180,440,600,620,1080,1710,1910,2130,2630
CZCurrent,1010,830,850,840,13430,21570,45990,54760,119090,36790,33080,31560,21060,29310,18460,30290,35590,28330,44980,64599,,,,,,,,209520,87240,64260,61580,35540,22440,20130,18040,14590
ZOCurrent,42160,51090,50230,51090,4330,2150,1070,2290,2720,1170,1620,1740,2370,2110,2630,1700,1490,1780,1520,1500,630,-660,-750,-1130,-1130,300,920,1850,1570,1630,1520,1980,2630,2880,3120,3660
CZOCurrent,910,750,760,750,8860,17840,35750,16730,14110,32870,23650,22090,16170,18170,14610,22610,25840,21550,25290,25660,61340,,,,,130000,41590,20700,24530,23500,25250,19430,14580,13330,12320,10480
EVCurrent,32080,37230,37130,38400,38400,37620,37660,38400,38400,29070,36100,40480,39160,41190,40510,42000,61700,62790,64280,67590,60270,59900,60530,60100,66590,66000,65540,63760,49830,49400,49110,48620,47590,46670,45560,44460
EVPCurrent,200,170,170,170,2000,1870,1900,1870,1830,1320,1600,1840,1830,2060,2000,2230,3490,3630,3730,3650,3150,3040,3100,3200,3460,3400,3220,2990,3520,3380,3280,2990,2780,2570,2380,2220
EVEBITCurrent,760,730,740,750,8860,17480,35060,16730,14110,24880,22230,23290,16490,19490,15420,24730,41520,35240,42340,45160,96280,-91310,-80790,-53360,-58870,223440,70990,34370,31830,30230,32290,24600,18070,16200,14620,12140
EVEBITDACurrent,530,450,450,460,5430,5960,5980,4490,3830,5380,6590,7830,7260,8760,8170,11040,18560,18770,18880,18930,16490,19830,19460,19420,24760,16440,14150,11500,12610,12300,12580,11140,9490,8880,8330,7420
DTAR,680,500,560,350,260,220,230,200,,540,530,550,570,580,580,590,590,600,610,630,630,630,640,640,640,640,630,630,530,510,500,480,470,450,440,420
CG,2110,990,1290,530,360,280,290,260,,1200,1150,1230,1320,1380,1380,1410,1450,1510,1590,1690,1710,1740,1750,1770,1800,1740,1680,1690,1120,1050,1000,930,880,830,770,710
LDER,810,440,530,220,190,140,130,80,,840,850,810,1150,1190,1230,1260,640,630,670,730,1450,1460,1460,1510,1280,1220,1170,1130,860,800,780,720,670,630,580,530
PZAT,3390,3990,3780,,,7210,8070,,,1820,2140,2490,1860,1880,1820,1800,3560,3630,3580,3410,1730,1740,1750,1680,2000,2040,2090,2140,2190,2270,2300,2370,2460,2560,2710,2830
PELDR,640,800,740,,,1110,1110,,,1190,1040,960,990,970,990,990,720,710,700,700,970,960,950,970,880,880,870,870,970,970,970,980,990,990,990,1010
TSF,580,720,670,800,880,890,870,860,,840,860,810,930,920,940,940,670,650,650,640,900,900,890,910,810,810,810,790,880,880,890,890,890,890,890,890
ZKO,6880,5320,5790,,720,1130,1130,1380,,1850,3660,7260,9060,12710,13500,12170,8720,8400,10100,10950,11680,12500,12500,14170,13210,11920,13260,9930,7810,7450,8180,7450,5810,5610,5640,4310
OSF,2450,2950,2810,,,1090,1090,,,1190,2000,3530,4170,5590,5940,5310,3810,3610,4150,4320,4550,4810,4790,5400,5010,4630,5220,3960,3980,3930,4380,4150,3370,3360,3470,2800
NetDebt,29868000000,21883000000,24154000000,22594000000,17030000000,6080000000,6488000000,13405000000,,47679000000,61809000000,79047000000,87243000000,92441000000,93176000000,95310000000,96428630000,100541609000,108992178000,116030247000,114432846000,114036910000,113797914000,112768953000,112743547000,110204329000,106460319000,105212973000,87246165000,84426168000,82226404000,79478516000,75565452000,72483869000,67727616000,63584154000
NetDebtEBITDA,2470,1320,1480,1370,1030,410,440,670,,3770,4820,6530,6910,8400,8029,10700,12390,12830,13670,13880,13370,16120,15630,15560,17900,11730,9820,8100,6110,5820,5830,5040,4170,3820,3430,2940
DebtFin,-1254000000,-232000000,-252000000,,,-1834000000,-1723000000,,,-21850000000,-5382000000,4867000000,1783000000,6530000000,4948000000,8426000000,54549395000,57107924000,60601745000,68336612000,51216846000,50334230000,51824849000,50809091000,66007148000,64627375000,63548669000,59372111000,41280627000,39733226000,38687603000,36897596000,33178951000,29864136000,25867005000,21874762000
DebtFinEBITDA,-100,-10,-20,,,-120,-120,,,-1730,-420,400,140,590,430,950,7010,7290,7600,8170,5980,7120,7120,7010,10480,6880,5860,4570,2890,2740,2740,2340,1830,1570,1310,1010
SP1,360,550,480,,,970,970,,,650,550,490,460,440,440,440,440,430,410,390,390,380,380,380,380,390,390,400,510,530,540,560,580,600,620,650
