,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4
QuoteCurrent,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,
ShareAmountCurrent,2509990000,2509990000,2509990000,2509990000,2985390000,3199038000,3199038000,3560615000,3560615000,3560615000,3560615000
ShareAmountCurrent_yy,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,
WKCurrent,,,,,,,,,,,
WKCurrent_yy,,-29.95,-99.00,-18545.18,10.63,-10.00,-37.65,162.82,-8.24,8.20,21.19
WKCurrent_sy,,,,,,,,,,,
WKCurrent_qq,,,,,,,,,,,
WKCurrent_sq,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,
CWKCurrent_yy,,42.84,9865.88,,,,,,8.99,-7.61,-17.45
CWKCurrent_sy,,-0.68,0.15,,,,,,4.90,-10.58,-4.27
CWKCurrent_qq,,,,,,,,,,,
CWKCurrent_sq,,,,,,,,,,,
WKGrahamCurrent,,,,,,,,,,,
WKGrahamCurrent_yy,,16.21,-41.83,-0.93,10.63,-10.81,12.68,102.57,-38.94,-44.24,338.94
WKGrahamCurrent_sy,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,,,,,,,
WKGrahamCurrent_sq,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,63.78,79.36,-77.22
CWKGrahamCurrent_sy,,,,,,,,,-6.58,-17.28,-40.32
CWKGrahamCurrent_qq,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,
PCurrent,,,,,,,,,,,
PCurrent_yy,,-26.56,62.25,-4.87,-15.52,10.11,-9.03,-12.74,-14.06,-37.06,-0.74
PCurrent_sy,,,,,,,,,,,
PCurrent_qq,,,,,,,,,,,
PCurrent_sq,,,,,,,,,,,
CPCurrent,,,,,,,,,,,
CPCurrent_yy,,36.24,-38.42,5.60,18.18,-8.97,9.86,14.10,16.85,58.65,0.61
CPCurrent_sy,,-14.80,-14.75,2.42,-2.87,-12.47,-8.20,0.06,-7.19,3.37,-6.96
