,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860,9860
ShareAmountCurrent,12454544000,12454544000,12454544000,12454544000,12454544000,14235032000,14235032000,14235032000,14235032000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000,15658535000
WKCurrent,1930,2830,4320,4400,4540,9550,10500,11000,11420,15070,16560,17910,17890,18060,18170,18240,18120,18410,18730,18780,19620,20320,20320,20590,16510,17020,17190,17550,17640,18210,17410,17820,8090,8570,8320,8920,7500,7720,7670,8070,7730,7940,7040,7560,7900,8020,8060,8580
CWKCurrent,5100,3490,2280,2240,2170,1030,940,900,860,650,600,550,550,550,540,540,540,540,530,530,500,490,490,480,600,580,570,560,560,540,570,550,1220,1150,1180,1110,1310,1280,1280,1220,1280,1240,1400,1300,1250,1230,1220,1150
WKGrahamCurrent,250,-920,-1460,-1370,-1890,3800,4610,-2110,-2260,-6280,-6510,-4980,-4660,-4260,-3950,-3260,-3370,-3130,-2740,-2890,-2400,-1710,-1910,-1710,-1420,-740,-130,-70,1310,10830,8410,9070,-690,450,220,1750,250,-330,-690,-230,-1240,-1410,-2550,-2590,-2250,-2160,-2810,-2310
CWKGrahamCurrent,40200,,,,,2600,2140,,,,,,,,,,,,,,,,,,,,,,7550,910,1170,1090,,22040,43990,5640,39350,,,,,,,,,,,
PCurrent,7910,9260,11890,12780,16640,16870,20610,22620,25350,26660,29270,30850,31090,29960,28130,25770,24950,24370,24330,25300,25730,25960,24680,25020,25510,25570,13340,10380,7440,3930,12770,12910,12700,12620,13180,13450,13650,14320,14800,15410,16180,16350,17210,18210,19170,20360,20340,20740
CPCurrent,1250,1070,830,770,590,580,480,440,390,370,340,320,320,330,350,380,400,400,410,390,380,380,400,390,390,390,740,950,1330,2510,770,760,780,780,750,730,720,690,670,640,610,600,570,540,510,480,480,480
ZCurrent,740,890,950,1080,1080,1330,1940,2310,2770,2860,2850,3270,2810,2240,1640,950,1010,1040,1080,840,1090,1380,1360,1620,-2720,-2910,-3090,-3070,1070,1550,740,700,770,-40,430,330,130,170,330,430,540,440,160,150,220,320,650,780
CZCurrent,13390,11040,10380,9130,9140,7390,5090,4270,3560,3440,3460,3020,3510,4400,6000,10390,9730,9450,9100,11750,9030,7150,7250,6070,,,,,9230,6340,13260,14090,12730,,22740,29520,77980,57700,30260,23060,18290,22620,60380,66040,44330,30740,15130,12710
