,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800,64800
ShareAmountCurrent,3054150000,3904150000,3904150000,3904150000,3904150000,3904150000,3904150000,3904150000,3904150000,3904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,4904150000,6676854000,6676854000,6676854000,6676854000,6676854000,6676854000,6676854000,6676854000,6676854000,6676854000,6676854000
WKCurrent,2730,6500,6830,7150,7630,7880,0,0,0,9040,12070,13150,13720,13220,13720,15630,15690,15630,15640,16010,16450,16710,17020,18750,19590,21730,23620,24020,25220,26040,27220,28940,30660,31060,32759,34540,36020,36840,38550,39830,41800,51480,54150,56110,57880,58130,60630,62550,58240,59770,61670,54220
CWKCurrent,23740,9960,9490,9060,8500,8220,,,,7170,5370,4930,4720,4900,4720,4150,4130,4150,4140,4050,3940,3880,3810,3460,3310,2980,2740,2700,2570,2490,2380,2240,2110,2090,1980,1880,1800,1760,1680,1630,1550,1260,1200,1150,1120,1110,1070,1040,1110,1080,1050,1200
WKGrahamCurrent,-3360,1110,1240,1320,1450,-590,0,0,0,-3860,-3590,-3430,-2890,-3620,-2940,-5190,-5440,-5460,-5220,-4780,-4190,-4210,-3640,-2750,-1980,-3320,-1300,-890,180,630,1950,3670,4660,4200,5380,7060,8240,6850,7490,7510,360,-880,3730,3760,4630,3110,4170,4000,-1350,-420,1680,-8070
CWKGrahamCurrent,,58350,52260,49200,44750,,,,,,,,,,,,,,,,,,,,,,,,360300,103680,33150,17650,13920,15430,12050,9180,7860,9460,8650,8630,180770,,17360,17250,13990,20820,15550,16190,,,38470,
PCurrent,23790,19940,19870,19700,20240,20740,21560,22030,21930,22040,22470,29570,37350,43970,44780,43520,41190,39610,39860,39730,39960,40050,41330,43670,45940,48770,51830,53840,56150,56520,57120,57880,58810,59520,59780,60930,61370,62460,63770,64250,66730,56480,66030,76180,83270,85110,86450,87470,89340,92480,95850,99560
CPCurrent,2720,3250,3260,3290,3200,3120,3010,2940,2950,2940,2880,2190,1740,1470,1450,1490,1570,1640,1630,1630,1620,1620,1570,1480,1410,1330,1250,1200,1150,1150,1130,1120,1100,1090,1080,1060,1060,1040,1020,1010,970,1150,980,850,780,760,750,740,730,700,680,650
ZCurrent,540,1520,1550,1540,1500,1440,1430,1280,1040,550,590,1680,1870,2150,2190,2910,2540,2540,2080,460,900,1050,1750,2690,3430,5380,5970,6050,6120,4620,4710,5200,5480,5190,5680,5450,5470,6040,5640,5370,5860,4770,6210,7150,7130,6720,5950,6030,5970,6230,6570,7020
CZCurrent,119510,42680,41930,42120,43190,44860,45390,50780,62040,117610,110570,38620,34700,30150,29620,22250,25520,25530,31190,140680,71930,61550,36960,24080,18870,12050,10860,10710,10590,14020,13750,12460,11830,12500,11410,11880,11840,10730,11490,12060,11060,13580,10440,9070,9080,9640,10900,10740,10850,10390,9870,9230
