,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,15094379000,15094379000,15094379000,15094379000,15094379000,15094379000,15094379000,15094379000,15094379000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000,18113255000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,35.77,46.40,-6.40,31.04,-1.71,16.95,,,13.31,,2.36,4.46,9.63,9.94,10.50,14.58,16.04,16.85,6.99,0.67,4.38,1.45,10.30,13.47,7.54,10.55,8.66
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,,,,0.07,-2.78,-0.29,5.51,2.12,2.04,-0.01,6.05,5.90,3.34,0.68,-2.90,-0.35,7.15,-2.14,5.57,2.51,1.54,0.60,3.75
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-26.35,-31.70,6.84,-23.69,1.74,-14.50,,,-11.75,,-2.31,-4.26,-8.79,-9.03,-9.50,-12.72,-13.82,-14.42,-6.53,-0.67,-4.20,-1.42,-9.34,-11.88,-7.00,-9.55,-7.96
