,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070
ShareAmountCurrent,40000000000,40000000000,40000000000,40000000000,40000000000,40000000000,40000000000,45000000000,55000000000,65000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,75000000000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000,82492500000
WKCurrent,150,290,500,1000,1050,1220,1290,1690,1830,2029,2370,2400,2660,2730,2830,2870,2740,2710,0,2680,2740,2810,2840,2870,2930,2890,2920,2980,3040,3110,3150,3150,3190,3190,3370,3380,3420,3490,3570,3660,3700,3770
CWKCurrent,7330,3740,2120,1070,1020,880,830,630,580,530,450,450,400,390,380,370,390,390,,400,390,380,380,370,360,370,370,360,350,340,340,340,340,340,320,320,310,310,300,290,290,280
WKGrahamCurrent,-160,-300,-490,-530,-730,-630,-590,120,560,-190,30,0,520,540,700,730,430,140,0,-170,-130,-80,-390,-200,-110,120,-70,-350,-490,-760,-2350,-2260,-2240,-2310,-2090,-2200,-2160,-2180,-2320,-2220,-2220,-2170
CWKGrahamCurrent,,,,,,,,9080,1930,,31810,272960,2080,1990,1520,1460,2520,7850,,,,,,,,8680,,,,,,,,,,,,,,,,
PCurrent,2570,2680,5120,5880,6000,6190,6310,4770,3460,3520,3370,4019,4430,4740,6120,7310,7650,8380,8100,7860,7700,7270,9580,12500,14120,14600,13220,11780,10760,9420,9660,9220,9160,9140,9240,9380,9390,9790,9990,10420,10680,12240
CPCurrent,420,400,210,180,180,170,170,220,310,300,320,270,240,230,170,150,140,130,130,140,140,150,110,90,80,70,80,90,100,110,110,120,120,120,120,110,110,110,110,100,100,90
ZCurrent,90,150,230,370,350,430,370,310,310,260,310,350,410,380,360,330,250,260,190,80,100,100,90,190,190,220,220,200,210,170,180,170,150,80,220,240,240,300,200,280,280,300
CZCurrent,12170,7380,4630,2860,3070,2510,2920,3450,3480,4140,3510,3020,2620,2800,2990,3280,4360,4090,5550,13700,10500,11130,11330,5520,5580,4980,4780,5300,5220,6300,6020,6480,7340,12610,4780,4530,4440,3630,5330,3870,3820,3550
ZOCurrent,140,200,390,640,630,730,630,550,510,460,510,570,640,610,590,550,460,470,370,300,340,370,360,440,440,440,460,440,440,400,410,410,390,310,500,500,510,600,470,580,580,620
CZOCurrent,7660,5270,2720,1670,1690,1460,1700,1950,2110,2310,2110,1890,1670,1740,1810,1940,2320,2290,2860,3520,3180,2920,2990,2430,2430,2450,2320,2430,2410,2710,2620,2640,2770,3440,2150,2130,2080,1790,2270,1840,1850,1730
EVCurrent,1050,1040,1030,1030,1030,1030,1040,970,940,1030,1000,970,3110,3300,3450,3360,3910,2610,1070,3920,3000,4460,4290,4150,4150,3550,3550,3520,3590,3840,4300,3650,4440,4580,4810,3690,4570,4740,4810,3480,4340,4250
EVPCurrent,410,390,200,180,170,170,160,200,270,290,300,240,700,700,560,460,510,310,130,500,390,610,450,330,290,240,270,300,330,410,450,400,490,500,520,390,490,480,480,330,410,350
EVEBITCurrent,7500,5130,2610,1610,1630,1400,1660,1760,1860,2230,1980,1720,4840,5380,5840,6100,8470,5590,2860,12860,8910,12190,11980,9450,9420,8119,7710,7990,8100,9710,10540,9020,11510,14710,9650,7330,8880,7930,10220,6000,7480,6860
EVEBITDACurrent,6020,3810,1840,1230,1230,1090,1290,1380,1500,1820,1680,1470,4050,4470,4640,4710,6570,4380,2260,10220,7250,10170,9980,8080,8029,7010,6700,6730,6790,7900,8430,7120,8730,10200,7470,5940,7290,6720,8360,4930,6110,5650
DTAR,820,810,850,820,810,810,800,730,680,680,590,560,510,530,540,560,600,660,,640,620,650,720,700,670,640,620,630,600,610,680,670,660,680,690,650,640,650,670,650,640,680
CG,4620,4170,5650,4560,4360,4180,4019,2690,2080,2080,1460,1350,1330,1390,1480,1600,1810,2300,,2180,1990,2260,3060,2780,2440,2100,1990,2009,1810,1870,2510,2470,2360,2570,2580,2240,2110,2230,2410,2150,2100,2500
LDER,1960,1320,2320,2440,2320,2029,1840,1320,930,670,470,470,490,480,480,440,640,1430,,780,1330,820,860,730,680,600,670,700,750,800,1340,1320,1330,1360,1410,1170,1270,1210,1220,1030,1080,1080
PZAT,1010,1480,760,600,700,720,770,690,680,1530,1900,1950,2040,1990,1910,2140,1540,750,,570,860,1360,1350,1550,1620,1700,1540,1490,1360,1280,1300,1290,1270,1240,1130,1380,1270,1320,1350,1550,1480,1450
PELDR,1410,1380,1850,2370,1990,2060,2110,2650,2970,1740,1650,1430,1410,1430,1530,1480,1590,2130,,1400,1870,1480,1680,1470,1590,1450,1340,1300,1320,1280,1240,1210,1310,1320,1340,1180,1250,1220,1210,1140,1170,1190
TSF,530,450,500,620,620,580,570,630,630,540,590,610,570,560,550,500,540,690,,520,730,520,430,430,460,490,520,530,580,590,630,630,660,630,640,630,690,650,620,610,630,560
ZKO,1320,1340,1210,1130,1190,1140,1130,970,870,1050,990,1000,870,880,860,860,920,980,,1030,1020,1010,1050,1030,1010,980,1010,1060,1100,1150,1430,1410,1420,1390,1320,1410,1430,1390,1370,1390,1400,1300
OSF,620,650,610,740,700,750,770,1050,1250,960,980,940,810,830,860,870,880,850,,800,810,820,770,800,810,850,810,810,810,800,730,740,750,730,730,770,790,770,750,780,790,740
NetDebt,25571000000,46305000000,112165000000,181192000000,181939000000,202040000000,205735000000,200362000000,202478000000,272404000000,254620000000,235535000000,253749000000,280091000000,305650000000,329280000000,356081000000,450167000000,,420327000000,391516000000,463652000000,634941000000,574687000000,521345000000,477971000000,460985000000,474505000000,441115000000,470482000000,627214000000,593168000000,600706000000,648238000000,677364000000,576916000000,577409000000,624965000000,683952000000,598665000000,606038000000,739832000000
NetDebtEBITDA,3670,4240,5020,5380,5430,5380,6380,6370,5870,7400,5680,4740,4410,5050,5490,6160,7970,10070,,14620,12620,14080,19670,14900,13460,11440,10540,10980,10100,11740,14910,14010,14310,17490,12760,11280,11150,10750,14410,10260,10350,11930
DebtFin,-891000000,-1139000000,-1732000000,-1471000000,-1520000000,-1743000000,-1194000000,-4675000000,-6970000000,-2409000000,-4962000000,-7450000000,152673000000,167531000000,178199000000,171652000000,213360000000,115407000000,,213397000000,144577000000,254540000000,241782000000,231356000000,230886000000,204405000000,204840000000,202411000000,207976000000,228271000000,266603000000,213184000000,278351000000,289504000000,308123000000,215740000000,288897000000,302518000000,308701000000,199146000000,269478000000,262034000000
DebtFinEBITDA,-130,-100,-80,-40,-50,-50,-40,-150,-200,-70,-110,-150,2660,3020,3200,3210,4780,2580,,7420,4660,7730,7490,6000,5960,4890,4680,4680,4760,5700,6340,5030,6630,7810,5810,4220,5580,5200,6500,3410,4600,4220
SP1,470,490,510,650,590,660,690,1070,1440,910,990,950,930,950,1010,1010,950,870,,780,790,800,740,780,800,860,800,760,740,700,520,520,530,520,550,540,550,550,550,560,560,570
SP2,1410,1130,1680,2250,1960,1990,1950,2490,2770,1530,1460,1390,1390,1400,1500,1450,1560,2100,,1390,1840,1460,1370,1350,1350,1390,1340,1290,1290,1250,1210,1210,1230,1230,1340,1180,1250,1220,1210,1140,1170,1190
CAR,60,30,30,20,20,20,10,40,60,10,30,50,70,30,30,50,60,90,,,120,50,30,50,40,60,50,60,50,40,80,150,70,90,110,150,60,40,60,140,100,80
QR,1020,610,520,840,900,730,430,620,730,440,330,520,840,840,830,770,810,1500,,820,1440,880,660,730,650,880,960,910,910,910,900,1010,850,840,1080,870,930,960,1000,870,940,1000
CR,1320,1090,1400,1900,1800,1700,1640,2009,2080,1410,1490,1540,1800,1750,1740,1590,1680,2700,,1520,2940,1540,1330,1320,1370,1430,1490,1450,1560,1520,1500,1520,1610,1520,1670,1490,1750,1570,1480,1380,1470,1350
PP,90,40,30,20,20,20,10,40,60,10,30,50,70,30,30,60,60,100,,60,120,50,30,50,40,60,50,60,50,40,80,160,70,90,120,160,80,60,70,150,110,90
RCLR,920,730,420,710,790,680,450,470,680,510,440,340,580,550,570,420,480,740,,490,710,520,470,390,400,550,540,470,550,620,510,810,450,440,940,700,820,880,920,710,790,900
KP,150,50,200,340,300,290,280,380,400,190,190,200,260,260,270,240,260,420,,210,400,230,170,170,180,200,200,180,200,180,160,160,180,170,210,150,190,170,160,130,150,140
PKKO,50,30,150,390,350,370,340,610,830,430,450,370,540,500,410,320,320,530,,260,490,330,230,160,140,140,150,160,180,200,210,230,240,250,330,210,260,230,230,170,180,170
RN,7180,4500,7220,5270,4540,3920,4040,3590,3050,3350,3370,3950,4090,4280,4900,5170,5190,5350,5200,4620,4760,4180,4710,5820,6040,6520,6310,5770,5330,4850,5100,4260,4380,4590,3770,3990,3650,3330,3350,3390,3300,3350
CRN,51000,81000,51000,69000,80000,93000,90000,102000,120000,109000,108000,92000,89000,85000,75000,71000,70000,68000,70000,79000,77000,87000,77000,63000,60000,56000,58000,63000,69000,75000,72000,86000,83000,80000,97000,92000,100000,110000,109000,108000,110000,109000
CPZ,55000,111000,120000,122000,124000,134000,140000,173000,209000,207000,210000,193000,189000,177000,144000,136000,141000,127000,134000,144000,125000,161000,151000,132000,138000,125000,126000,130000,130000,139000,134000,137000,139000,144000,145000,143000,139000,131000,131000,129000,134000,130000
RZ,20150,9990,3510,2930,2720,2450,2280,1680,1260,1330,1330,1540,1640,1780,2360,2740,2750,2920,2810,2790,2730,2570,3300,4170,4650,5400,5210,4970,4850,4340,4480,4360,4300,4210,3990,3920,3740,3860,4120,4310,4660,5570
CRZ,18000,37000,104000,124000,134000,149000,160000,217000,291000,274000,274000,237000,223000,205000,155000,133000,133000,125000,130000,131000,134000,142000,111000,88000,78000,68000,70000,73000,75000,84000,82000,84000,85000,87000,92000,93000,98000,94000,89000,85000,78000,66000
RMO,5010,3010,2170,1800,1680,1550,1490,1180,940,1020,1040,1200,1240,1250,1480,1570,1540,1530,1430,1360,1330,1260,1500,1810,1920,2150,2080,1960,1900,1750,1820,1740,1710,1650,1590,1620,1640,1730,1790,1850,1850,1980
RMT,8350,4550,5160,4440,4000,3760,3580,2950,2630,2540,2180,2070,1830,1780,2210,2570,2690,2880,2750,2500,2300,2100,2690,3450,3850,4320,3870,3310,2860,2330,2070,1780,1620,1510,1530,1540,1530,1580,1580,1630,1650,1860
