,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
ShareAmountCurrent,10000000000,10000000000,10000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000
WKCurrent,11780,8850,8880,10850,0,11220,10830,12620,0,14240,15200,16200,0,16880,17520,20100,0,24120,25140,24830,0,25880,26070,25750,0,19080,18410,18260,17410,13340,12300,10250,8510,8960,9060,9330,9500,8410,8530,8900,9350,10000,10620,10700,11380,6120,6790,11830,11380,6240,6160,5070
CWKCurrent,210,280,280,230,,220,230,200,,180,160,150,,150,140,120,,100,100,100,,100,100,100,,130,140,140,140,190,200,240,290,280,280,270,260,300,290,280,270,250,240,230,220,410,370,210,220,400,410,490
WKGrahamCurrent,1700,-1590,-1330,5480,0,5660,5220,6660,0,8010,8900,8940,0,7830,7790,8900,0,8150,8900,8780,0,9060,9380,8720,0,510,1470,1780,690,-3950,-4900,-7550,-9080,-8250,-4900,-4930,-5160,-1940,-1160,-580,170,990,2050,2250,3380,-1550,-240,6350,5900,700,610,-710
CWKGrahamCurrent,1470,,,460,,440,480,380,,310,280,280,,320,320,280,,310,280,280,,280,270,290,,4940,1700,1400,3630,,,,,,,,,,,,14430,2520,1220,1110,740,,,390,420,3580,4080,
PCurrent,68080,83640,88730,47270,53160,59410,68270,76710,87930,96420,99520,102880,103820,110560,118220,123490,131970,135610,133480,132730,132830,128520,129580,142730,152430,169590,177730,181550,178370,146450,133670,104790,85950,81670,74490,75290,69760,75480,71780,69200,67570,63770,69340,71610,70420,70160,66510,62010,57690,54980,50800,47390
CPCurrent,40,30,30,50,50,40,40,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,20,20,20,30,30,30,30,40,30,30,40,40,40,40,30,40,40,40,40,40,50,50,50
ZCurrent,-4680,2930,3700,2910,3120,850,440,1410,1970,2650,3990,3590,4110,4059,4440,5160,4400,5870,5450,4900,4830,3120,2220,1450,-340,-6230,-6910,-7460,-7210,-5710,-6110,-7990,-8880,-14400,-13280,-10950,-9040,-580,-540,-440,-170,1590,2080,1780,2020,830,890,1170,0,130,-620,-2370
CZCurrent,,850,680,860,800,2940,5710,1770,1270,940,630,700,610,620,560,480,570,430,460,510,520,800,1120,1720,,,,,,,,,,,,,,,,,,1570,1200,1400,1240,3030,2820,2150,,19850,,
ZOCurrent,-4870,-720,80,1060,1400,1060,550,1020,1860,2940,4200,4100,4900,6090,7920,9420,8830,9060,7440,6300,5690,4220,3080,2210,-240,-7240,-7650,-8119,-7850,-6000,-6370,-8340,-8750,-11870,-10730,-8360,-6340,1200,930,1060,1420,2450,3220,3110,2880,2370,2050,2190,1400,1070,590,-940
CZOCurrent,,,29980,2350,1790,2360,4540,2440,1340,850,600,610,510,410,320,270,280,280,340,400,440,590,810,1130,,,,,,,,,,,,,,2090,2700,2350,1760,1020,780,800,870,1050,1220,1140,1780,2330,4250,
EVCurrent,620,3380,-6720,-1040,2500,-3980,-410,-1360,2500,-9600,-5920,-5240,2500,-10010,-11770,-13510,2500,-14430,-9050,-6300,2500,-15690,-2250,3600,2500,-2390,11920,16000,16730,13800,21520,26430,27730,15770,9720,10810,8620,5010,2100,820,2680,-4410,-1340,60,730,2730,7450,7540,9410,8790,11070,11320
EVPCurrent,10,40,-80,-20,50,-70,-10,-20,30,-100,-60,-50,20,-90,-100,-110,20,-110,-70,-50,20,-120,-20,30,20,-10,70,90,90,90,160,250,320,190,130,140,120,70,30,10,40,-70,-20,0,10,40,110,120,160,160,220,240
