,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650,12650
ShareAmountCurrent,14841840000,14841840000,14841840000,14841840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16641840000,16616629000,16616629000,16616629000,16616629000,16616629000,16616629000,16616629000,16616629000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000,16650649000
WKCurrent,690,1460,3570,0,9420,9540,11440,0,11460,10170,9720,0,10560,12170,13300,0,12570,13330,13660,0,15710,16239,15870,14760,15130,15620,15310,15310,14080,14380,14290,14300,14380,14140,14610,14590,14830,15310,15160,14700,14330,14710,15090,15230,15720,16100,14970
CWKCurrent,18420,8680,3550,,1340,1330,1110,,1100,1240,1300,,1200,1040,950,,1010,950,930,,810,780,800,860,840,810,830,830,900,880,890,880,880,890,870,870,850,830,830,860,880,860,840,830,800,790,840
WKGrahamCurrent,-3440,-2140,-130,0,6030,5810,7390,0,6680,5510,4790,0,5560,7470,8500,0,7680,8570,9050,0,10460,10950,10210,8260,7220,7370,6910,6530,4830,4960,4680,4700,4740,4590,5240,5320,4750,5380,5210,4820,5420,6010,6540,6740,7280,7810,6600
CWKGrahamCurrent,,,,,2100,2180,1710,,1890,2300,2640,,2280,1690,1490,,1650,1480,1400,,1210,1160,1240,1530,1750,1720,1830,1940,2620,2550,2700,2690,2670,2760,2420,2380,2660,2350,2430,2620,2340,2110,1940,1880,1740,1620,1920
PCurrent,6530,7900,8420,15580,14050,16079,16379,14970,15830,13670,12140,11430,11930,13510,15690,18190,19960,21000,21930,22610,23090,23380,24180,23980,24800,25200,25290,25440,25270,25250,25640,26960,27540,28760,29650,30590,30540,30170,30240,29490,32270,35150,37290,40190,40660,40680,41460
CPCurrent,1940,1600,1500,810,900,790,770,850,800,930,1040,1110,1060,940,810,700,630,600,580,560,550,540,520,530,510,500,500,500,500,500,490,470,460,440,430,410,410,420,420,430,390,360,340,310,310,310,310
ZCurrent,460,840,0,650,2290,2660,2360,2350,2130,970,700,700,870,1460,2070,2460,2320,2200,1990,2310,2180,2200,2050,920,670,270,100,140,-1040,-840,-940,-930,30,-150,-290,-20,790,970,1280,1100,-260,-460,-240,90,960,1330,1330
CZCurrent,27720,14970,,19340,5530,4750,5370,5390,5950,13050,18190,18040,14470,8660,6110,5140,5460,5760,6360,5480,5810,5740,6180,13780,18970,46100,124750,88510,,,,,495600,,,,16000,13080,9920,11510,,,,139400,13230,9500,9530
ZOCurrent,430,1040,2009,5100,3110,3570,2740,1220,2690,1200,850,940,1130,1930,2550,3110,2870,2640,2570,2680,2520,2720,2380,1300,980,290,110,90,-1670,-1370,-1450,-1410,0,-110,-330,20,990,1150,1620,1430,580,430,700,1010,1450,1720,1800
CZOCurrent,29330,12180,6300,2480,4070,3540,4620,10390,4700,10570,14910,13520,11180,6570,4960,4059,4400,4780,4930,4720,5030,4660,5310,9760,12890,43920,118890,144070,,,,,,,,523960,12760,10970,7820,8870,21710,29320,18150,12480,8740,7350,7040
EVCurrent,12600,12500,13070,12650,12250,12150,11770,12650,9070,9020,10340,12650,12080,12390,11500,12650,10300,11650,11560,12650,11430,11790,11730,11850,11940,13160,12640,12740,12860,14780,15150,15700,14570,16340,17390,13200,13220,14920,15780,16440,15150,16690,16910,16129,11610,14510,11720
EVPCurrent,1930,1580,1550,810,870,760,720,850,570,660,850,1110,1010,920,730,700,520,550,530,560,500,500,490,490,480,520,500,500,510,590,590,580,530,570,590,430,430,490,520,560,470,480,450,400,290,360,280
EVEBITCurrent,29210,12040,6510,2480,3940,3400,4300,10390,3370,7540,12190,13520,10680,6430,4510,4059,3580,4400,4500,4720,4540,4340,4920,9140,12170,45680,118800,145120,-7710,-10800,-10420,-11100,-6385570,-151320,-52400,546910,13330,12940,9750,11530,26000,38700,24270,15920,8029,8440,6530
EVEBITDACurrent,13770,8220,5290,2270,3470,3030,3690,7590,2900,5540,8060,9190,7710,5240,3840,3550,3020,3620,3650,3820,3690,3550,3900,6130,7290,13820,19170,22130,-10700,-15240,-15320,-16800,30830,41160,91060,23160,8670,8850,7330,8350,13330,16740,13310,10100,5700,6280,4940
DTAR,870,710,480,,240,230,190,,240,220,270,,270,190,220,,260,230,210,,200,170,180,240,260,250,270,290,340,330,350,370,360,400,410,300,290,300,320,370,370,370,360,340,270,270,320
CG,6500,2460,910,,310,300,230,,320,280,370,,370,230,280,,360,300,280,,250,200,230,330,350,340,370,420,510,490,530,580,560,660,710,430,400,430,480,590,600,580,550,520,380,370,460
LDER,1760,980,290,,140,90,110,,130,110,120,,110,100,100,,100,80,80,,90,100,110,130,200,230,200,220,290,270,280,260,240,230,230,220,190,180,170,160,170,160,150,150,150,140,150
PZAT,3400,2500,3210,,2310,4120,2910,,2800,3810,3790,,3770,3640,3100,,3450,3720,3590,,3240,2970,3100,3050,2150,1900,2340,2190,1880,2029,2060,2170,2360,2480,2420,2520,3040,3220,3370,3560,3610,3630,3650,3670,3570,3600,3770
PELDR,460,800,1800,,3660,3280,3480,,3070,2690,2220,,2850,3120,3030,,2810,3550,3210,,3230,3340,3090,2540,2530,2310,2160,2110,2190,1950,2100,1880,2120,1820,2230,1910,1980,1810,1970,1730,2200,1960,2250,2060,2550,2220,2530
TSF,370,570,680,,880,840,910,,850,870,810,,800,880,850,,800,830,840,,860,910,900,850,880,910,860,850,850,860,830,800,800,740,720,850,850,820,790,730,730,730,740,760,830,830,780
ZKO,4340,2470,1040,,320,330,260,,360,340,430,,410,270,310,,370,320,290,,270,230,260,370,420,420,450,500,600,580,620,640,630,670,660,540,560,550,580,640,610,590,560,540,450,440,510
OSF,720,1000,1060,,930,870,750,,850,730,860,,880,720,840,,950,890,870,,810,700,730,820,800,790,820,860,920,890,920,950,940,990,1040,840,820,850,880,960,980,990,990,970,850,850,910
NetDebt,65537000000,49712000000,43224000000,,11730000000,25230000000,-14670000000,,-39040000000,-22166000000,688000000,,46952000000,28911000000,11128000000,,28992000000,46376000000,40010000000,,20252000000,24782000000,16858000000,48239000000,50992000000,63897000000,60648000000,70567000000,72684000000,103637000000,111392000000,119620000000,105687000000,142027000000,150920000000,75915000000,82242000000,102050000000,116441000000,141255000000,126448000000,139036000000,133090000000,128216000000,70409000000,91837000000,83971000000
NetDebtEBITDA,4830,2200,1180,,200,380,-280,,-750,-820,30,,1800,740,220,,510,870,760,,390,450,340,1500,1870,4040,5540,7380,-3630,-6420,-6770,-7690,13430,21490,47470,8000,3240,3640,3250,4310,6680,8370,6290,4820,2080,2390,2120
DebtFin,-761000000,-2180000000,6304000000,,-6600000000,-8261000000,-14705000000,,-59594000000,-60420000000,-38374000000,,-9457000000,-4407000000,-19181000000,,-39108000000,-16721000000,-18106000000,,-20216000000,-14269000000,-15368000000,-13376000000,-11861000000,8433000000,-158000000,1536000000,3480000000,35422000000,41580000000,50750000000,32021000000,61450000000,78860000000,9229000000,9416000000,37866000000,52093000000,63118000000,41567000000,67320000000,71004000000,57984000000,-17237000000,31037000000,-15448000000
DebtFinEBITDA,-60,-100,170,,-110,-120,-280,,-1150,-2230,-1800,,-360,-110,-380,,-690,-310,-340,,-390,-260,-310,-420,-440,530,-10,160,-170,-2190,-2530,-3260,4070,9300,24810,970,370,1350,1450,1920,2200,4050,3350,2180,-510,810,-390
SP1,170,410,1010,,2850,2630,2890,,2380,2170,1990,,2130,2620,2740,,2570,2800,2960,,2960,3030,2780,2240,1890,1880,1810,1730,1530,1530,1490,1490,1490,1480,1560,1570,1470,1540,1520,1490,1610,1690,1760,1790,1880,1940,1790
SP2,460,800,1310,,3270,2860,3220,,2690,2400,2220,,2360,2870,3030,,2810,3030,3210,,3230,3340,3090,2540,2280,2310,2160,2110,1970,1950,1900,1880,1850,1820,1920,1910,1760,1810,1780,1730,1870,1960,2029,2060,2160,2220,2050
CAR,20,110,130,,630,610,1080,,1830,2380,1060,,360,440,600,,790,370,430,,590,770,900,630,960,580,720,710,900,190,260,190,280,140,70,440,330,60,50,30,150,10,40,30,460,100,390
QR,160,350,-130,,1970,1020,3260,,2490,2590,2150,,700,2170,2620,,2040,1120,2090,,2640,3450,3500,2380,2200,3650,2610,2460,1820,1710,1290,1490,840,1070,710,2160,1110,1350,900,790,260,990,680,1410,750,1700,470
CR,320,670,1410,,5820,4280,7650,,4720,4880,3350,,3440,6190,5140,,3710,4370,4840,,5740,8820,7360,4630,5700,7340,4700,4260,3880,3950,3350,2870,2830,2290,2220,3800,3460,3070,2670,2150,2260,2340,2470,2610,3650,3700,2870
PP,20,110,150,,1430,670,2670,,2760,2430,1430,,390,660,1300,,830,410,520,,1090,1100,1390,680,1010,850,770,730,920,250,260,250,370,140,180,550,330,120,50,40,150,40,50,30,480,140,400
RCLR,140,230,520,,1390,1100,1370,,570,950,720,,1180,2200,,,1200,1570,1570,,1550,2350,2110,1700,2090,2800,1840,1730,1530,1460,1550,1240,1040,930,950,1610,1510,1240,1260,750,580,950,930,1380,1190,1560,930
KP,-430,-140,130,,600,540,620,,540,510,440,,460,570,570,,520,550,580,,600,640,610,520,500,520,470,450,420,420,390,370,370,330,340,410,370,370,350,310,340,360,380,390,440,460,400
PKKO,-380,-100,140,,710,560,670,,660,580,580,,700,810,820,,580,590,590,,640,680,610,500,470,480,430,430,370,380,360,330,320,290,310,300,270,290,290,270,270,260,260,250,260,280,240
RN,14080,15830,7370,13640,6590,7370,7980,7290,8980,8780,7760,7310,5360,4650,4550,5270,5260,4970,5220,5380,5500,5910,6220,5830,5790,5540,5280,5180,5110,5220,5090,5260,5390,5310,5240,5580,5580,5730,5970,5860,6790,6990,7530,7050,6920,6940,7460
CRN,26000,23000,50000,27000,55000,50000,46000,50000,41000,42000,47000,50000,68000,78000,80000,69000,69000,73000,70000,68000,66000,62000,59000,63000,63000,66000,69000,70000,71000,70000,72000,69000,68000,69000,70000,65000,65000,64000,61000,62000,54000,52000,49000,52000,53000,53000,49000
CPZ,182000,100000,96000,52000,40000,40000,36000,40000,43000,46000,64000,68000,71000,62000,53000,45000,45000,49000,49000,47000,42000,35000,30000,34000,31000,31000,34000,35000,38000,43000,46000,49000,52000,60000,68000,62000,57000,52000,44000,56000,59000,61000,60000,54000,48000,43000,39000
RZ,12340,10690,4170,6470,2350,2550,2810,2840,3000,3440,3680,3380,2820,2440,2230,2550,2770,2770,2750,2820,2620,2420,2560,2820,3200,3670,3950,4100,4480,4320,4430,4520,4180,4270,4090,4380,4550,4600,4810,4090,3820,3980,3880,4390,4760,4870,5250
CRZ,30000,34000,88000,56000,155000,143000,130000,129000,122000,106000,99000,108000,129000,150000,164000,143000,132000,132000,133000,129000,139000,151000,142000,129000,114000,99000,92000,89000,81000,84000,82000,81000,87000,86000,89000,83000,80000,79000,76000,89000,96000,92000,94000,83000,77000,75000,70000
