,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
ShareAmountCurrent,330375000,330375000,330375000,330375000,367063000,367063000,367063000,385217000,385217000,396756000,756776000,802401000,1013588000,1345412000,1804407000,1804407000,258104000,3157354000,3768537000,4092243000,5534603000,8034598000,8034598000,8034598000,11893537000,13230557000,14293037000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000,15121280000
WKCurrent,60910,91190,943420,0,0,983140,1026990,867270,0,986170,308790,185810,0,165460,201840,313990,0,165480,140180,137090,0,95060,101140,106540,66980,49770,46640,43050,39140,26890,17320,18020,17970,9950,9720,7880,-6740,-17600,-19340,-20310,-21290,-22870,-22360,-22140,-24760
CWKCurrent,30,20,0,,,0,0,0,,0,10,10,,10,10,10,,10,10,10,,20,20,20,30,40,40,50,50,70,110,110,110,190,200,250,,,,,,,,,
WKGrahamCurrent,-46340,-15910,-1157680,0,0,-1684650,-1635050,-1607020,0,-2239260,-1222370,-1192890,0,-536160,-329370,-369170,0,-165550,-129229,-112280,0,-74430,-72170,-73580,-48670,-40220,-41300,-38950,-38400,-42750,-43750,-44700,-48660,-52840,-57690,-58120,-58100,-60230,-59730,-64420,-63350,-69860,-67360,-65200,-65600
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,845450,624530,646870,666870,610140,603130,611860,596880,666720,643370,307560,259269,136670,56300,45740,55270,497030,47490,38130,35420,24440,20,-2300,-6530,-7800,10,-30,0,0,10,0,0,0,0,0,0,0,10,10,20,20,20,20,10,10
CPCurrent,0,0,0,0,0,0,0,0,0,0,10,10,10,30,40,40,0,40,50,50,80,119900,,,,174610,,533370,473150,345120,1011560,1222300,1725600,2933530,2933530,3666910,3666910,202310,202310,121720,92830,126990,117340,190490,376090
ZCurrent,28710,8380,-64660,-92400,-59600,-34010,-1910,8710,-64890,-769220,-544340,-736960,-589240,-308600,-204070,-121040,-702090,-47270,-30290,-24930,-23420,-17730,-18000,-18500,-11510,-7810,-7160,-7890,-8160,-16160,-18180,-16830,-16880,-15930,-13690,-13630,-19930,-19160,-19280,-19470,-12570,-5190,-3810,-2340,-3850
CZCurrent,70,230,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent,29710,13820,2900,-31420,-51850,-72560,-79630,-78040,-101040,-224590,-144100,-259410,-237680,-152550,-104720,-52940,-221920,-28740,-26350,-22470,-17700,-5150,-4170,-3970,-2860,-4110,-4590,-4630,-4140,-3720,-2620,-2530,-2580,-2590,-2450,-2430,-1810,-1600,-1520,-2280,-2560,-2730,-2690,-1740,-1720
CZOCurrent,70,140,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent,66930,53280,455530,1940,1940,1142940,1217310,1220860,1940,1637630,859060,776060,1940,324920,175900,240350,1940,103010,80310,69170,1940,45920,46270,45410,30520,23360,23380,22230,21500,21270,21840,22050,24070,25480,27980,28130,28470,25690,25530,27620,27100,30120,28820,27760,28000
EVPCurrent,80,90,700,0,0,1900,1990,2050,0,2550,2790,2990,10,5770,3850,4350,0,2170,2110,1950,80,2838030,,,,2102120,,6110990,5244540,3783980,11389630,13895180,21408610,38521430,42309930,53174790,53821290,2678890,2662240,1733060,1296920,1971340,1743280,2725590,5427800
EVEBITCurrent,2250,3860,156930,-60,-40,-15750,-15290,-15640,-20,-7290,-5960,-2990,-10,-2130,-1680,-4540,-10,-3580,-3050,-3080,-110,-8910,-11100,-11450,-10670,-5680,-5100,-4800,-5190,-5710,-8340,-8730,-9340,-9820,-11440,-11590,-15760,-16070,-16850,-12110,-10570,-11050,-10730,-15950,-16309
EVEBITDACurrent,1890,3860,54490,-80,-40,-17400,-16830,-17260,-20,-7570,-6170,-3050,-10,-2180,-1720,-4770,-10,-3760,-3170,-3210,-110,-9750,-12420,-12250,-11880,-6030,-5290,-5020,-5270,-5760,-8420,-8810,-9410,-9880,-11480,-11620,-15800,-16110,-16890,-12120,-10580,-11060,-10740,-15960,-16329
DTAR,690,540,600,,,650,650,680,,710,810,870,,750,620,570,,540,530,500,,490,470,410,440,460,480,490,510,590,700,700,710,810,820,850,1120,1480,1550,1530,1570,1560,1550,1670,1780
CG,2310,1170,1470,,,1870,1880,2150,,2510,4370,6980,,3360,1740,1330,,1230,1150,1050,,970,900,780,830,930,1010,1030,1110,1600,2540,2500,2720,5340,5960,7420,-8660,-3430,-3100,-3180,-2980,-3060,-3020,-2950,-2650
LDER,630,260,930,,,1510,1690,1830,,1880,3200,5270,,2110,1200,760,,540,470,430,,380,430,380,410,440,470,410,440,530,820,820,880,1740,1940,2380,-2840,-1140,-1010,-1030,-950,-990,-950,-910,-820
PZAT,2780,4450,150,,,100,90,90,,90,80,80,,120,130,130,,180,200,200,,170,110,40,40,50,40,50,40,50,40,40,30,10,10,10,10,10,10,10,10,10,10,10,10
PELDR,920,1070,870,,,930,1040,990,,890,860,860,,720,820,820,,760,770,780,,780,840,910,910,870,860,800,780,610,520,540,530,470,470,440,270,70,10,20,-30,0,-30,-50,-130
TSF,490,580,780,,,880,930,900,,810,780,790,,690,780,760,,680,670,690,,700,750,720,740,710,700,670,660,560,500,510,490,420,410,390,240,60,0,20,-30,-10,-30,-50,-120
ZKO,1490,1180,6050,,,12030,6470,7220,,10430,10610,12450,,27630,16239,8410,,5410,5010,4610,,5120,4920,8490,8080,7760,8230,8160,8770,111500,157180,147880,181730,176610,194250,195320,196590,407020,243480,430520,405710,586880,538480,557410,538970
OSF,840,990,2710,,,4430,2490,2530,,3230,2170,1700,,6410,6070,3920,,2690,2590,2520,,2880,2890,5580,5200,4700,4800,4600,4730,44330,45100,44230,51340,30280,30700,25490,-28810,-190630,-130520,-226590,-230890,-333460,-305720,-335560,-382060
NetDebt,44903000000,34988000000,412141000000,,,643980000000,665916000000,645793000000,,911424000000,942695000000,973628000000,,735261000000,611955000000,688096000000,,539971000000,504303000000,482253000000,,611799000000,597010000000,604596000000,593637000000,548061000000,605681000000,603517000000,595352000000,649538000000,663151000000,677700000000,737412000000,801209000000,874474000000,881036000000,880653000000,912686000000,905422000000,976031000000,959833000000,1057614000000,1019783000000,987168000000,993296000000
NetDebtEBITDA,3830,7660,149220,,,-26710,-25090,-23700,,-10620,-8940,-4760,,-3660,-3320,-7560,,-6230,-5290,-5470,,-16170,-19940,-20300,-19430,-10690,-9590,-9020,-9640,-11630,-16910,-17900,-19060,-20550,-23740,-24060,-32320,-37860,-39610,-28320,-24770,-25680,-25130,-37540,-38310
DebtFin,21471000000,16961000000,149856000000,,,418818000000,446118000000,469549000000,,648969000000,648645000000,621158000000,,434538000000,313895000000,430184000000,,319125000000,295322000000,275102000000,,353357000000,356147000000,349274000000,339970000000,283344000000,306393000000,306769000000,295826000000,292303000000,300964000000,304149000000,334611000000,355879000000,393764000000,396063000000,401235000000,359104000000,356690000000,388331000000,380490000000,426045000000,406484000000,390406000000,394033000000
DebtFinEBITDA,1830,3720,54260,,,-17370,-16810,-17230,,-7560,-6150,-3040,,-2160,-1700,-4730,,-3680,-3100,-3120,,-9340,-11900,-11730,-11130,-5530,-4850,-4580,-4790,-5230,-7670,-8029,-8650,-9130,-10690,-10820,-14730,-14900,-15610,-11270,-9820,-10340,-10020,-14850,-15200
SP1,560,840,450,,,370,390,350,,310,200,140,,230,370,470,,500,520,550,,560,590,660,640,600,580,560,540,400,290,300,280,170,160,130,-150,-470,-540,-530,-570,-570,-570,-600,-710
SP2,920,1060,870,,,930,1040,990,,890,860,850,,720,820,820,,760,760,780,,780,840,910,910,870,860,800,780,610,520,540,530,470,470,440,270,60,10,20,-30,-10,-30,-50,-130
CAR,40,10,220,,,180,520,300,,100,70,50,,50,110,80,,40,40,40,,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QR,770,870,420,,,360,1360,830,,350,330,310,,80,170,260,,320,330,360,,320,390,230,240,240,220,200,190,10,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0
CR,920,1090,450,,,440,1510,940,,380,350,330,,100,200,280,,330,340,370,,320,390,230,240,240,230,200,190,10,10,10,10,10,10,10,10,0,10,0,0,0,0,0,0
PP,50,10,280,,,240,610,690,,290,290,260,,50,110,210,,280,290,300,,290,350,190,200,200,180,170,150,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
RCLR,700,840,110,,,120,720,110,,30,30,20,,20,40,40,,20,20,30,,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,-40,40,-120,,,-70,30,-10,,-110,-140,-140,,-250,-150,-180,,-200,-200,-190,,-200,-150,-160,-170,-180,-200,-230,-250,-390,-470,-460,-480,-540,-550,-570,-750,-980,-1040,-1030,-1060,-1050,-1060,-1150,-1230
PKKO,1390,,50890,,,28530,-13840,2320,,46400,48540,45380,,57390,36110,51340,,58620,59790,57320,,86280,64800,126010,72920,77120,115490,103700,335830,946300,1092790,1296330,1726560,2463410,4073310,6139780,8063190,9645290,10666190,16426529,24138260,28561960,31695180,27209920,29806000
RN,11820,8970,11980,14960,15210,16620,6660,8760,9790,10600,23850,25940,17270,11100,12960,12070,15530,15850,15500,15450,14420,20,-2770,-15240,-26200,40,-100,10,10,20,10,10,10,10,10,10,10,110,100,170,230,190,240,180,110
CRN,31000,41000,30000,24000,24000,22000,55000,42000,37000,34000,15000,14000,21000,33000,28000,30000,24000,23000,24000,24000,25000,21662000,-132000,-24000,-14000,9510000,-3643000,27619000,24486000,15924000,35688000,33766000,32753000,42395000,46419000,60613000,64183000,3427000,3488000,2091000,1599000,1954000,1519000,2054000,3310000
CPZ,44000,49000,286000,284000,280000,251000,163000,162000,145000,203000,328000,454000,682000,1296000,1079000,976000,759000,715000,882000,892000,956000,1080349000,-7717000,-2711000,-1480000,853360000,-321428000,2352432000,2171915000,1709321000,5298629000,6613743000,9910389000,17789936000,19076333000,25462411000,26529021000,1506666000,1519647000,936743000,732028000,1043244000,995892000,1630152000,3257441000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,8980,6870,2820,3500,3560,4170,2710,2600,2900,2520,2410,2280,1520,1100,1650,1920,2470,1820,1310,1180,1100,0,-130,-420,-820,0,0,0,0,0,0,0,0,0,0,0,0,40,40,80,120,90,120,80,40
