,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,50000000000,50000000000,50000000000,50000000000,54250000000,54250000000,54250000000,54250000000,54250000000,54250000000,54250000000,54250000000,54250000000,54250000000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,54356663000,74356663000,74356663000,74356663000,74356663000,74356663000,74356663000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,60.67,34.44,,,,169.80,,,,40.47,29.77,30.39,,15.11,13.04,10.21,8.26,-11.24,7.08,-11.50,-12.08,5.88,-13.17,-8.32,-6.36,-1.25,-31.72,-20.32,-22.50,-30.37,1.39,-1.75
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-100.00,,,,11.87,3.86,-100.00,,3.35,4.36,3.66,2.95,1.49,1.76,1.82,-15.59,22.44,-15.90,1.16,1.65,0.41,-11.20,3.33,7.20,-30.57,3.62,0.50,-3.69,1.09,0.41
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
