,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
ShareAmountCurrent,8676000000,8676000000,8676000000,8676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,12676000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000,13936000000
WKCurrent,50,170,1230,1240,3500,3610,3780,3690,3880,3860,0,0,4030,4050,4050,0,4610,4640,5760,0,5630,5390,5460,5340,5470,5360,5220,4800,5040,5040,5040,4870,5140,5030,5440,5290,5780,6090,6640,8850,9420,9350,9800,9510,10480,10170,10630
CWKCurrent,466870,141650,19550,19330,6850,6650,6340,6500,6190,6220,,,5950,5930,5930,,5210,5170,4170,,4260,4450,4400,4500,4390,4480,4600,5000,4760,4760,4770,4930,4670,4770,4410,4540,4150,3940,3610,2710,2550,2570,2450,2520,2290,2360,2260
WKGrahamCurrent,10,40,50,-130,2270,2080,2080,1060,800,750,0,0,950,-130,-130,0,140,0,240,0,590,580,600,940,1080,1080,950,600,730,790,960,830,1160,1000,1520,1390,1780,2210,2100,4010,4480,4130,4270,3540,3440,3000,3100
CWKGrahamCurrent,3062120,539440,511610,,10550,11550,11520,22610,29840,32189,,,25220,,,,174440,,98740,,40760,41360,39860,25420,22180,22260,25360,40100,32900,30530,24890,28770,20750,24020,15770,17250,13460,10870,11440,5980,5360,5810,5630,6780,6980,7990,7730
PCurrent,2050,3440,4570,5090,5110,5610,6900,7140,7440,7500,7000,6930,6760,7140,8330,9430,11370,11640,12030,12000,12270,13850,14570,14140,14860,14210,15760,16329,18600,20280,20910,21750,23220,24440,26550,27550,29890,30800,33500,34610,39170,42320,43240,45230,50840,50150,54840
CPCurrent,11710,6980,5250,4710,4690,4280,3480,3360,3230,3200,3430,3460,3550,3360,2880,2550,2110,2060,1990,2000,1960,1730,1650,1700,1620,1690,1520,1470,1290,1180,1150,1100,1030,980,900,870,800,780,720,690,610,570,560,530,470,480,440
ZCurrent,20,120,160,170,330,410,570,570,470,350,220,170,150,190,320,380,590,600,590,530,530,390,380,290,100,120,-10,-120,250,360,500,530,270,160,500,510,740,1170,1290,1090,1150,750,830,820,1270,1010,1160
CZCurrent,1542400,203340,150020,139560,73380,59130,42450,42310,50560,69550,107730,141430,157380,127400,75960,62420,40890,39770,40800,45440,44880,61980,63590,83850,246110,200400,,,95340,67610,48150,45430,89640,149180,48040,46770,32560,20570,18550,22090,20950,31890,28870,29340,18910,23730,20610
ZOCurrent,20,140,190,230,400,490,660,630,530,380,240,170,140,170,340,450,740,730,760,680,440,280,180,-10,-80,-20,-20,-70,310,390,430,480,300,200,530,580,800,1310,1490,1630,1700,1120,1040,760,1110,870,1410
CZOCurrent,1067820,165920,129570,104640,60180,49180,36450,38030,45520,62350,101710,143030,176160,140980,70520,52770,32280,32720,31790,35480,54370,85520,135140,,,,,,76380,61000,55260,49660,81360,118140,45040,41310,29990,18350,16110,14760,14120,21350,23090,31590,21540,27740,17050
EVCurrent,23810,23850,23820,23900,21820,22350,22630,23310,23020,23490,24000,24000,23120,24400,24400,24000,23800,24020,24770,24000,23090,22820,23190,23190,23020,22990,22390,22570,22570,23020,23030,22600,22290,21860,22620,23030,21150,21810,22470,21600,17210,20300,22150,23300,18180,22280,21640
EVPCurrent,11610,6940,5210,4690,4270,3990,3280,3260,3100,3130,3430,3460,3420,3420,2930,2550,2090,2060,2060,2000,1880,1650,1590,1640,1550,1620,1420,1380,1210,1130,1100,1040,960,890,850,840,710,710,670,620,440,480,510,520,360,440,390
EVEBITCurrent,1059140,164890,128620,104190,54720,45790,34370,36940,43660,61040,101710,143030,169690,143350,71710,52770,32009,32750,32810,35480,52290,81310,130560,-2085170,-280690,-997900,-1204910,-313220,71820,58500,53030,46760,75570,107590,42440,39650,26420,16680,15080,13290,10130,18060,21320,30670,16320,25740,15370
EVEBITDACurrent,659850,146450,108390,82640,49830,41690,31810,34020,37950,47790,66310,74990,76410,70640,45900,34690,23270,22620,21610,22420,26390,29660,31790,40500,47690,43350,44840,52140,27050,25540,24810,23460,29280,34010,24170,24740,18960,13660,12730,11310,8650,14210,16360,21550,12620,18600,12320
DTAR,850,680,270,460,150,220,80,260,230,350,,,140,440,440,,320,460,370,,280,490,370,400,280,400,330,510,350,540,380,600,400,600,450,580,420,540,420,450,420,500,460,590,450,580,520
CG,5790,2120,360,870,180,280,90,350,290,540,,,170,780,780,,470,860,590,,380,980,580,680,390,670,490,1060,540,1200,630,1480,680,1500,800,1360,730,1150,720,800,720,1020,840,1470,840,1410,1100
LDER,10,,0,,0,,0,40,40,30,,,20,10,10,,0,0,30,,50,0,20,40,40,30,20,20,10,0,0,10,10,10,0,0,0,30,30,0,50,40,60,50,50,40,50
