,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
ShareAmountCurrent,1700000000,1700000000,1700000000,1700000000,1700000000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,18664286000,5226000000,5226000000,5226000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000,10452000000
WKCurrent,4460,1950,2009,3410,3730,4760,4840,4890,4960,4970,4920,4460,4290,2940,2690,2630,1850,1380,870,850,830,750,2650,2570,2320,2660,2680,2590,2570,2510,2470,2460,2430,2480,2500,2580,2580,2590,2580,2580,2560,2470,2320,2300,2380,2370,2440,2370,2300,1990,2029,1960
CWKCurrent,80,180,170,100,90,70,70,70,70,70,70,80,80,120,130,130,190,250,400,410,420,470,130,140,150,130,130,130,140,140,140,140,140,140,140,140,140,140,140,140,140,140,150,150,150,150,140,150,150,180,170,180
WKGrahamCurrent,-1800,-3690,-3450,880,970,-1390,-1250,-1310,-1370,-1820,-1570,-2350,-2180,-2810,-2930,-3020,-1190,590,640,620,600,280,990,920,650,1350,1340,1240,1190,1120,920,840,520,440,430,530,550,540,560,630,640,580,570,630,650,650,640,580,540,280,370,500
CWKGrahamCurrent,,,,400,360,,,,,,,,,,,,,600,550,560,580,1230,350,380,540,260,260,280,300,310,380,420,670,800,820,660,630,650,630,550,550,610,620,560,540,540,540,610,650,1260,940,700
PCurrent,14640,11030,11880,12830,12600,2500,5620,8390,11710,13950,14070,14470,14330,13910,12940,11730,9280,810,-1580,-3700,-4600,640,2180,2200,2250,1120,1110,1140,1150,1110,1100,1060,1050,1050,1090,1110,1110,1090,1040,1020,990,980,980,1000,980,940,900,770,680,610,520,470
CPCurrent,20,30,30,30,30,140,60,40,30,30,20,20,20,30,30,30,40,430,,,,550,160,160,160,310,310,310,310,320,320,330,330,330,320,320,320,320,340,340,350,360,360,350,360,370,390,450,510,580,670,750
ZCurrent,1840,-2420,-2020,440,920,220,290,130,190,190,60,-480,-710,-2040,-2210,-1790,-1760,-1180,-900,-860,-730,-70,-450,-470,-650,-240,-220,-260,-160,-160,-210,-140,-140,-150,-90,-10,30,110,100,40,50,50,-10,20,50,10,30,-90,-180,-450,-410,-370
CZCurrent,190,,,790,380,1580,1210,2650,1850,1890,5770,,,,,,,,,,,,,,,,,,,,,,,,,,13160,3320,3460,8390,7610,7410,,14400,7590,30740,11610,,,,,
ZOCurrent,1700,-2270,-1870,640,1090,-10,90,-30,80,350,240,-290,-540,-1110,-1150,-810,-820,-90,-70,0,140,-130,-420,-410,-440,-190,-230,-260,-270,-270,-280,-280,-260,-270,-180,-80,-40,30,0,-20,-30,-50,-70,-60,-60,-70,-80,-180,-230,-480,-450,-390
CZOCurrent,210,,,550,320,,3700,,4600,1010,1470,,,,,,,,,85950,2490,,,,,,,,,,,,,,,,,11190,3658200,,,,,,,,,,,,,
EVCurrent,-520,810,60,-2750,-2780,1030,-760,1210,-390,1690,-320,1790,-140,2180,-70,2100,-160,350,-130,-100,-70,370,30,50,180,380,-730,-640,-590,370,-300,-200,140,390,210,210,180,430,170,60,60,520,90,70,90,540,100,340,210,500,190,220
EVPCurrent,-40,70,10,-210,-220,410,-140,140,-30,120,-20,120,-10,160,-10,180,-20,430,,,,570,20,20,80,330,-650,-560,-510,330,-270,-190,130,370,190,190,160,400,160,60,60,520,90,70,100,580,110,430,310,830,360,470
EVEBITCurrent,-310,-360,-30,-4290,-2550,-93110,-8060,-46480,-5180,4890,-1330,-6200,270,-1970,60,-2600,190,-4100,2000,-24700,-520,-2890,-80,-120,-410,-2029,3210,2430,2170,-1360,1080,720,-520,-1430,-1150,-2530,-4080,13780,1779200,-2470,-2200,-11410,-1330,-1340,-1530,-7590,-1220,-1840,-940,-1060,-420,-560
EVEBITDACurrent,-260,-380,-40,-3450,-2260,36260,-3580,6940,-1080,2430,-530,19320,960,-17780,420,12840,-1730,-4760,910,610,1080,-3200,-90,-140,-470,-2460,3860,2880,2590,-1620,1280,860,-630,-1740,-1570,-5980,39820,5310,3450,2350,2920,174040,-4300,-6260,-4430,-14980,-2029,-2240,-1090,-1140,-450,-600
DTAR,520,710,700,460,450,470,470,470,480,490,510,540,540,630,640,640,530,30,120,120,130,130,120,130,150,80,80,80,80,80,80,90,80,90,90,100,100,90,110,120,130,130,140,140,140,140,140,140,130,140,130,140
CG,1070,2490,2360,860,840,900,900,890,920,960,1030,1170,1190,1710,1810,1810,1130,70,140,140,150,140,130,160,180,80,80,90,90,90,90,100,90,100,100,110,110,100,120,140,140,150,160,170,160,170,160,160,140,160,150,160
LDER,340,720,780,240,190,190,360,220,330,230,310,230,320,330,490,290,170,0,20,20,20,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,0,0,0,0,0,10,10,0,0,80
PZAT,3030,3690,3180,2570,3240,6160,3090,5210,3480,5240,3780,5750,4190,5790,4200,7040,7310,91820,10620,11180,11190,13640,29830,17290,13270,14420,11310,12400,11900,11890,13000,14140,16560,25960,27430,28580,33400,49280,30720,34620,30410,20090,123870,288150,66640,36150,33210,29330,29860,37080,38800,2160
PELDR,1080,700,690,1730,1660,1010,1080,1040,1040,1010,1000,910,880,790,750,730,720,560,3850,3800,3760,1640,1600,1580,1420,2060,2040,1950,1890,1850,1640,1560,1310,1250,1240,1300,1310,1290,1310,1360,1370,1350,1370,1420,1430,1430,1410,1370,1360,1210,1280,1500
TSF,650,490,530,670,650,620,710,640,690,620,640,570,600,490,530,460,550,410,900,900,890,890,890,880,870,930,930,930,930,930,930,920,930,920,920,910,910,910,900,880,880,880,860,860,860,860,860,860,880,860,870,920
ZKO,1610,4120,3650,770,760,1490,1400,1430,1430,1620,1450,1820,1750,2270,2500,2750,2340,140,160,160,170,270,260,300,380,140,150,160,160,160,200,230,290,360,370,340,330,330,360,370,370,390,400,380,370,380,380,400,380,540,450,390
OSF,1150,1420,1340,1030,1020,1140,1100,1110,1110,1220,1090,1230,1160,1160,1200,1310,1420,80,590,590,610,440,410,470,530,290,290,300,300,290,320,340,370,440,440,430,430,420,460,490,490,500,520,520,510,520,520,530,500,630,560,530
