,2004/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000,21213024000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,-164.54,,15.31,17.37,32.43,,,,39.82,40.99,37.18,14.40,18.45,13.78,12.65,14.04,11.94,14.02,16.14
WKCurrent_sy,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,5.24,5.73,22.53,2.55,6.12,2.87,2.19,6.18,1.93,1.85,3.45,4.23,3.82,3.74
WKCurrent_sq,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,,-13.28,-14.80,-24.49,,,,-28.48,-29.07,-27.11,-12.59,-15.58,-12.11,-11.22,-12.31,-10.67,-12.30,-13.91
CWKCurrent_sy,,,-4.52,-5.42,5.06,,,,-1.03,-2.68,-8.84,-2.82,6.24,-2.83,8.27,8.10,9.90,3.07,-17.74
CWKCurrent_qq,,,,,,-4.98,-5.41,-18.39,-2.48,-5.77,-2.80,-2.14,-5.82,-1.89,-1.81,-3.34,-4.06,-3.67,-3.62
CWKCurrent_sq,,,,,,6.45,0.06,-9.75,2.96,4.67,-6.26,-3.80,12.55,-4.27,4.45,-3.94,14.42,-10.22,-16.64
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,
