,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
QuoteCurrent,,,,,,,,
QuoteCurrent_yy,,,,,,,,
QuoteCurrent_sy,,,,,,,,
QuoteCurrent_qq,,,,,,,,
QuoteCurrent_sq,,,,,,,,
ShareAmountCurrent,148352432000,148352432000,148352432000,148352432000,148352432000,148352432000,148352432000,167498696000
ShareAmountCurrent_yy,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,
WKCurrent,,,,,,,,
WKCurrent_yy,,55.41,-47.52,50.58,-45.57,100.42,-31.57,-14.95
WKCurrent_sy,,,,,,,,
WKCurrent_qq,,,,,,,,
WKCurrent_sq,,,,,,,,
CWKCurrent,,,,,,,,
CWKCurrent_yy,,-35.65,90.55,-33.59,83.71,-50.10,46.11,17.60
CWKCurrent_sy,,-22.00,6.55,-4.32,24.60,59.31,3.86,-28.12
CWKCurrent_qq,,,,,,,,
CWKCurrent_sq,,,,,,,,
WKGrahamCurrent,,,,,,,,
WKGrahamCurrent_yy,,60.25,99.38,-69.63,468.96,106.22,-58.21,-13.86
WKGrahamCurrent_sy,,,,,,,,
WKGrahamCurrent_qq,,,,,,,,
WKGrahamCurrent_sq,,,,,,,,
CWKGrahamCurrent,,,,,,,,
CWKGrahamCurrent_yy,,-37.64,-49.83,228.94,-82.41,-51.51,139.34,16.08
CWKGrahamCurrent_sy,,-86.34,843.96,228.94,-82.41,-51.51,139.34,16.08
CWKGrahamCurrent_qq,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,
PCurrent,,,,,,,,
PCurrent_yy,,36.00,-5.88,-15.62,-66.67,822.22,303.61,-44.78
PCurrent_sy,,,,,,,,
PCurrent_qq,,,,,,,,
PCurrent_sq,,,,,,,,
CPCurrent,,,,,,,,
CPCurrent_yy,,-24.61,6.02,16.70,205.92,-89.35,-75.17,81.22
CPCurrent_sy,,-24.16,-17.22,32.68,-1.77,29.20,4.18,-12.81
CPCurrent_qq,,,,,,,,
CPCurrent_sq,,,,,,,,
ZCurrent,,,,,,,,
ZCurrent_yy,,63.94,-490.32,22.54,-26.77,-38.79,-58.10,-51.05
ZCurrent_sy,,,,,,,,
ZCurrent_qq,,,,,,,,
ZCurrent_sq,,,,,,,,
CZCurrent,,,,,,,,
