,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590
ShareAmountCurrent,5000000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5900000000000,5778314857000,5778314857000,5778314857000,5778314857000,5778314857000,5778314857000
WKCurrent,3550,3520,3630,3460,0,3580,3730,3590,0,3560,3690,3550,0,3510,3450,3350,0,3630,3790,3730,0,3980,4190,4050,4130,4270,4170,4130,4130,4610,4810,4740,4840,4820,5000,4890,5030,5110,5340,5260,5260,5210,5440,5300,5280,5430,5790,5680,5740,5820,6070,6190
CWKCurrent,1860,1870,1820,1910,,1840,1770,1840,,1850,1790,1860,,1880,1910,1970,,1810,1740,1760,,1650,1570,1630,1600,1540,1580,1590,1600,1430,1370,1390,1360,1370,1320,1350,1310,1290,1230,1250,1250,1270,1210,1240,1250,1210,1140,1160,1150,1130,1090,1060
WKGrahamCurrent,-1340,-470,-330,-460,0,-350,-180,-320,0,-190,-80,-260,0,-320,-490,-650,0,-550,-420,-590,0,-660,-510,-760,-860,-1030,-1620,-1810,-1900,-1690,-1540,-1580,-1450,-1540,-1140,-1350,-1260,-1300,-1040,-1010,-970,-860,-820,-930,-1040,-720,-460,-610,-600,-490,-310,-250
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,2180,2130,2350,2470,2540,2580,2570,2620,2680,2820,2870,2960,3050,3120,3300,3290,3250,3280,3320,3360,3440,3610,3680,3740,3840,3900,4220,4450,4580,4870,5090,5200,5360,5430,5310,5370,5410,5810,6320,6490,6470,6180,5920,5660,5560,5630,5860,6000,6060,6210,6480,6560
CPCurrent,3020,3100,2800,2670,2600,2560,2570,2520,2460,2330,2300,2230,2160,2110,2000,2000,2029,2009,1990,1960,1920,1830,1790,1760,1720,1690,1560,1480,1440,1350,1290,1270,1230,1210,1240,1230,1220,1130,1040,1010,1020,1070,1110,1160,1180,1170,1120,1100,1090,1060,1020,1000
ZCurrent,160,150,160,180,200,230,250,290,320,160,150,150,130,150,-50,-120,-80,210,450,460,450,420,420,420,410,300,180,140,100,380,510,610,710,330,340,340,330,480,490,540,480,360,390,260,270,400,440,550,550,510,500,540
CZCurrent,41550,44200,40360,35670,33770,29290,26140,22800,20750,42490,42920,45180,52710,44930,,,,31480,14790,14290,14690,15850,15670,15770,15930,22140,36510,48570,69380,17340,13030,10740,9270,20270,19190,19320,19700,13770,13480,12270,13680,18220,17080,25230,24180,16540,14850,11980,11950,13030,13180,12300
