,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,15.63,17.15,,19.52,,,,18.57,17.46,15.28,,12.68,12.34,11.19,9.45,8.93,9.29,10.59,14.61,18.53,17.70,14.58,11.99,8.11,7.90,-6.20,-8.88,-9.45,-8.43,7.15
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,4.76,5.44,-100.00,,3.78,3.48,2.99,1.88,3.46,2.42,1.38,1.40,3.80,3.64,5.06,4.86,3.07,0.90,2.69,1.23,2.87,-12.29,-0.25,0.60,4.03,2.64
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
