,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100,21100
ShareAmountCurrent,4518000000,4518000000,4518000000,4518000000,4518000000,4518000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,6024000000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000,5982716000
WKCurrent,6170,6860,6940,6850,0,10070,16309,16260,0,17840,18220,17870,0,19220,19110,18010,0,18400,17640,17280,0,16720,16490,16530,0,16920,17050,17270,17530,18100,17950,17540,17690,18250,17890,16980,17020,17530,17520,17020,17400,15490,15460,15660,15770,15220,15150,15140,15850,16950,17260,16620
CWKCurrent,3420,3080,3040,3080,,2100,1290,1300,,1180,1160,1180,,1100,1100,1170,,1150,1200,1220,,1260,1280,1280,,1250,1240,1220,1200,1170,1180,1200,1190,1160,1180,1240,1240,1200,1200,1240,1210,1360,1370,1350,1340,1390,1390,1390,1330,1250,1220,1270
WKGrahamCurrent,2410,2880,2990,2940,0,5720,11450,10450,0,8710,9720,9010,0,9680,9570,8420,0,8640,8070,7670,0,6830,6590,6740,0,7560,8070,8470,8870,7300,7050,6590,6780,6650,6490,6310,6390,6740,6860,6700,7240,5980,6560,6080,6510,5390,-2100,-2400,800,1900,2340,1090
CWKGrahamCurrent,8770,7320,7050,7180,,3690,1840,2020,,2420,2170,2340,,2180,2200,2510,,2440,2620,2750,,3090,3200,3130,,2790,2610,2490,2380,2890,2990,3200,3110,3180,3250,3340,3300,3130,3070,3150,2920,3530,3220,3470,3240,3920,,,26500,11120,9010,19380
PCurrent,19960,26690,26730,26920,33210,33630,26590,26000,22050,23050,25750,30160,34370,34920,31410,26210,21520,19870,18670,18270,16650,18680,21720,23810,25320,26130,24640,25060,26090,25500,25540,23520,23410,26330,29130,29970,30040,27420,24410,24220,23910,21780,21200,21100,20520,20580,21980,25180,29090,33290,37270,40110
CPCurrent,1060,790,790,780,640,630,790,810,960,920,820,700,610,600,670,810,980,1060,1130,1160,1270,1130,970,890,830,810,860,840,810,830,830,900,900,800,720,700,700,770,860,870,880,970,1000,1000,1030,1030,960,840,730,630,570,530
ZCurrent,160,960,970,1020,1280,1400,1220,1240,1060,2000,2110,1930,2390,1720,1260,1020,330,90,-560,-810,-1500,-1880,-1340,-930,-290,180,550,720,980,1210,910,660,570,640,570,80,-70,-330,-80,480,830,-1470,-1540,-1730,-1660,-790,-770,-600,-390,1810,2240,2610
CZCurrent,133520,22010,21820,20740,16450,15070,17230,17000,19860,10540,10020,10920,8850,12290,16780,20700,63740,227380,,,,,,,,119570,38070,29110,21580,17510,23250,31940,36900,32910,37200,257300,,,,43760,25560,,,,,,,,,11640,9440,8080
ZOCurrent,770,1390,1360,1300,1540,1600,1400,1390,1190,2180,2340,2330,2710,1900,1390,950,250,100,-590,-1010,-1900,-2290,-1760,-1170,-480,40,610,860,1310,1830,1310,950,780,600,560,210,40,-270,-30,560,990,-1330,-1390,-1610,-1450,-390,-90,20,360,2510,2920,3710
CZOCurrent,27510,15230,15510,16270,13680,13170,15060,15140,17720,9660,9000,9050,7780,11080,15240,22320,84400,222210,,,,,,,,591190,34630,24500,16090,11540,16110,22180,27220,35360,37370,98990,562420,,,37980,21340,,,,,,,978570,58150,8420,7230,5680
EVCurrent,20810,19610,20030,21190,21100,18340,14510,15490,21100,17650,14520,16010,21100,15310,17770,18850,21100,19960,21390,20710,21100,20080,20920,20880,21100,20700,19670,21400,19600,19800,18770,19950,19890,17800,18410,19120,20990,20010,20410,20170,20840,19860,20490,20320,21000,20530,25060,24940,23900,23990,22410,23520
EVPCurrent,1040,730,750,790,640,550,550,600,960,770,560,530,610,440,570,720,980,1000,1150,1130,1270,1070,960,880,830,790,800,850,750,780,730,850,850,680,630,640,700,730,840,830,870,910,970,960,1020,1000,1140,990,820,720,600,590
EVEBITCurrent,27140,14160,14730,16340,13680,11450,10350,11110,17720,8080,6190,6870,7780,8039,12830,19940,84400,210260,-36480,-20410,-11090,-8770,-11890,-17820,-44180,580020,32280,24840,14940,10830,14330,20980,25660,29830,32610,89690,559540,-74630,-714140,36310,21080,-14960,-14760,-12590,-14520,-52520,-277090,1156680,65870,9570,7680,6340
EVEBITDACurrent,18950,11170,11500,12610,11010,9240,8570,9100,13830,6700,5050,5460,6270,6020,8700,11910,23590,26400,339980,-60540,-17080,-12100,-18120,-35100,304080,36720,17410,15510,10720,8440,10310,13660,15650,16500,17380,26740,37840,71990,38940,18000,13310,-26220,-25010,-19320,-23650,50530,35160,28550,19660,7520,6180,5400
DTAR,350,430,380,530,,360,210,210,,210,310,380,,280,280,290,,240,230,230,,300,300,270,,290,260,260,260,240,220,240,280,310,310,260,310,300,260,280,290,280,240,260,270,300,490,500,530,460,450,510
