,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640,97640
ShareAmountCurrent,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000,427709061000
WKCurrent,30840,38980,40190,42500,44640,44070,44090,45670,46560,46610,47280,48930,49810,41650,40550,42960,44570,44510,45590,46470,49080,50570,54270,55710,55830,57360,60070,59370,62810,61910,62550,60620,62100,60670,60590,48400,49470,43890,46060,47960,51650,51840,52440,54600,58120,62570,67490,68060,72070,75280,75350,76950
CWKCurrent,3170,2500,2430,2300,2190,2220,2210,2140,2100,2090,2070,2000,1960,2340,2410,2270,2190,2190,2140,2100,1990,1930,1800,1750,1750,1700,1630,1640,1550,1580,1560,1610,1570,1610,1610,2020,1970,2220,2120,2040,1890,1880,1860,1790,1680,1560,1450,1430,1350,1300,1300,1270
WKGrahamCurrent,1600,-3880,-2490,720,3380,-16160,-15070,-13050,-9800,-10170,-7810,-6500,-8200,-20580,-26880,-22730,-19360,-18660,-18540,-20730,-15740,-14570,-11660,-7890,-11650,-4280,-410,-1060,3480,3350,4370,2470,4800,1470,520,-3800,-3950,-10800,-8830,-5120,-1780,-7520,-8590,-7480,-4990,-2560,2610,3190,6420,7940,1260,2700
CWKGrahamCurrent,61100,,,134750,28870,,,,,,,,,,,,,,,,,,,,,,,,28020,29180,22320,39500,20350,66290,186440,,,,,,,,,,,,37450,30590,15210,12300,77340,36130
PCurrent,71730,96300,106880,115270,119490,123610,128460,134710,140290,149150,159740,173480,187020,185950,178380,165940,155630,158820,165220,175270,183360,195340,207570,218260,233640,250110,265480,270890,277830,280800,276600,277220,274070,265590,257810,258810,256140,249780,240160,231100,217790,206530,197670,184990,179420,186000,201570,210150,218680,222960,223820,232420
CPCurrent,1360,1010,910,850,820,790,760,720,700,650,610,560,520,530,550,590,630,610,590,560,530,500,470,450,420,390,370,360,350,350,350,350,360,370,380,380,380,390,410,420,450,470,490,530,540,530,480,460,450,440,440,420
ZCurrent,5800,10700,9960,6010,5960,4640,3950,4570,3700,5640,6990,8400,7070,-5860,-9880,-11210,-9090,3060,7010,4260,4990,5540,6740,8850,5340,5530,5890,3780,7570,5480,2880,2410,750,410,210,-11450,-11730,-13590,-11970,3380,3980,6630,5650,6220,7930,12300,16000,15840,16020,15560,13510,13980
CZCurrent,16820,9120,9810,16260,16379,21030,24750,21380,26420,17310,13970,11620,13820,,,,,31920,13940,22940,19580,17610,14490,11030,18270,17670,16580,25860,12890,17810,33850,40460,130120,237280,458920,,,,,28900,24540,14720,17270,15710,12320,7940,6100,6160,6090,6280,7230,6980
ZOCurrent,6240,11500,10610,7320,7450,6020,5930,6190,5460,6090,6530,7360,6610,-3750,-5820,-8119,-8330,2570,4400,5480,6340,7300,9350,9080,9060,4830,3900,2410,3980,4730,3290,2080,50,620,460,-10470,-9480,-11010,-8780,7540,7900,10150,8440,9200,10650,17610,21810,20950,22120,20240,18230,18820
CZOCurrent,15660,8490,9210,13340,13100,16210,16470,15780,17890,16040,14950,13260,14770,,,,,38070,22190,17820,15410,13370,10450,10750,10780,20210,25060,40460,24530,20630,29630,46930,1869700,156410,211990,,,,,12950,12360,9620,11570,10610,9170,5540,4480,4660,4420,4820,5360,5190
EVCurrent,101430,105580,108320,105330,103550,119740,120300,117830,116810,119940,119000,116870,122470,129810,134890,129330,130060,121910,121930,121170,121190,116320,117790,116310,120030,116420,115090,118390,112270,113740,117890,110100,109040,108810,118870,112680,111650,115740,116650,111770,111730,113560,112170,112420,111360,105500,106180,100390,98970,99420,109690,107590
EVPCurrent,1410,1100,1010,910,870,970,940,870,830,800,750,670,650,700,760,780,840,770,740,690,660,600,570,530,510,470,430,440,400,410,430,400,400,410,460,440,440,460,490,480,510,550,570,610,620,570,530,480,450,450,490,460
EVEBITCurrent,16260,9180,10210,14390,13900,19880,20290,19040,21400,19700,18220,15870,18530,-34630,-23180,-15920,-15610,47530,27710,22110,19130,15930,12600,12810,13250,24100,29540,49060,28200,24030,35780,52920,2088040,174310,258079,-10770,-11770,-10510,-13290,14820,14140,11190,13300,12220,10460,5990,4870,4790,4480,4910,6020,5720
EVEBITDACurrent,10800,6740,7030,8480,8250,10930,10960,10230,10670,10190,9800,8970,9970,62520,861280,-63620,-59240,14250,11870,10770,10040,8970,7900,7990,8260,11200,12090,14880,11940,11360,13950,15330,21510,19570,22040,-20400,-23780,-18200,-27200,9400,9100,7790,8620,8100,7190,4680,3950,3840,3600,3840,4560,4330
DTAR,350,420,410,410,400,520,520,510,500,510,510,510,520,560,590,580,550,560,550,560,530,530,520,510,540,540,530,510,500,460,470,490,470,460,480,560,550,560,540,540,520,500,490,510,480,470,420,430,430,420,460,480
CG,550,850,810,800,760,1250,1240,1200,1140,1180,1180,1180,1210,1480,1700,1570,1430,1440,1390,1480,1260,1240,1220,1170,1320,1300,1210,1130,1070,920,940,1030,950,920,980,1370,1330,1400,1280,1300,1170,1080,1060,1120,990,980,800,840,820,790,850,950
LDER,250,330,320,300,280,480,510,440,420,560,570,500,550,260,280,800,740,690,580,550,530,490,360,420,460,490,450,460,380,350,310,330,280,300,350,570,560,660,530,480,550,460,440,440,400,360,310,300,290,280,320,330
