,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ShareAmountCurrent,20000000000,22757575000,22757575000,22757575000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,45455150000,48992183000,48992183000,48992183000,61240228000,61240228000,61240228000,61240228000,61240228000,61240228000,61240228000,61240228000,61240228000,61240228000,61240228000,62145700000,62145700000,62145700000,62145700000,62145700000,62145700000,62145700000,62145700000,62145700000,62145700000,62145700000,47025389000,47025389000,47025389000,47025389000,47025389000,53425666000,53425666000,53425666000,53425666000,53425666000,53425666000
WKCurrent,-370,310,260,150,620,510,610,0,0,380,360,330,0,270,240,300,0,290,250,360,0,430,430,430,0,430,420,420,410,310,1030,820,980,1010,1010,1010,1010,560,550,560,550,990,1020,1010,1010,920,900,750,690,-270,-350,-630
CWKCurrent,,30,40,70,20,20,20,,,30,30,30,,40,40,30,,30,40,30,,20,20,20,,20,20,20,20,30,10,10,10,10,10,10,10,20,20,20,20,10,10,10,10,10,10,10,10,,,
WKGrahamCurrent,-580,70,30,-100,430,300,390,0,0,160,140,120,0,90,70,130,0,110,80,230,0,220,220,230,0,240,240,230,200,30,220,130,240,210,200,190,180,-210,-200,-190,-190,-50,-70,-60,-70,-180,-140,-220,-270,-450,-530,-690
CWKGrahamCurrent,,150,290,,20,30,30,,,60,70,80,,110,140,80,,90,130,40,,50,40,40,,40,40,40,50,300,50,70,40,50,50,50,60,,,,,,,,,,,,,,,
PCurrent,240,470,580,660,340,390,440,510,600,680,720,780,810,800,810,780,650,580,580,440,450,440,400,390,370,410,400,380,380,340,340,410,440,520,560,590,620,640,680,670,680,950,1000,1120,1190,1200,1040,1050,1060,1020,1000,840
CPCurrent,40,20,20,20,30,30,20,20,20,10,10,10,10,10,10,10,20,20,20,20,20,20,20,30,30,20,30,30,30,30,30,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ZCurrent,-160,-140,-160,-210,-110,-180,-160,-130,-150,-130,-140,-160,-110,-110,-120,-110,-110,-60,-80,-90,-110,0,30,70,90,0,-10,-20,-20,0,20,30,60,70,70,50,30,-140,-150,-140,-140,0,30,60,60,-60,-110,-260,-330,-1210,-1240,-1200
CZCurrent,,,,,,,,,,,,,,,,,,,,,,5230,290,140,120,21120,,,,2230,500,310,180,140,150,190,300,,,,,2900,380,180,180,,,,,,,
ZOCurrent,-110,-140,-160,-210,-110,-110,-110,-90,-100,-110,-110,-100,-80,-60,-70,-70,-60,-60,-80,-80,-100,10,40,70,90,0,-10,-10,-20,10,20,40,50,40,40,20,20,-130,-120,-100,-90,50,40,50,50,-90,-110,-230,-290,-1100,-1130,-1110
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,1110,260,150,120,2560,,,,1010,410,250,200,250,270,500,660,,,,,190,240,200,200,,,,,,,
EVCurrent,10,-10,-10,-790,-280,-180,-80,10,10,-20,-10,-10,10,-40,-10,0,10,0,0,0,10,0,0,0,10,30,0,40,40,40,10,-20,-60,10,70,80,120,150,200,220,320,230,330,320,320,390,290,310,360,390,420,360
EVPCurrent,20,-30,-10,-1200,-820,-450,-180,20,20,-30,-10,-20,10,-40,-10,0,20,-10,0,-10,20,0,0,10,30,80,10,100,110,110,20,-60,-150,10,130,140,190,230,290,320,470,250,330,290,270,320,280,290,340,390,420,430
EVEBITCurrent,-50,100,50,3680,2590,1580,700,-110,-100,150,100,130,-120,540,70,-40,-160,50,10,50,-100,170,-10,40,120,7990,-640,-3720,-2170,3630,290,-610,-1260,180,2050,4190,7720,-1130,-1610,-2190,-3440,4370,7960,6460,6450,-4550,-2680,-1310,-1240,-360,-370,-330
EVEBITDACurrent,-80,150,70,4550,3200,1890,840,-150,-140,200,130,190,-200,1030,130,-70,-280,80,10,70,-120,50,-10,30,90,1770,800,40790,-4400,1900,210,-470,-980,120,1270,1850,2850,-1410,-2040,-2950,-4830,2690,4350,3780,3790,-8630,-4030,-1590,-1470,-380,-390,-340
DTAR,2190,550,590,900,180,270,160,,,360,360,400,,490,520,320,,480,500,100,,110,120,120,,240,240,230,260,350,230,250,220,240,240,260,250,450,430,460,490,320,330,340,370,430,400,420,460,1510,1770,3390
CG,-1840,1220,1450,8850,210,370,190,,,570,560,670,,950,1090,470,,930,1000,110,,120,140,140,,310,310,290,360,550,300,330,280,310,310,360,340,810,760,880,960,470,490,520,580,760,680,740,860,-2960,-2290,-1370
LDER,-260,270,260,430,70,60,50,,,60,70,70,,60,60,30,,40,50,30,,40,40,40,,40,40,40,40,70,120,30,70,120,130,130,130,110,120,110,90,300,290,300,300,60,60,60,60,-120,-80,-20
PZAT,2150,2800,3310,3720,4420,6020,6850,,,8360,8119,7540,,9250,9110,17470,,11680,11260,10990,,12020,11740,11510,,11550,11460,11520,13030,9780,2500,11920,4200,2460,2450,2470,2530,4390,4260,3820,4880,1290,1350,1280,1290,7200,6840,7450,8000,4110,4570,1740
PELDR,-1300,1880,1630,1030,3550,2630,2920,,,1880,1780,1750,,1820,1520,1840,,1710,1530,2760,,2090,2150,2180,,2390,2340,2290,2020,1210,1410,1220,1400,1400,1400,1380,1360,800,810,820,800,1230,1200,1220,1210,880,910,820,760,-1300,-1780,-15520
TSF,-870,570,510,150,880,770,880,,,680,690,640,,540,510,700,,540,530,920,,920,910,910,,790,790,800,760,690,860,770,830,850,860,830,840,610,630,590,550,880,860,850,820,600,630,610,570,-450,-710,-2420
ZKO,6670,850,920,1080,230,390,230,,,580,590,650,,730,790,530,,710,760,150,,190,220,210,,360,360,350,430,830,590,670,540,600,610,660,660,1900,1940,1630,1580,1120,1160,1130,1130,1340,1310,1650,1840,2310,2960,4970
