,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
ShareAmountCurrent,5019000000,5019000000,5019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000,9019000000
WKCurrent,40,110,310,1710,1710,0,1780,1810,1830,0,1890,1890,1600,0,1560,1630,1590,0,1550,1570,1500,0,1540,1570,1540,1560,1570,1630,1580,1590,1640,1660,1610,1640,1730,1830,1770,1830,1860,1920,1900,1900,1970,1960,1970,2009,2060,2120,2140
CWKCurrent,44090,14540,5080,930,930,,890,880,870,,840,840,1000,,1020,980,1000,,1030,1010,1060,,1040,1010,1030,1020,1010,980,1010,1000,970,960,990,970,920,870,900,870,860,830,840,840,810,810,810,790,770,750,740
WKGrahamCurrent,10,20,110,1560,1520,0,1620,1670,1450,0,1500,1510,1240,0,1210,820,640,0,590,800,820,0,800,810,660,650,750,810,600,600,710,680,680,760,870,1020,970,1070,1100,1170,1150,1180,1260,1150,1170,1220,1330,1410,1440
CWKGrahamCurrent,295560,79010,14400,1020,1050,,980,950,1100,,1060,1050,1290,,1310,1950,2490,,2680,1980,1930,,1990,1950,2420,2430,2130,1950,2650,2660,2230,2350,2350,2090,1840,1550,1640,1490,1440,1360,1380,1350,1270,1380,1360,1310,1190,1130,1100
PCurrent,1950,2920,4490,2910,3280,3420,4019,4059,4420,4660,4650,4550,4220,4019,3770,3960,4200,4240,4870,5060,5200,5460,5090,5180,4940,4850,4840,4940,5010,4960,5170,4980,5040,5400,5530,5960,6220,6210,6290,6180,5810,5760,5640,5320,5450,5310,5020,5300,5500
CPCurrent,810,540,350,550,490,460,400,390,360,340,340,350,380,400,420,400,380,380,330,310,310,290,310,310,320,330,330,320,320,320,310,320,320,290,290,270,260,260,250,260,270,280,280,300,290,300,320,300,290
ZCurrent,20,90,200,140,140,100,100,90,100,110,110,80,50,40,-10,30,30,-10,70,50,80,130,70,90,50,50,50,60,100,90,130,100,90,110,150,230,240,280,210,170,120,60,110,40,70,110,90,160,170
CZCurrent,65950,18430,7790,11320,11580,15950,15340,17190,15470,14000,14380,19970,29090,35580,,49450,62350,,23060,31520,20140,12620,22030,18220,29810,34640,33510,25110,15570,17400,12240,15810,18060,13870,10380,7070,6530,5780,7750,9260,12860,24850,14380,38340,21470,14740,17190,10160,9280
ZOCurrent,30,110,260,170,150,100,120,100,120,130,80,40,10,0,0,20,10,-30,30,30,80,160,90,110,70,60,60,80,110,100,160,110,140,190,250,350,350,380,280,240,150,70,170,80,140,170,120,230,240
CZOCurrent,49880,14300,6090,9420,10270,15950,13280,15920,13640,12660,19780,39610,188690,,,66700,120510,,57820,45670,20250,10230,18620,14370,22800,26750,28230,21060,13990,15340,10160,13980,11770,8240,6270,4520,4540,4160,5640,6730,10410,23780,9590,20370,11410,9240,12790,6910,6500
EVCurrent,1510,1590,1560,1560,1590,1590,1040,1140,1360,1590,1270,1190,1300,1590,1380,1330,1480,1590,1380,1370,1410,1590,1370,1370,1420,1340,1340,1380,1400,1400,1270,1230,1390,1290,1160,1370,1290,1360,1010,1350,1250,1300,1270,1200,1210,1210,1170,970,940
EVPCurrent,770,540,350,540,490,460,260,280,310,340,270,260,310,400,370,340,350,380,280,270,270,290,270,270,290,280,280,280,280,280,250,250,280,240,210,230,210,220,160,220,210,230,230,230,220,230,230,180,170
EVEBITCurrent,47260,14270,5980,9250,10280,15950,8700,11380,11630,12660,15760,29560,154540,-512150,-691010,55750,111880,-54110,50000,39220,17960,10230,16000,12410,20290,22620,23760,18260,12340,13520,8130,10820,10280,6670,4570,3890,3690,3550,3560,5710,8150,19500,7650,15420,8690,7010,9390,4230,3860
EVEBITDACurrent,38980,12460,4980,7720,8170,11100,6250,7550,7920,8550,8720,10780,16450,24060,21450,15060,19160,46410,15000,14010,10300,7560,9860,8420,11470,11720,12010,10470,8220,8710,5860,6910,6800,4840,3540,3210,3050,2980,2830,4380,5590,9580,5390,8210,5720,4870,5770,3140,2920
DTAR,920,850,760,280,210,,260,220,220,,240,210,250,,260,320,280,,360,300,300,,280,330,230,230,280,300,210,230,310,310,260,290,350,300,280,300,350,200,150,210,190,190,160,150,130,210,170
CG,11810,5650,3110,390,260,,350,280,300,,330,290,360,,370,520,430,,620,460,470,,440,550,310,320,420,470,280,330,490,480,380,430,590,450,420,460,580,260,190,290,260,250,210,200,160,300,220
LDER,120,120,110,10,10,,0,0,20,,20,20,20,,30,30,30,,20,20,10,,10,20,10,10,20,20,10,10,40,40,40,30,40,40,40,40,30,30,20,20,10,10,10,10,10,10,20
PZAT,5900,6030,5700,7900,13030,,18000,21840,5170,,5490,4490,3630,,2780,5090,7230,,8490,11130,12190,,14040,12470,14640,22750,11310,12010,13750,12370,5750,5460,5660,6310,4940,5370,4910,5070,5980,7060,8050,9770,11080,14440,18690,18790,21540,18510,6550
PELDR,1310,1380,1720,12080,9070,,10940,12330,3810,,3880,3990,3520,,3600,1720,1470,,1430,1750,1830,,1670,1670,1580,1560,1730,1800,1480,1470,1630,1620,1620,1700,1800,2009,1950,2040,2090,2160,2160,2210,2240,2029,2040,2110,2250,2330,2410
TSF,90,170,270,730,800,,740,790,750,,730,760,720,,710,640,670,,590,650,640,,650,610,730,730,690,660,760,730,660,670,720,680,620,680,690,670,620,760,800,740,750,760,780,790,800,720,780
ZKO,990,970,900,300,230,,280,230,280,,290,260,310,,320,510,520,,620,480,460,,460,520,420,430,470,480,420,470,530,540,470,480,540,450,430,440,490,300,240,320,290,300,260,240,200,310,250
OSF,1160,1190,1390,3540,2020,,3050,2840,1040,,1120,1030,1080,,1140,850,740,,860,810,820,,760,850,660,670,790,860,610,670,830,820,730,790,940,860,810,870,1000,640,510,690,640,590,530,510,440,720,580
NetDebt,1719000000,3080000000,4740000000,-6379000000,-6811000000,,-6472000000,-6858000000,-4862000000,,-5307000000,-6587000000,-5430000000,,-5106000000,-682000000,980000000,,4198000000,2033000000,2366000000,,1205000000,2746000000,1238000000,1073000000,1163000000,2481000000,814000000,1572000000,2449000000,1253000000,793000000,1135000000,2362000000,2121000000,1830000000,3225000000,-405000000,-1454000000,-3407000000,-1707000000,-1839000000,-2620000000,-3099000000,-3357000000,-4441000000,-4009000000,-6357000000
NetDebtEBITDA,8860,4820,3010,-3490,-3880,,-4300,-5050,-3150,,-4050,-6630,-7610,,-8800,-860,1410,,5080,2310,1920,,960,1870,1110,1040,1160,2090,530,1080,1250,780,430,470,800,550,480,780,-130,-520,-1690,-1390,-870,-1980,-1620,-1500,-2440,-1430,-2180
