,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850,11850
ShareAmountCurrent,2400000000,2400000000,2400000000,2400000000,2400000000,2400000000,2400000000,2760000000,2760000000,2760000000,2760000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000,3680000000
WKCurrent,500,1020,4960,5320,5660,0,6560,7580,7900,0,8630,11560,11760,0,12580,13100,12830,13540,14150,14410,13680,14100,14010,14390,13540,14070,13740,14030,13450,12390,12680,13020,13310,13610,13520,13410,13510,13810,15030,13560,13370
CWKCurrent,23700,11580,2390,2230,2090,,1810,1560,1500,,1370,1030,1010,,940,900,920,880,840,820,870,840,850,820,880,840,860,840,880,960,930,910,890,870,880,880,880,860,790,870,890
WKGrahamCurrent,380,890,4460,4780,5130,0,4360,5210,5510,0,6030,12440,9470,0,9960,10500,8620,8810,9730,9130,7890,8020,8080,8720,7490,8000,7600,7690,5640,4340,6170,6120,5290,2800,2730,560,1040,-130,340,-840,-2260
CWKGrahamCurrent,30810,13290,2660,2480,2310,,2720,2280,2150,,1960,950,1250,,1190,1130,1380,1340,1220,1300,1500,1480,1470,1360,1580,1480,1560,1540,2100,2730,1920,1930,2240,4220,4340,21220,11350,,35330,,
PCurrent,4700,1690,3850,4350,4650,4760,5160,4780,5160,5630,5750,4950,6090,7150,8790,9880,10260,10780,10710,9940,9740,9400,8910,9440,10040,9940,10240,10220,9660,9740,10100,10060,9810,10010,9650,9750,10080,10380,11360,12130,12690
CPCurrent,2520,7020,3080,2730,2550,2490,2300,2480,2300,2100,2060,2390,1950,1660,1350,1200,1160,1100,1110,1190,1220,1260,1330,1260,1180,1190,1160,1160,1230,1220,1170,1180,1210,1180,1230,1220,1180,1140,1040,980,930
ZCurrent,110,550,1360,1550,1580,1550,1600,1460,1540,1590,1500,1120,1400,1600,1680,1930,1920,2140,2500,2240,2029,1790,950,1060,850,740,640,570,820,-580,160,210,-80,1280,710,260,0,100,880,1220,1490
CZCurrent,103800,21730,8730,7670,7500,7650,7420,8109,7690,7440,7920,10620,8440,7420,7030,6160,6180,5540,4740,5290,5830,6630,12430,11230,13920,16100,18430,20910,14410,,76260,56810,,9240,16810,46140,2571380,118700,13440,9730,7960
ZOCurrent,150,700,1670,1920,2020,2009,2190,2029,2130,2270,2150,1870,2400,2950,3660,4300,4640,5120,5610,4880,4580,4300,3340,3850,3840,3640,3430,3300,3480,1830,2510,2650,1980,3710,3480,2970,3080,3090,3480,3920,4380
