,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
ShareAmountCurrent,9426941000,9426941000,9426941000,9426941000,9426941000,9426941000,18731668000,18731668000,18731668000,18731668000,18731668000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000,19022098000
WKCurrent,2150,1680,1600,2880,0,2980,0,2029,0,2280,2310,2500,0,3010,3280,3180,0,3130,3060,3300,0,3370,3480,3550,0,3040,2920,2780,0,2840,2920,3090,3100,3060,3140,2920,3060,3150,3210,3040,3160,3190,3250,3080,3040,3080,3080,2870,2940,2810,2900,2870
CWKCurrent,2180,2800,2940,1630,,1570,,2320,,2060,2040,1880,,1560,1430,1480,,1500,1540,1420,,1390,1350,1330,,1540,1610,1690,,1650,1610,1520,1520,1540,1500,1610,1540,1490,1460,1540,1490,1470,1450,1520,1540,1520,1530,1640,1600,1670,1620,1640
WKGrahamCurrent,1340,950,910,860,0,1120,0,770,0,260,630,570,0,1020,1240,1110,0,900,950,1080,0,1210,1320,1350,0,920,630,1220,0,1260,1320,1510,1530,1650,1710,1510,1650,1780,1810,1660,1800,1880,1950,1690,1650,1640,1740,1550,1600,1210,1260,1230
CWKGrahamCurrent,3500,4920,5170,5440,,4200,,6110,,18200,7420,8220,,4610,3790,4240,,5210,4950,4360,,3880,3560,3490,,5130,7440,3840,,3740,3560,3120,3060,2840,2750,3120,2850,2640,2590,2820,2610,2510,2410,2780,2840,2860,2700,3040,2950,3870,3740,3820
PCurrent,4570,2870,2900,3710,3870,3780,1960,2150,3360,4950,6670,7770,8710,8250,8530,8680,8340,9190,9070,8940,8740,8470,8270,7140,6660,6030,5480,5830,5750,5240,5110,5270,5400,5520,5590,5490,5400,5310,5280,5410,5290,5410,5420,5450,5680,5650,5750,5700,5740,5890,5850,5890
CPCurrent,1030,1640,1620,1270,1220,1240,2400,2180,1400,950,700,610,540,570,550,540,560,510,520,530,540,550,570,660,710,780,860,810,820,900,920,890,870,850,840,860,870,890,890,870,890,870,870,860,830,830,820,820,820,800,800,800
ZCurrent,610,50,0,170,170,300,200,330,440,540,560,530,500,330,350,170,140,240,320,360,430,350,290,360,340,-530,-530,-310,-380,400,390,150,240,250,280,280,290,310,350,360,300,330,290,250,210,170,140,150,170,120,110,80
CZCurrent,7730,99570,6329520,28290,27740,15450,23180,14180,10620,8760,8460,8850,9390,14240,13300,27170,34250,19470,14840,12890,10990,13370,16020,13130,13690,,,,,11850,12200,30610,19780,18550,16850,16700,16379,15360,13600,13000,15510,14300,16030,18770,22500,27520,34800,30740,26920,39450,40920,62000
