,2011/Q4,2012/Q4,2013/Q4,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140,7140
ShareAmountCurrent,10000000000,10000000000,10000000000,10000000000,10000000000,10082375000,10082375000,10082375000,10082375000,10164750000,10164750000,10164750000,10300000000,10300000000,10300000000,10300000000,10300000000,10300000000,10300000000,10300000000
WKCurrent,5740,3700,5300,5140,5920,6490,6890,5980,6870,7580,7910,7270,7990,8460,8790,9100,9880,10130,10260,10500
CWKCurrent,1240,1930,1350,1390,1210,1100,1040,1190,1040,940,900,980,890,840,810,790,720,700,700,680
WKGrahamCurrent,3270,1030,1810,1670,2490,3070,3040,1810,2550,3140,3540,2840,3560,3890,4200,3610,3440,3250,3300,2880
CWKGrahamCurrent,2180,6960,3950,4280,2870,2330,2350,3940,2800,2270,2020,2510,2000,1830,1700,1980,2070,2200,2160,2480
PCurrent,27330,26050,24110,25090,26320,25610,26440,26210,25980,27610,27630,29110,29980,28600,29000,27970,28360,27520,26670,26360
CPCurrent,260,270,300,280,270,280,270,270,270,260,260,250,240,250,250,260,250,260,270,270
ZCurrent,1790,1940,2000,2250,2470,2220,2200,2100,2210,2350,2290,2400,2310,2029,2029,1920,1890,1670,1470,1410
CZCurrent,3980,3680,3580,3170,2890,3210,3240,3410,3230,3040,3120,2980,3090,3520,3520,3720,3780,4270,4850,5070
ZOCurrent,2220,2720,2490,2770,3060,2750,2750,2610,2710,2950,2880,2980,2890,2560,2580,2460,2430,2160,1860,1770
CZOCurrent,3220,2620,2870,2580,2330,2600,2590,2740,2640,2420,2480,2400,2470,2790,2760,2900,2940,3310,3830,4030
EVCurrent,7120,8910,13650,7740,7550,11000,6720,7030,7120,10170,6510,7140,6920,9620,6890,7510,9780,10150,8360,7080
EVPCurrent,260,340,570,310,290,430,250,270,270,370,240,250,230,340,240,270,340,370,310,270
EVEBITCurrent,3210,3270,5490,2790,2470,4010,2440,2700,2630,3450,2260,2400,2400,3750,2670,3050,4030,4710,4480,3990
EVEBITDACurrent,2820,2950,4950,2550,2260,3610,2180,2370,2300,3020,1960,2080,2080,3200,2270,2570,3380,3870,3580,3150
DTAR,470,680,630,550,570,470,320,510,510,430,330,430,510,380,220,430,480,390,300,410
CG,890,2120,1680,1220,1300,900,470,1030,1040,760,480,750,1060,610,290,750,930,630,430,680
LDER,60,600,250,200,150,120,90,150,110,100,90,100,90,70,70,140,130,190,180,50
PZAT,6450,1120,2490,3260,3740,4030,5700,4300,5320,5680,5790,6000,6160,7030,7030,4220,4920,3530,3590,13040
PELDR,2460,2220,1890,1770,1980,2130,1960,1660,1770,1880,1970,1800,1960,1990,2060,1890,1740,1750,1740,1450
TSF,560,510,470,540,500,590,750,570,550,620,740,630,530,670,830,650,590,730,830,630
ZKO,610,880,830,790,760,650,510,770,740,650,520,660,700,570,380,650,730,660,570,710
OSF,1420,1220,1260,1170,1300,1240,920,1110,1170,1110,940,1080,1270,1050,720,1090,1120,980,840,980
NetDebt,50766788000,76793699000,86710000000,61308000000,75045000000,58331000000,24644000000,59261000000,71257000000,56887000000,31983000000,54616000000,84605000000,50505000000,23089000000,67084000000,91285000000,64364000000,43809000000,72658000000
NetDebtEBITDA,2009,2540,3150,2020,2250,1900,790,1980,2280,1660,950,1570,2470,1630,740,2230,3070,2380,1820,3140
DebtFin,-199408000,17672339000,65057000000,5950000000,4056000000,38929000000,-4261000000,-1069000000,-247000000,30836000000,-6439000000,-36000000,-2266000000,25537000000,-2610000000,3817000000,27159000000,30970000000,12523000000,-664000000
DebtFinEBITDA,-10,590,2360,200,120,1270,-140,-40,-10,900,-190,0,-70,820,-80,130,910,1150,520,-30
SP1,2320,1380,1520,1480,1720,1900,1790,1440,1590,1710,1810,1640,1800,1850,1920,1660,1530,1470,1470,1380
SP2,2460,2220,1890,1770,1980,2130,1960,1660,1770,1880,1970,1800,1960,1990,2050,1890,1730,1750,1740,1450
CAR,0,30,30,30,30,0,300,60,10,30,220,10,30,50,150,60,40,40,50,20
QR,1240,1050,1100,460,740,1010,1120,490,670,1160,910,590,850,1270,1510,670,920,1250,1190,520
CR,1760,1580,1410,1510,1490,1770,2440,1520,1520,1780,2370,1750,1550,2000,3520,1870,1600,2140,3070,1520
PP,0,30,30,30,30,0,300,60,10,30,220,10,30,50,160,60,40,40,50,20
RCLR,1230,1020,1060,400,690,1000,780,410,650,1120,640,550,800,1210,1290,590,870,1210,1080,490
KP,330,280,220,230,250,310,370,230,240,290,360,280,260,330,430,310,250,310,350,200
PKKO,160,150,160,130,160,190,170,130,160,180,190,150,170,190,200,210,200,230,240,160
RN,4660,4570,4059,6360,6300,7540,7650,7570,7820,7980,7990,8140,7360,7060,6930,6410,6270,6080,5820,5770
CRN,78000,80000,90000,57000,58000,48000,48000,48000,47000,46000,46000,45000,50000,52000,53000,57000,58000,60000,63000,63000
CPZ,63000,79000,109000,85000,81000,73000,68000,68000,67000,63000,65000,60000,62000,64000,59000,65000,64000,66000,70000,74000
RZ,9240,7150,5020,4690,4960,4550,4870,4850,4710,5260,4910,5170,5380,5100,5370,4820,4930,4600,4290,4260
CRZ,39000,51000,73000,78000,74000,80000,75000,75000,77000,69000,74000,71000,68000,72000,68000,76000,74000,79000,85000,86000
RMO,3270,2940,2370,2930,3020,3120,3190,3150,3170,3380,3270,3410,3310,3140,3230,2920,2920,2790,2640,2640
RMT,11070,9720,7060,7260,7570,7440,7490,7060,6590,6630,6420,6640,6850,6470,6460,5870,5380,4710,4140,3780
RM,2520,2260,1770,2090,2160,2200,2240,2180,2140,2240,2170,2250,2230,2110,2150,1950,1890,1750,1610,1550
COP,117000,131000,163000,135000,132000,128000,123000,123000,124000,115000,120000,116000,118000,124000,121000,133000,132000,139000,148000,149000
