,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
ShareAmountCurrent,70000000000,70000000000,70000000000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,71047246000,66617246000,66617246000,66617246000,66617246000,66617246000,63391573000,63391573000,63391573000,63391573000,60255359000,60255359000,60255359000,60255359000,57273781000,57273781000,57273781000
WKCurrent,120,120,140,160,270,330,320,370,410,450,290,330,400,450,340,440,770,900,490,620,720,810,900,1000,760,840,940,1030,770,890,1020,1150,910,1020,1120
CWKCurrent,22970,22780,20280,17360,10410,8610,8860,7660,6900,6280,9720,8530,7050,6260,8300,6460,3680,3130,5790,4540,3910,3500,3120,2830,3730,3340,3010,2730,3650,3160,2770,2460,3090,2760,2520
WKGrahamCurrent,80,120,90,110,200,250,250,300,340,380,210,250,320,370,260,370,670,840,420,550,650,730,370,460,670,760,380,480,680,800,440,560,830,940,1050
CWKGrahamCurrent,34290,24450,32439,24790,13830,11070,11320,9430,8300,7440,13330,11150,8770,7530,10690,7610,4200,3360,6640,5140,4360,3840,7610,6080,4210,3720,7370,5870,4130,3520,6360,5010,3400,2990,2700
PCurrent,90,140,230,330,630,780,930,990,800,730,640,610,680,730,830,1040,1720,1960,2100,2190,1560,1380,1290,1280,1510,1530,1540,1560,1630,1730,1820,1930,2080,2050,1950
CPCurrent,31030,20170,12410,8540,4500,3600,3020,2860,3540,3860,4420,4630,4150,3840,3390,2720,1640,1440,1350,1290,1810,2050,2180,2210,1870,1850,1830,1800,1730,1630,1550,1460,1360,1380,1450
ZCurrent,-20,-10,20,50,150,200,250,270,210,190,170,160,190,200,230,290,550,630,680,720,470,410,380,380,480,480,470,470,470,500,530,550,590,580,540
CZCurrent,,,178800,60290,18990,13820,11300,10290,13580,14740,16410,17340,14730,13990,12280,9870,5170,4480,4160,3910,5990,6840,7360,7490,5860,5860,5990,6020,5960,5660,5340,5090,4750,4880,5190
ZOCurrent,-30,-10,10,40,160,220,290,320,240,230,200,180,220,230,270,330,660,760,820,870,560,490,460,450,580,580,570,570,570,600,640,670,720,700,660
CZOCurrent,,,277250,68380,17340,12550,9850,8730,11550,12480,14420,15500,13010,12220,10590,8460,4300,3720,3450,3230,5010,5740,6180,6280,4880,4860,4960,4980,4940,4680,4410,4210,3920,4040,4290
EVCurrent,2800,2800,2800,2790,2730,2630,2670,2620,2670,2530,2610,2580,2670,2570,2560,2460,2390,2009,2440,2300,2210,2090,2480,2360,2260,2029,2450,2340,2240,2000,2410,2250,2130,1900,1830
EVPCurrent,30820,20040,12340,8450,4350,3360,2870,2650,3350,3470,4090,4230,3930,3500,3070,2370,1390,1020,1160,1050,1420,1510,1920,1850,1500,1330,1590,1490,1370,1160,1320,1170,1020,930,940
EVEBITCurrent,-107920,-197050,275710,67660,16790,11720,9340,8100,10930,11210,13330,14170,12300,11140,9600,7370,3640,2650,2990,2640,3930,4250,5420,5250,3910,3510,4310,4130,3930,3320,3770,3360,2960,2710,2790
EVEBITDACurrent,-140870,-387490,155550,59090,16300,11410,9100,7810,10510,10700,12580,13340,11710,10680,9300,7210,3610,2630,2970,2620,3900,4210,5360,5200,3880,3470,4280,4100,3890,3300,3740,3330,2940,2690,2760
DTAR,180,230,230,200,360,200,170,120,160,110,190,140,210,130,230,210,330,120,190,150,170,120,110,100,230,150,120,110,220,170,130,140,220,150,130
CG,210,290,290,240,550,260,200,140,190,120,230,160,270,150,290,270,480,130,240,180,210,130,130,110,300,170,130,120,280,200,140,170,290,180,140
LDER,0,0,10,,10,0,0,0,10,10,10,0,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PZAT,18400,16860,11880,,7310,6920,16680,7300,3750,4290,6640,5920,2950,3530,2510,2790,1720,2680,3100,1620,1470,1450,1430,1510,1400,1550,1670,1800,1300,1680,1740,1610,1350,1550,1520
PELDR,3490,18220,3160,,4810,4770,4700,5470,6190,6570,3790,4380,5380,6040,4620,6790,8970,14740,7990,8890,10180,11480,12840,13950,9160,10100,11730,13010,9000,10460,10090,10570,11920,13660,15510
TSF,830,780,780,,650,800,830,880,850,900,820,870,790,880,780,790,680,890,810,850,840,890,890,910,780,860,890,900,790,840,880,870,790,860,880
ZKO,240,240,320,260,420,250,200,140,180,120,240,170,250,150,270,240,350,120,210,170,190,130,240,190,250,160,250,200,240,180,250,250,240,160,130
OSF,740,3470,850,860,1710,1120,940,770,1090,800,880,730,1280,900,1220,1590,2880,1800,1670,1480,1820,1430,2960,2550,2210,1560,2820,2560,2090,1790,2450,2600,2680,2160,2009
NetDebt,-3286000000,-6898000000,-4089000000,725000000,2285000000,-13058000000,-11713000000,-16719000000,-17687000000,-23115000000,-10481000000,-13475000000,-12270000000,-22155000000,-11647000000,-17367000000,-4679000000,-49360000000,-18777000000,-27261000000,-30672000000,-41834000000,-15366000000,-23743000000,-21477000000,-40891000000,-15570000000,-22907000000,-22128000000,-38705000000,-15933000000,-23223000000,-27071000000,-44654000000,-49700000000
NetDebtEBITDA,2360,13630,-3240,220,190,-800,-560,-700,-980,-1370,-710,-980,-760,-1300,-600,-720,-100,-910,-320,-470,-810,-1270,-500,-790,-580,-1100,-430,-630,-640,-1060,-410,-570,-650,-1110,-1310
DebtFin,-1308000000,-1332000000,-1092000000,-2101000000,-6342000000,-13271000000,-10381000000,-14407000000,-10622000000,-20332000000,-15162000000,-17204000000,-10923000000,-17759000000,-18665000000,-25696000000,-30874000000,-57722000000,-27013000000,-34634000000,-40339000000,-48812000000,-22869000000,-30725000000,-35363000000,-49776000000,-23381000000,-30519000000,-34988000000,-49303000000,-24739000000,-34464000000,-39492000000,-52915000000,-56586000000
DebtFinEBITDA,940,2630,-870,-630,-530,-810,-500,-610,-590,-1210,-1030,-1250,-680,-1040,-950,-1060,-660,-1060,-460,-590,-1070,-1480,-740,-1020,-960,-1340,-640,-840,-1010,-1350,-640,-850,-950,-1310,-1490
SP1,3030,14620,2670,3340,4040,4490,4610,5350,5950,6430,3700,4250,5090,5940,4480,6610,8140,14620,7810,8630,9710,11240,12550,13620,8770,9830,11380,12670,8650,9890,9860,10300,11200,13170,15150
SP2,3040,14670,2680,3340,4059,4510,4620,5370,5980,6460,3710,4270,5120,5970,4520,6650,8180,14660,7840,8720,9810,11330,12630,13700,8880,9930,11480,12750,8750,9970,9940,10400,11360,13310,15280
CAR,720,540,390,740,600,2250,2320,4120,2029,5600,3310,4760,1460,3870,2750,3160,1190,7040,3340,4890,4280,7290,3170,4580,2610,5870,3150,4200,2800,4840,2950,3220,2810,5310,6600
QR,3490,3420,2580,3150,2050,3860,4870,6970,5450,8320,4210,5840,3890,6750,3720,4180,2650,8240,4660,6080,5400,8240,4310,5460,4030,6610,4140,5060,4210,5520,4120,4110,4220,6310,7920
CR,4200,4270,3210,3860,2390,4090,4960,7100,5640,8470,4310,6000,4070,6840,3800,4260,2850,8290,4750,6190,5600,8350,4450,5640,4140,6720,4310,5240,4310,5780,4240,4220,4410,6470,8029
PP,2830,3790,2490,740,790,3230,3620,5810,4410,7410,3310,4760,2670,5860,2750,3160,1190,7040,3340,4890,4280,7290,3170,4580,2610,5870,3150,4200,2800,4840,2950,3220,2960,5530,6850
RCLR,1350,450,700,1000,1580,850,1330,1290,1190,980,980,1230,1350,930,970,1090,1650,1220,1390,1290,1280,1030,1260,1050,1500,820,1140,1020,1470,910,1250,980,1390,920,1160
KP,550,730,490,560,490,620,650,720,710,760,600,660,640,730,610,670,600,830,710,760,750,810,370,430,690,780,370,420,700,760,390,430,720,790,820
PKKO,3960,14350,2550,570,3840,5130,5680,-1780,23550,24630,14030,347650,13770,14640,9260,11880,11390,13740,6870,8300,15460,17960,9460,12100,14200,15170,6820,7870,11260,12560,6180,5780,6130,5740,5730
RN,9670,10530,11360,11230,7920,8440,8710,8740,10430,10240,9630,9250,8540,8940,9310,9890,7830,8189,8180,7970,9750,9300,9200,9630,8740,8850,9050,9110,9480,9540,9600,9520,9500,9360,9010
CRN,38000,35000,32000,33000,46000,43000,42000,42000,35000,36000,38000,39000,43000,41000,39000,37000,47000,45000,45000,46000,37000,39000,40000,38000,42000,41000,40000,40000,38000,38000,38000,38000,38000,39000,41000
CPZ,46000,49000,44000,39000,38000,36000,33000,32000,31000,30000,34000,36000,37000,35000,35000,33000,34000,32000,31000,31000,29000,31000,32000,32000,33000,34000,34000,34000,33000,33000,32000,33000,33000,34000,36000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,840,1210,1810,2470,3210,3230,3220,2910,2250,1930,1730,1700,1880,2020,2160,2410,2950,2760,2770,2600,2040,1920,1860,1890,2090,2100,2120,2150,2160,2270,2350,2390,2350,2250,1850
RMT,3380,5460,8119,8900,14310,13060,14480,14210,11420,10580,8930,8270,8910,9440,10800,14010,22040,26390,29500,28720,22410,19380,17840,17520,19200,18820,18590,18630,18510,19650,19760,19570,20700,21270,22270
RM,670,990,1480,1930,2620,2590,2630,2420,1880,1640,1450,1410,1550,1660,1800,2060,2600,2500,2530,2380,1870,1740,1460,1310,1450,1450,1470,1500,1490,1570,1640,1690,1690,1630,1540
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
