,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770
ShareAmountCurrent,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,32501920000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000,37183550000
WKCurrent,3250,3970,4120,6380,9670,0,10630,11700,11960,0,14970,14200,12460,0,12270,12380,12120,11910,11980,11820,11070,10830,10390,9930,9690,9120,9040,9200,9350,9350,9410,9100,9100,9110,9470,9390,10000
CWKCurrent,540,450,430,280,180,,170,150,150,,120,120,140,,140,140,150,150,150,150,160,160,170,180,180,190,200,190,190,190,190,190,190,190,190,190,180
WKGrahamCurrent,-1010,-1580,-7460,-9620,-10030,0,-10390,-12450,-10310,0,-7360,-3450,-5620,0,-6470,-7450,-9500,-9520,-11030,-9810,-9660,-10330,-11510,-11360,-11950,-12590,-12230,-10640,-10960,-10440,-10990,-10560,-7660,-7540,-7230,-7430,-7330
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1740,1920,3240,4480,2240,2070,1630,1670,1900,2170,5190,4940,4780,4390,980,1170,1040,1060,1180,1320,1490,1630,1710,1770,1790,1810,1990,2020,2040,2250,2140,2110,2110,1830,2290,2190,2610
CPCurrent,1020,920,550,400,790,850,1090,1060,930,820,340,360,370,400,1810,1520,1700,1680,1500,1340,1190,1080,1030,1000,990,980,890,880,870,790,830,840,840,970,770,810,680
ZCurrent,2840,1510,150,2270,1690,2310,2800,4059,2610,3360,4670,2830,2020,1860,640,1310,1220,50,-300,-440,-930,-960,-1610,-1910,-1410,-1740,-1370,-720,-310,270,410,-70,-220,-250,50,390,990
CZCurrent,620,1170,11890,780,1050,770,630,440,680,530,380,630,880,950,2780,1350,1450,36690,,,,,,,,,,,,6480,4300,,,,36040,4510,1800
ZOCurrent,3400,890,1620,3030,1630,2670,2930,4870,2960,3870,4810,2090,1230,730,360,1840,1760,730,360,150,-640,-390,-600,-1460,-290,-330,-510,830,1020,1000,1730,530,110,470,10,900,1600
CZOCurrent,520,1990,1090,580,1090,660,600,360,600,460,370,850,1440,2430,4910,960,1000,2430,4900,12140,,,,,,,,2140,1740,1780,1020,3310,15990,3760,212990,1960,1110
EVCurrent,3190,4290,10190,12540,13080,1770,13320,14400,12650,1770,13590,10010,11210,1770,11300,12320,14070,14590,15040,15440,14710,15050,15730,16790,15820,16290,16350,15000,15140,14850,15090,14660,11730,11810,11580,11560,10820
EVPCurrent,1840,2240,3150,2800,5850,850,8189,8610,6670,820,2620,2020,2340,400,11550,10550,13480,13830,12720,11680,9870,9210,9190,9460,8820,8980,8240,7430,7420,6600,7050,6940,5560,6440,5060,5270,4140
EVEBITCurrent,940,4830,6280,4140,8039,660,4550,2960,4270,460,2820,4780,9110,2430,31350,6700,7970,20000,41610,105900,-22870,-38890,-26150,-11510,-54760,-48740,-32189,18130,14890,14920,8710,27460,105980,25110,1393710,12790,6770
