,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5350000000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000,5918750000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,18.28,46.40,,,,41.44,45.11,-1.24,-1.26,2.47,1.88,-5.40,-20.96,-37.14,-36.77,-31.59,-20.61,-20.80,-20.63,-23.20,-19.92,14.01,15.21,-84.79,-107.17,-166.80,-181.88,-815.50,-1627.93,-132.96,-105.34,-96.80
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,-2.37,46.96,0.40,-1.81,0.15,0.02,0.38,1.90,-0.42,-7.13,-16.13,-18.95,0.16,0.48,-2.66,-19.15,0.37,-2.76,1.49,15.10,1.43,-87.16,-147.84,-972.10,-24.34,-12.20,-15.52,-44.54,-9.60,-7.54
