,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q4,2015/Q4,2016/Q4
QuoteCurrent,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
ShareAmountCurrent,32314260000,32314260000,32314260000,32314260000,32314260000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000,43085693000
WKCurrent,740,3240,2300,2560,0,4070,4070,4280,0,5520,5070,5660,5350,3330,3160,2970,1440,1010,-2200,-3640,-4530
CWKCurrent,160,40,50,50,,30,30,30,,20,20,20,20,40,40,40,80,120,,,
WKGrahamCurrent,-290,-140,-560,-790,0,1590,1720,1830,0,1260,1430,1340,850,-250,-460,-590,-1880,-1910,-3760,-4550,-5210
CWKGrahamCurrent,,,,,,80,70,70,,100,80,90,140,,,,,,,,
PCurrent,3250,9060,1180,2390,4210,4500,5520,5970,5940,7150,6160,5690,4920,2870,1950,990,360,140,210,90,0
CPCurrent,40,10,100,50,30,30,20,20,20,20,20,20,20,40,60,120,330,840,580,1280,138160
ZCurrent,400,3470,-740,-200,590,540,740,820,660,820,530,410,290,-1050,-1420,-1830,-3210,-2220,-4080,-3510,-1750
CZCurrent,300,30,,,200,220,160,150,180,150,230,290,420,,,,,,,,
ZOCurrent,440,2580,-640,-40,670,780,1000,1020,880,920,550,480,360,-860,-1140,-1580,-3120,-1980,-1610,-300,-170
CZOCurrent,270,50,,,180,150,120,120,140,130,220,250,330,,,,,,,,
EVCurrent,780,830,1080,1600,120,-950,-320,270,120,1500,2100,2760,2970,3180,3270,3320,2990,2910,3490,3850,4120
EVPCurrent,240,90,920,670,30,-210,-60,40,20,210,340,490,600,1110,1680,3360,8340,20240,16850,41030,4740760
EVEBITCurrent,1750,320,-1680,-44410,180,-1210,-320,260,140,1630,3790,5700,8170,-3690,-2880,-2100,-960,-1470,-2160,-12990,-23690
EVEBITDACurrent,1480,300,-3450,4970,120,-900,-250,210,100,1200,2420,3390,4250,-5730,-4290,-2860,-1130,-1770,-2520,-27990,-142700
DTAR,660,380,470,530,,390,330,290,,320,420,420,430,540,560,590,740,800,1900,3340,4440
CG,1920,600,880,1120,,640,490,420,,470,730,730,750,1170,1290,1430,2800,4010,-2110,-1430,-1290
LDER,580,270,350,390,,120,110,110,,340,520,570,580,850,920,990,1950,1570,-720,-80,-60
PZAT,1880,3620,3440,3250,,4170,4390,4630,,2000,1340,1310,1420,1140,1130,1090,1010,1690,910,2900,2400
PELDR,1140,1220,1080,1050,,1830,1900,1910,,1740,2110,2050,1880,1720,1680,1660,1280,890,-390,-3680,-6260
TSF,540,790,710,650,,680,740,780,,910,870,900,900,850,840,820,780,510,-250,-2150,-3230
ZKO,1250,1070,1380,1380,,620,540,490,,680,720,760,820,1070,1130,1160,1880,1890,5230,8029,9150
OSF,900,1030,1100,1050,,1010,920,860,,870,1010,990,980,990,980,970,810,650,-7380,-32140,-60970
NetDebt,17535000000,19931000000,21003000000,24927000000,,5260000000,7488000000,13868000000,,31776000000,42989000000,44207000000,48944000000,51169199000,51321000000,53064000000,55412000000,58065769000,57070601000,57456540000,60347952000
