,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
QuoteCurrent,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500
ShareAmountCurrent,5192000000,5192000000,5192000000,5682000000,5682000000,5682000000,6682000000,6682000000,6682000000,6682000000,6682000000,6682000000,6719129000,6719129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000,8529129000
WKCurrent,560,650,370,1040,980,3220,2450,2320,2220,2640,2690,2780,3180,8170,6450,6570,6670,6780,6720,6320,6670,6630,6600,6560,6610,6760,6710,6810,6870,7240
CWKCurrent,20590,17780,30760,11010,11720,3570,4690,4960,5170,4350,4280,4140,3620,1410,1780,1750,1730,1700,1710,1820,1730,1730,1740,1750,1740,1700,1710,1690,1670,1590
WKGrahamCurrent,510,-130,-390,-2520,-2730,-1050,-940,-1070,-1370,-900,-870,-1420,-2640,1660,630,690,710,520,120,-500,-280,-650,-900,-950,-970,-1040,-1310,-1370,-1520,-1240
CWKGrahamCurrent,22770,,,,,,,,,,,,,6950,18390,16550,16090,22120,98640,,,,,,,,,,,
PCurrent,4820,5980,6310,6890,7400,7930,7230,6640,7750,9200,9940,10130,11200,11520,8710,9670,9280,9150,9300,7930,10310,9800,9550,10210,7130,5800,5780,5430,5050,7380
CPCurrent,2390,1920,1820,1670,1550,1450,1590,1730,1480,1250,1160,1140,1030,1000,1320,1190,1240,1260,1240,1450,1120,1170,1200,1130,1610,1980,1990,2120,2280,1560
ZCurrent,130,200,140,110,70,-250,-290,-340,-380,-100,240,460,970,1150,880,930,700,360,230,-230,-40,-150,-60,240,0,130,190,250,260,480
CZCurrent,85340,56120,82860,107470,170160,,,,,,48650,25150,11870,10040,13090,12360,16430,31800,49460,,,,,47030,3413550,90650,60980,45870,43990,24010
ZOCurrent,180,440,270,160,110,-70,-230,-250,-260,30,420,660,1200,1540,1180,1200,950,560,430,-10,100,-70,30,380,200,250,270,290,300,640
CZOCurrent,64989,26300,42670,73250,101780,,,,,447620,27470,17470,9600,7470,9780,9610,12130,20620,26720,,115280,,349450,30120,58040,46090,42040,39540,38990,18040
EVCurrent,10470,11410,11740,10990,11500,10660,11620,12500,12600,17640,11640,12870,12870,8300,11080,11150,11720,9340,11260,12260,10940,10140,11320,11330,11860,11290,12140,12410,12070,9600
EVPCurrent,2170,1910,1860,1600,1550,1340,1610,1880,1630,1920,1170,1270,1150,720,1270,1150,1260,1020,1210,1550,1060,1030,1190,1110,1660,1950,2100,2290,2390,1300
EVEBITCurrent,59180,26100,43560,69980,101750,-164020,-50670,-49230,-49180,686530,27810,19550,10740,5390,9420,9320,12360,16740,26150,-1613600,109700,-151920,343830,29660,59840,45240,44380,42660,40920,15050
EVEBITDACurrent,53560,20230,29630,40270,50250,96530,-144990,-119420,56380,686530,21960,14510,10640,4160,7220,7060,8560,9210,12170,24610,17970,22900,23630,14910,23280,22820,23150,22440,21230,10330
DTAR,800,730,760,850,830,640,620,600,670,710,650,610,680,470,410,420,450,460,380,310,470,460,370,380,390,370,340,350,400,460
