,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
ShareAmountCurrent,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000,30000000000
WKCurrent,2130,1690,2120,0,4870,4470,4650,4740,4720,4650,4500,4540,4610,4620,4620,4680,4740,4680,4660,4630,4610,4530,4560,4520,4550,4480,4500,4510,3040,2980,2990
CWKCurrent,260,330,260,,120,130,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,130,120,120,180,190,190
WKGrahamCurrent,1500,920,1290,0,4140,3750,3930,4030,4030,3950,3840,3890,3970,3980,3970,4000,4100,4000,4010,3980,3970,3890,3940,3900,3940,3870,3920,3950,2560,2490,2520
CWKGrahamCurrent,370,610,430,,140,150,140,140,140,140,150,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,220,220,220
PCurrent,4680,6620,6100,6360,6360,6430,5970,5620,4830,4680,4750,4860,4940,4930,4900,4850,4740,4730,4730,4660,4680,4570,4670,4590,4590,4570,4480,4410,4340,4240,4190
CPCurrent,120,80,90,90,90,90,90,100,120,120,120,120,110,110,110,120,120,120,120,120,120,120,120,120,120,120,130,130,130,130,130
ZCurrent,1090,760,1080,1660,1750,1810,1560,1230,500,180,60,20,100,180,170,180,170,90,40,-50,-140,-150,-100,-110,-60,-50,-60,-10,-1510,-1500,-1500
CZCurrent,510,730,520,340,320,310,360,460,1110,3130,9430,35150,5570,3110,3390,3100,3230,5970,14970,,,,,,,,,,,,
ZOCurrent,1340,1020,1410,2080,2200,2250,1930,1510,620,220,70,20,120,220,200,230,230,130,60,-60,-160,-170,-110,-120,-60,-70,-80,-20,-1530,-1510,-1510
CZOCurrent,420,550,400,270,250,250,290,370,900,2500,7530,29530,4580,2540,2770,2490,2480,4470,9800,,,,,,,,,,,,
EVCurrent,-150,1120,1220,560,-520,220,340,370,40,170,-50,-20,-190,150,20,190,-40,380,260,290,230,410,280,420,280,470,360,400,170,430,220
EVPCurrent,-30,170,200,90,-80,30,60,70,10,40,-10,0,-40,30,0,40,-10,80,60,60,50,90,60,90,60,100,80,90,40,100,50
EVEBITCurrent,-110,1100,860,270,-230,100,180,240,60,760,-700,-1240,-1550,670,100,830,-190,2990,4580,-5070,-1460,-2460,-2510,-3490,-4310,-6880,-4480,-23160,-110,-290,-140
EVEBITDACurrent,-100,970,780,250,-220,90,160,220,50,410,-230,-140,-710,410,60,510,-120,1440,1370,3790,-7520,-10450,17880,88680,4740,8530,8900,3810,-120,-310,-160
DTAR,140,510,430,,90,90,70,60,70,60,100,60,60,60,80,80,80,70,80,70,80,90,90,70,80,80,80,70,120,140,130
CG,170,1020,750,,100,90,70,70,70,70,110,70,70,70,90,90,90,80,80,80,90,90,100,80,90,80,80,70,140,160,150
LDER,10,730,460,,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PZAT,16230,520,640,,11880,11080,10110,9510,9200,8460,7340,6350,5850,6050,5550,5590,5590,5290,5160,4890,5010,4860,4480,4620,5200,5100,4990,5180,4480,4620,4460
PELDR,3440,3800,3730,,6750,6300,6580,6830,6950,6740,6930,7140,7380,7280,7230,7040,7530,7090,7360,7320,7430,7180,7540,7400,7570,7520,7960,8160,6620,6340,6580
TSF,870,860,840,,920,920,940,950,950,950,910,950,950,950,930,940,930,950,940,940,930,930,930,940,930,940,940,940,900,880,890
ZKO,190,650,550,,110,100,80,70,80,70,120,70,70,70,90,90,90,80,90,80,100,100,100,80,90,90,90,80,140,160,150
OSF,660,1430,1410,,720,620,520,490,520,480,790,510,540,520,670,640,700,560,640,600,690,690,740,600,690,650,690,630,920,990,990
NetDebt,-10521000000,28676000000,33693000000,,-17589000000,1933000000,3447000000,3511000000,-5878000000,-2460000000,-3259000000,-8393000000,-12985000000,-3136000000,-4106000000,941000000,-5382000000,4820000000,2673000000,2526000000,2585000000,7946000000,4564000000,6257000000,3643000000,8355000000,5424000000,5138000000,1335000000,10511000000,3475000000
NetDebtEBITDA,-240,830,720,,-250,30,60,70,-250,-200,-480,-1660,-1610,-290,-400,90,-490,620,470,1110,-2760,-6760,9820,44060,2070,5080,4440,1650,-30,-250,-80
DebtFin,-21150000000,16735000000,19709000000,,-32259000000,-10312000000,-6518000000,-5843000000,-15675000000,-11670000000,-18355000000,-17504000000,-22475000000,-12356000000,-16168000000,-11169000000,-18059000000,-5548000000,-8949000000,-8190000000,-9756000000,-4525000000,-8488000000,-4207000000,-8442000000,-2771000000,-5939000000,-4942000000,-11562000000,-3894000000,-10285000000
DebtFinEBITDA,-490,490,420,,-460,-140,-100,-120,-670,-930,-2710,-3460,-2790,-1130,-1570,-1020,-1650,-710,-1560,-3610,10410,3850,-18250,-29630,-4790,-1680,-4860,-1590,270,90,250
SP1,3390,2200,2540,,6670,6220,6500,6740,6860,6650,6820,7010,7230,7150,7080,6890,7380,6930,7200,7160,7260,7010,7360,7230,7400,7350,7800,7990,6410,6150,6390
SP2,3440,3800,3720,,6730,6290,6580,6820,6940,6730,6910,7120,7360,7260,7210,7010,7510,7060,7330,7290,7390,7140,7500,7360,7520,7470,7920,8109,6560,6290,6540
CAR,2150,1570,770,,2400,960,790,770,1910,1560,1390,2490,3120,1770,1670,1170,1760,730,990,1020,1000,470,820,540,860,320,640,620,1070,320,880
QR,4810,4220,4420,,8460,10590,13980,13670,13430,15020,8730,15400,15800,15870,11860,11690,11370,14320,12630,13430,11490,11070,10760,13080,10990,11700,11620,13340,6490,5460,5930
CR,5640,5360,4730,,10260,11360,14960,16650,15840,16980,9840,17830,17820,18270,13370,13610,13090,16430,14260,15650,13150,12800,12430,15800,13110,14080,13820,15970,8340,7220,7620
PP,2150,1570,770,,2400,960,790,770,1910,1560,1390,2490,3120,1770,1670,1170,1760,730,990,1020,1000,470,820,540,860,320,640,620,1070,320,880
RCLR,2550,2590,3630,,6050,9630,13160,12870,11500,13450,7330,12890,12660,14120,10200,10540,9610,13610,11670,12420,10500,10640,9940,12580,10150,11430,10980,12770,5340,5130,5040
KP,620,630,610,,780,780,800,810,810,810,780,820,820,820,810,800,810,810,810,810,810,800,810,820,810,810,820,830,760,740,750
PKKO,-14950,-16760,-15030,,-25920,-31480,-24930,-25850,-26400,-20860,-25800,-26480,-27730,-28000,-28550,-29330,-30320,-30190,-30560,-30770,-31330,-31190,-31980,-31890,-32520,-32090,-32860,-33210,-21710,-21530,-22270
