,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
ShareAmountCurrent,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,132000000000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000,134797899000
WKCurrent,3010,3510,4100,4570,4690,0,5470,5340,5530,0,5470,5800,6090,5910,5780,5990,5930,5990,6130,6140,6580,6600,6560,6720,7100,7000,7680,7590,7600,7870,7430,7700,7860
CWKCurrent,3060,2620,2240,2009,1960,,1680,1720,1670,,1680,1590,1510,1560,1590,1540,1550,1540,1500,1500,1400,1390,1400,1370,1300,1310,1200,1210,1210,1170,1240,1200,1170
WKGrahamCurrent,560,150,880,1270,1120,0,1230,1230,970,0,580,460,880,860,480,740,620,680,680,740,1010,820,910,1090,1230,1280,1250,1480,1400,1270,550,810,690
CWKGrahamCurrent,16460,60790,10420,7240,8220,,7500,7500,9500,,16000,20110,10460,10660,19300,12380,14730,13480,13560,12470,9070,11230,10140,8410,7510,7190,7350,6240,6580,7250,16740,11300,13320
PCurrent,4960,7350,7920,9210,9850,10010,11030,10750,11260,11230,10900,11330,11550,12000,12230,12840,13020,13310,13880,13430,13710,13850,14140,13980,14020,14170,14720,14840,15050,15620,16090,17150,18040
CPCurrent,1850,1250,1160,1000,930,920,830,860,820,820,840,810,800,770,750,720,710,690,660,690,670,660,650,660,660,650,630,620,610,590,570,540,510
ZCurrent,380,320,580,640,590,550,660,640,690,740,560,670,640,490,470,400,300,300,330,260,460,380,340,360,350,480,850,940,870,840,630,560,510
CZCurrent,23960,29180,15790,14290,15690,16600,14000,14390,13380,12490,16510,13650,14320,18650,19480,23020,30480,30450,27620,34910,20140,24480,26700,25560,26650,19120,10830,9740,10590,10910,14540,16290,17920
ZOCurrent,510,570,740,850,750,710,790,810,890,890,720,820,860,750,900,900,760,790,660,570,570,530,590,550,500,630,750,830,920,920,880,820,790
CZOCurrent,17970,16059,12350,10770,12280,12970,11680,11300,10330,10290,12780,11290,10650,12330,10250,10180,12030,11620,13920,16040,16079,17520,15620,16690,18240,14560,12200,11020,10000,10000,10410,11230,11590
EVCurrent,10740,11870,11830,11530,11560,9200,12400,12470,12940,9200,13270,13200,13430,13360,13170,13170,13380,13550,13310,13290,13180,13150,12800,12740,12620,12630,12660,12230,12970,13030,13110,13000,13740
EVPCurrent,2160,1610,1490,1250,1170,920,1120,1160,1150,820,1220,1160,1160,1110,1080,1030,1030,1020,960,990,960,950,910,910,900,890,860,820,860,830,810,760,760
EVEBITCurrent,20970,20730,15880,13500,15430,12970,15750,15320,14540,10290,18430,16190,15540,17900,14670,14580,17500,17120,20150,23170,23030,25040,21740,23110,25030,19990,16790,14650,14100,14160,14840,15870,17310
EVEBITDACurrent,20970,20730,15880,13500,15430,12970,15750,15320,14540,10290,18430,16190,15540,17900,14670,14580,17500,17120,20150,23170,23030,25040,21740,23110,25030,19990,16790,14650,14100,14160,14840,15870,17310
DTAR,460,500,470,440,450,,460,440,480,,480,470,480,470,470,460,470,480,470,480,470,470,450,450,450,450,430,410,440,460,490,480,490
CG,910,1090,990,930,960,,970,900,1050,,1030,1030,1060,1030,1030,1000,1040,1050,1040,1010,970,980,930,910,870,870,800,740,850,900,1020,980,1020
LDER,300,380,130,140,170,,110,120,210,,200,200,200,200,200,190,190,190,180,170,150,160,150,140,130,120,120,110,100,150,170,160,160
PZAT,2280,2360,5760,5200,4390,,6920,6400,3750,,4250,4390,4300,4340,4390,4400,4510,4530,4760,4560,5020,4760,5210,5600,5750,5970,6140,6410,6580,4600,4090,4270,4320
PELDR,1490,1300,1260,1280,1270,,1210,1230,1260,,1170,1120,1200,1200,1120,1150,1130,1130,1120,1170,1210,1190,1170,1220,1250,1250,1230,1260,1260,1260,1170,1200,1180
TSF,660,630,540,540,550,,520,550,560,,560,550,550,550,550,550,540,540,530,550,550,560,560,570,580,580,600,610,580,580,560,570,560
ZKO,830,960,820,770,800,,810,800,860,,910,930,880,880,930,890,910,900,900,890,860,890,870,850,830,830,830,790,820,850,930,900,920
OSF,950,910,920,870,870,,880,880,890,,880,870,880,870,870,860,860,860,860,900,910,910,880,910,920,920,910,900,940,930,940,930,940
NetDebt,162027000000,226339000000,237694000000,232842000000,240250000000,,278541000000,282381000000,318769000000,,338581000000,342857000000,351968000000,348995000000,342557000000,342497000000,365002000000,371947000000,358904000000,382212000000,379774000000,372429000000,354501000000,350887000000,341774000000,353355000000,345459000000,324650000000,384977000000,404064000000,444295000000,435088000000,460740000000
NetDebtEBITDA,4390,6390,5080,4180,4950,,6050,5590,5910,,7450,6810,6830,7640,6130,6120,7690,7600,8970,10340,10560,11400,9730,10310,11370,9150,7690,6230,6710,7180,7960,8470,9600
DebtFin,110844000000,165403000000,164976000000,151788000000,153078000000,,186994000000,202774000000,226824000000,,257139000000,246944000000,252489000000,254513000000,246966000000,245933000000,259489000000,268938000000,249233000000,263472000000,250024000000,245718000000,222916000000,218359000000,203972000000,209623000000,206320000000,189008000000,235176000000,234086000000,247194000000,238314000000,274535000000
DebtFinEBITDA,3000,4670,3520,2730,3150,,4059,4019,4200,,5660,4900,4900,5570,4420,4400,5470,5490,6230,7130,6950,7520,6120,6410,6790,5430,4590,3620,4100,4160,4430,4640,5720
SP1,1140,940,1120,1130,1090,,1090,1100,1040,,970,930,1000,1000,940,960,950,950,950,1000,1050,1030,1010,1070,1100,1110,1100,1140,1140,1100,1000,1030,1020
SP2,1490,1300,1260,1280,1270,,1210,1230,1260,,1170,1120,1200,1200,1120,1150,1130,1130,1120,1170,1210,1190,1170,1220,1250,1250,1230,1260,1260,1260,1170,1200,1180
CAR,270,60,80,190,210,,120,60,110,,60,90,100,80,90,90,50,60,80,50,60,90,70,80,90,60,70,80,50,80,80,90,50
QR,1170,910,900,1050,1040,,930,980,1050,,910,870,980,990,870,920,880,890,840,870,930,900,860,870,890,910,860,920,870,850,740,750,710
CR,1800,1600,1400,1530,1520,,1390,1440,1460,,1380,1340,1400,1420,1340,1390,1350,1340,1330,1340,1370,1340,1380,1390,1410,1410,1410,1480,1390,1400,1290,1320,1290
PP,270,60,80,190,210,,120,60,110,,60,90,100,80,90,90,50,60,80,50,60,90,70,80,90,60,70,80,50,80,80,90,50
RCLR,810,810,750,810,780,,730,820,850,,780,740,820,840,740,790,770,760,760,750,820,770,780,790,800,850,790,840,820,770,660,660,660
KP,250,190,160,200,190,,160,170,180,,140,130,160,160,130,150,130,140,130,140,150,140,140,150,160,160,150,170,150,160,120,130,120
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
