,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
ShareAmountCurrent,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000,17500000000
WKCurrent,6000,6960,7150,7300,0,8200,8560,8710,0,9120,9340,9760,0,9490,9640,9690,0,10060,10270,10650,0,12620,13250,13660,0,14490,14950,14920,15140,15140,15380,15260,15720,15860,15980,15540,15910,15250,15350,15040,15010,14660,14580,14650,13970,13960,14240,14140,14740,15050,15480,15390
CWKCurrent,1580,1360,1330,1300,,1160,1110,1090,,1040,1020,970,,1000,990,980,,940,930,890,,750,720,700,,660,640,640,630,630,620,620,600,600,590,610,600,620,620,630,630,650,650,650,680,680,670,670,640,630,610,620
WKGrahamCurrent,5090,5580,5800,5930,0,5910,6090,6220,0,6250,5850,6120,0,4220,3240,2610,0,1420,1600,1980,0,6160,6640,6690,0,5940,6090,5610,5510,5260,5310,4830,5220,5480,5680,5310,5380,4650,4380,3850,3710,3280,3220,3390,2970,3180,3630,3600,4260,4750,5350,5270
CWKGrahamCurrent,1870,1700,1640,1600,,1610,1560,1530,,1520,1620,1550,,2250,2930,3640,,6700,5920,4810,,1540,1430,1420,,1600,1560,1690,1720,1800,1790,1970,1820,1730,1670,1790,1770,2050,2170,2470,2560,2900,2950,2800,3200,2980,2620,2640,2230,2000,1780,1800
PCurrent,35540,27550,25710,27180,28340,30220,35450,35040,34310,33710,32700,36510,37320,36630,33490,28450,26600,26540,27920,31220,33810,36040,38950,40910,42240,45440,48860,49560,51590,53150,51990,52730,53360,51470,48520,45960,43540,42300,41670,40030,38030,37140,36180,39950,43990,45730,56840,59960,60230,63840,64540,67130
CPCurrent,270,340,370,350,340,310,270,270,280,280,290,260,250,260,280,330,360,360,340,300,280,260,240,230,220,210,190,190,180,180,180,180,180,180,200,210,220,220,230,240,250,260,260,240,220,210,170,160,160,150,150,140
ZCurrent,2560,1260,1030,1190,1390,1490,1670,1720,1350,1230,1090,1320,1540,640,570,40,-120,680,740,1070,1350,1700,2130,2300,2170,2120,1940,1530,1300,920,690,670,710,850,740,640,540,-280,-300,-500,-810,-500,-670,-480,-970,-610,-250,-240,870,1190,1390,1520
CZCurrent,3720,7520,9230,7990,6860,6380,5680,5520,7030,7710,8700,7190,6170,14880,16700,249250,,13900,12910,8880,7030,5590,4460,4130,4380,4480,4890,6220,7290,10320,13720,14090,13390,11120,12870,14760,17660,,,,,,,,,,,,10880,7990,6830,6250
