,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160,3160
ShareAmountCurrent,287365395000,287365395000,287365395000,287365395000,420698728000,420698728000,420698728000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,659365395000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000,247262023000
WKCurrent,270,100,180,0,0,210,470,410,0,480,490,520,0,500,240,540,0,260,250,260,0,270,260,690,0,710,690,700,740,740,760,830,950,990,1040,1090,1160,1220,1290,1400,1590,1690,1850,1980,2150,2350,2510,2480,2660,2800,2940,2890
CWKCurrent,11820,30930,17560,,,15400,6710,7710,,6550,6450,6090,,6270,13000,5840,,12340,12550,12030,,11830,12220,4560,,4460,4600,4510,4260,4280,4140,3810,3330,3190,3030,2910,2720,2600,2450,2260,1990,1870,1700,1590,1470,1340,1260,1280,1190,1130,1070,1090
WKGrahamCurrent,-1070,-1950,-1690,0,0,-1010,-880,-320,0,-220,-220,-230,0,-290,-1150,-260,0,-1040,-1040,-1020,0,-1370,-1480,-3950,0,-3910,-4100,-3720,-3830,-3760,-3740,-3520,-3180,-3300,-3430,-3380,-3520,-3350,-3340,-3140,-3240,-3020,-2740,-2580,-2250,-1910,-1810,-1760,-1520,-1260,-1160,-1070
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,3500,2160,2100,2270,1640,1750,1780,1090,1070,820,600,400,200,200,200,190,190,210,220,230,240,250,260,700,710,730,730,740,750,750,770,780,810,840,860,880,890,900,920,960,1010,1060,1110,1140,1160,1180,1210,1240,1270,1290,1310,1330
CPCurrent,900,1460,1500,1390,1930,1800,1770,2910,2950,3850,5280,7800,15490,15820,16120,16379,16420,15010,14560,14000,13080,12610,12320,4510,4430,4350,4330,4270,4230,4210,4130,4050,3910,3780,3680,3600,3560,3510,3440,3290,3120,2980,2860,2780,2710,2670,2620,2560,2490,2450,2410,2380
ZCurrent,40,-360,-310,-390,-220,-30,-80,-60,-80,50,50,100,120,40,30,10,0,10,10,20,30,20,0,0,-20,20,20,20,50,30,80,120,190,240,270,260,230,240,260,310,420,460,550,570,550,650,640,660,680,620,600,690
CZCurrent,78870,,,,,,,,,65379,61260,30140,27450,70440,100430,263510,,550200,227990,157590,105920,203320,864920,,,147790,136690,136240,63280,90830,37760,26950,16990,13340,11890,11960,13880,12920,12080,10180,7560,6880,5740,5500,5790,4900,4970,4790,4630,5090,5230,4580
