,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
ShareAmountCurrent,8416200000,8416200000,8416200000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,9572003000,10476210000,10476210000,10476210000,10476210000,10476210000,10476210000,10476210000,10476210000,10476210000,10476210000,10476210000,10652679000,10680197000,10737837000,10737837000,10737837000,10737837000,10737837000,10737837000,10737837000,10737837000,10737837000,10737837000,10737837000,10288554000,10288554000,10288554000,10288554000,10288554000,10288554000,10288554000
WKCurrent,7340,8350,10460,14920,14700,14520,0,17290,18980,18000,0,17330,17020,18100,0,19850,19230,18930,0,22100,21880,23200,23610,23810,24950,25330,24630,23850,24330,23600,24440,22300,21970,22170,22380,16350,16630,16710,17290,19470,19460,17200,16730,14700,14800,15720
CWKCurrent,2040,1800,1430,1010,1020,1030,,870,790,830,,870,880,830,,760,780,790,,680,690,650,640,630,600,590,610,630,620,640,610,670,680,680,670,920,900,900,870,770,770,870,900,1020,1010,950
WKGrahamCurrent,2990,2470,3160,7160,6940,5690,0,5940,6030,5580,0,5580,4810,4780,0,5270,5240,5060,0,6330,7020,7420,8300,8380,8990,6800,6480,5310,5910,3810,3670,3950,740,3060,3050,-590,150,40,440,830,1850,670,150,-670,-450,-250
CWKGrahamCurrent,5010,6080,4750,2100,2160,2630,,2530,2490,2690,,2690,3120,3140,,2850,2860,2960,,2370,2140,2020,1810,1790,1670,2210,2310,2820,2540,3940,4090,3800,20280,4900,4920,,100230,341970,33970,18000,8109,22490,100210,,,
PCurrent,15480,17650,21580,28240,27030,26210,27130,27380,25590,21980,18320,12830,10980,12990,15970,18590,23260,27170,32570,35410,39110,42650,43550,47460,48310,49640,48440,45690,44100,41280,40330,40890,41520,43180,45620,43860,46020,48720,49720,53470,52800,49570,48580,47030,46380,49240
CPCurrent,970,850,700,530,560,570,550,550,590,680,820,1170,1370,1150,940,810,640,550,460,420,380,350,340,320,310,300,310,330,340,360,370,370,360,350,330,340,330,310,300,280,280,300,310,320,320,300
ZCurrent,1150,1910,1640,2260,2230,1540,1350,1530,1830,1490,630,-100,-970,-610,140,1450,1820,1920,2810,1440,1980,2550,2240,2740,2780,2760,2270,1430,1290,740,260,-1460,-1360,-1230,-1100,-4630,-4890,-4900,-4540,1920,1720,160,-600,-4070,-3740,-1810
CZCurrent,13050,7840,9150,6620,6730,9730,11150,9780,8180,10100,23880,,,,109270,10360,8260,7820,5340,10410,7560,5870,6700,5480,5400,5430,6590,10530,11610,20350,58150,,,,,,,,,7800,8730,96330,,,,
ZOCurrent,1290,2190,2430,2330,2140,1420,1420,2650,3330,2710,1760,60,-1410,-900,-70,70,910,990,2660,2770,3590,4460,3710,3770,3800,3910,2980,1570,1410,230,-300,-1410,-1440,-760,-20,-3690,-3820,-3250,-3360,3570,2890,540,-350,-2460,-1880,250
CZOCurrent,11660,6840,6180,6430,7020,10540,10530,5660,4500,5540,8520,234230,,,,201210,16490,15130,5630,5410,4180,3370,4040,3980,3950,3840,5040,9520,10640,66310,,,,,,,,,,4200,5200,27770,,,,60470
EVCurrent,13450,16490,15730,12280,12440,13970,15000,14280,12590,12270,15000,12640,12940,12930,15000,17140,18100,16340,15000,16460,13770,14890,12790,11780,11520,14540,16219,15100,14900,15610,15260,15660,18360,15330,15870,16710,17310,19120,18940,19460,21420,20300,18420,18010,19010,21060
EVPCurrent,870,930,730,440,460,530,550,520,490,560,820,990,1180,1000,940,920,780,600,460,460,350,350,290,250,240,290,330,330,340,380,380,380,440,360,350,380,380,390,380,360,410,410,380,380,410,430
EVEBITCurrent,10460,7520,6480,5270,5820,9820,10530,5380,3780,4540,8520,197400,-9150,-14440,-201660,229860,19890,16480,5630,5940,3840,3340,3450,3130,3040,3720,5450,9590,10570,69030,-50090,-11140,-12780,-20050,-774620,-4530,-4530,-5880,-5630,5450,7420,37580,-52610,-7320,-10110,84890
EVEBITDACurrent,8850,6610,5640,4450,4830,7520,8050,4600,3300,3820,6560,21750,-14240,-32710,35350,30210,12580,10580,4620,4890,3280,2920,2910,2640,2570,3140,4410,6520,6820,16270,34090,-23600,-26960,298220,18930,-5970,-6040,-8400,-7760,4190,5450,12550,22800,-12290,-20690,17590
DTAR,310,380,450,390,330,360,,340,310,280,,220,250,260,,380,420,400,,410,390,390,410,410,430,480,480,460,470,480,500,490,580,550,560,640,640,620,630,620,620,650,650,620,630,610
CG,460,630,820,630,480,550,,520,450,380,,270,330,350,,610,740,670,,690,650,630,690,710,750,940,930,870,920,940,1020,980,1390,1240,1300,1810,1770,1710,1680,1590,1630,1820,1880,1980,2050,1930
LDER,60,190,210,100,100,100,,110,120,110,,100,90,90,,140,150,120,,130,150,140,130,130,130,230,220,200,200,190,190,180,350,280,250,380,350,360,330,300,290,260,250,230,230,210
PZAT,7640,2390,2580,3180,3300,3000,,2520,2380,2550,,2830,3110,2920,,1860,1820,2190,,1730,1450,1520,1570,1510,1640,1340,1340,1610,1600,1680,1700,2210,1150,1440,1660,1600,1670,1650,1740,1640,1540,1930,2090,2260,2280,2400
PELDR,1810,1700,1840,2280,2390,2029,,1810,1740,1680,,1680,1650,1640,,1790,1860,1900,,1970,2100,2029,2210,2200,2160,1890,1900,1790,1880,1720,1730,1760,1800,2009,2020,2009,2120,1990,2070,1900,1990,1920,1840,1820,1760,1700
TSF,730,730,660,670,740,710,,730,770,800,,860,820,800,,700,650,670,,670,700,700,670,660,640,620,620,630,620,610,590,590,560,570,540,490,490,490,500,500,490,450,430,380,380,390
ZKO,530,680,730,570,510,580,,600,590,550,,460,540,570,,700,730,720,,710,670,660,660,670,680,780,780,800,790,850,870,850,980,900,910,1020,990,1000,990,970,940,980,1000,1020,1020,1010
OSF,900,970,1050,1090,960,960,,920,860,800,,680,760,790,,970,1020,990,,1020,1010,1000,1060,1050,1060,1030,1040,1000,1020,1010,1020,1020,1000,1030,1040,980,1000,1000,1010,1020,1050,1030,1020,980,990,990
NetDebt,14920000000,40693000000,66436000000,38765000000,40820000000,55593000000,,73873000000,55647000000,33353000000,,20280000000,30230000000,35985000000,,113073000000,137310000000,120502000000,,138747000000,119961000000,128121000000,123762000000,116387000000,138434000000,179499000000,192802000000,174344000000,186115000000,198464000000,216991000000,185322000000,266963000000,219709000000,246121000000,259536000000,272029000000,275244000000,277074000000,277573000000,282217000000,279589000000,264969000000,242249000000,262683000000,279468000000
NetDebtEBITDA,1170,1940,2830,1470,1650,3130,,2490,1520,1080,,3650,-3480,-9510,,19030,9110,7450,,3930,2730,2400,2690,2490,2940,3700,4920,7050,7930,19260,45150,-26010,-36500,398020,27340,-8630,-8830,-11260,-10570,5810,6980,16800,31890,-16059,-27800,22690
DebtFin,-13010000000,12564000000,6158000000,-25998000000,-24493000000,-9889000000,,-6910000000,-23080000000,-26088000000,,-22575000000,-19681000000,-19813000000,,22380000000,32483000000,14024000000,,15293000000,-12870000000,-1187000000,-23106000000,-33702000000,-36427000000,-4799000000,13017000000,1107000000,-1104000000,6598000000,2782000000,7076000000,36106000000,3548000000,9349000000,18411000000,24826000000,44268000000,42262000000,45868000000,66001000000,54566000000,35163000000,31018000000,41233000000,62310000000
DebtFinEBITDA,-1020,600,260,-980,-990,-560,,-230,-630,-850,,-4059,2260,5240,,3770,2160,870,,430,-290,-20,-500,-720,-770,-100,330,40,-50,640,580,-990,-4940,6430,1040,-610,-810,-1810,-1610,960,1630,3280,4230,-2060,-4360,5060
SP1,1700,1430,1430,1920,1900,1650,,1520,1470,1450,,1480,1420,1380,,1390,1400,1390,,1440,1510,1510,1610,1570,1570,1330,1330,1260,1290,1180,1170,1200,1020,1150,1140,960,1010,1000,1030,1050,1110,1060,1020,960,970,980
SP2,1810,1700,1730,2110,2080,1820,,1700,1640,1610,,1620,1540,1510,,1580,1600,1560,,1630,1750,1720,1810,1780,1770,1630,1630,1500,1550,1410,1390,1410,1380,1470,1420,1330,1360,1360,1360,1360,1430,1330,1270,1180,1190,1190
CAR,530,90,110,670,500,340,,180,440,690,,870,600,560,,150,110,120,,160,260,210,340,390,350,370,270,240,270,200,220,250,230,330,260,230,160,130,130,160,150,130,200,200,160,110
QR,1750,1690,1360,1670,1680,1470,,1640,1730,1970,,2640,1780,1600,,1320,1200,1050,,1130,1200,1270,1170,1180,1170,1240,1210,1100,1080,970,900,900,820,780,710,610,570,650,600,720,770,680,650,570,560,590
CR,2200,2110,1830,2080,2450,2110,,2120,2290,2540,,3400,2590,2390,,1850,1700,1710,,1760,1960,1940,1860,1850,1780,1700,1690,1630,1610,1470,1410,1450,1370,1430,1360,1240,1250,1270,1260,1270,1290,1190,1160,1110,1110,1110
PP,550,110,110,670,500,340,,180,440,690,,870,600,560,,150,110,120,,160,260,210,340,420,350,370,280,270,290,220,230,250,250,330,260,230,170,130,140,160,160,150,210,220,180,110
RCLR,1170,1560,950,760,1120,1010,,1060,990,1030,,920,1160,940,,740,600,640,,940,610,680,590,630,460,610,590,590,510,580,460,470,420,420,410,460,500,520,630,520,480,410,350,330,300,320
KP,320,300,280,350,380,320,,300,300,300,,330,280,260,,250,240,230,,250,290,280,280,280,280,250,250,220,230,180,170,180,160,180,170,120,130,130,130,130,150,110,90,60,60,60
PKKO,310,320,340,390,400,350,,390,460,510,,830,760,660,,570,460,360,,360,360,340,350,330,340,350,330,290,330,270,270,260,280,290,250,170,160,160,160,170,190,130,110,70,70,80
RN,4560,3110,3560,4590,4340,4130,4270,4010,3770,3500,2910,2710,2630,3290,4040,3670,3900,3970,4750,4240,4750,4970,5200,6200,6200,5780,5330,4910,4510,4270,4270,4440,4450,4780,5000,4500,4470,4440,4059,4050,3970,3830,4220,4550,5020,5710
CRN,80000,117000,102000,80000,84000,88000,85000,91000,97000,104000,125000,135000,139000,111000,90000,99000,94000,92000,77000,86000,77000,73000,70000,59000,59000,63000,68000,74000,81000,86000,85000,82000,82000,76000,73000,81000,82000,82000,90000,90000,92000,95000,86000,80000,73000,64000
CPZ,68000,75000,108000,94000,91000,94000,91000,86000,95000,102000,122000,136000,133000,110000,89000,113000,132000,140000,117000,117000,104000,98000,100000,94000,101000,111000,120000,132000,141000,151000,161000,163000,172000,174000,171000,190000,182000,174000,170000,167000,171000,188000,198000,205000,210000,199000
RZ,8860,8340,6990,10350,10090,10090,10490,9690,8270,7450,6150,4800,4770,5440,6490,7660,8890,9790,11350,11540,11230,11200,11280,12170,12150,11620,11480,10710,10420,10750,10430,10070,9740,9450,9730,9910,10750,11410,11830,11190,11120,10640,10100,10020,8460,7860
CRZ,41000,44000,52000,35000,36000,36000,35000,38000,44000,49000,59000,76000,76000,67000,56000,48000,41000,37000,32000,32000,33000,33000,32000,30000,30000,31000,32000,34000,35000,34000,35000,36000,37000,39000,37000,37000,34000,32000,31000,33000,33000,34000,36000,36000,43000,46000
RMO,2430,2300,1840,2000,1910,1770,1830,1920,1770,1570,1310,1030,990,1220,1500,1500,1480,1490,1780,1810,1940,1980,1950,2040,1940,1840,1740,1620,1560,1510,1480,1510,1490,1490,1520,1430,1520,1630,1700,1730,1680,1550,1510,1500,1520,1640
RMT,3580,3010,2960,4019,3720,3230,3340,2940,2320,1800,1500,1040,910,1060,1300,1500,1740,1950,2340,2480,2700,2830,2910,3180,3160,3060,2860,2550,2360,2170,2050,2090,2050,2150,2310,2270,2540,2790,2960,3020,2970,2830,2820,2870,2930,3130
RM,1450,1300,1130,1330,1260,1140,1180,1160,1000,840,700,520,470,560,690,740,790,830,1000,1030,1120,1150,1150,1230,1190,1140,1070,990,940,890,860,870,860,880,920,880,950,1030,1080,1100,1070,1000,980,970,970,1020
