,2015/Q4,2016/Q4,2017/Q4
QuoteCurrent,,,
QuoteCurrent_yy,,,
QuoteCurrent_sy,,,
QuoteCurrent_qq,,,
QuoteCurrent_sq,,,
ShareAmountCurrent,7275000000,7275000000,7275000000
ShareAmountCurrent_yy,,,
ShareAmountCurrent_sy,,,
ShareAmountCurrent_qq,,,
ShareAmountCurrent_sq,,,
WKCurrent,,,
WKCurrent_yy,,11.76,114.64
WKCurrent_sy,,,
WKCurrent_qq,,,
WKCurrent_sq,,,
CWKCurrent,,,
CWKCurrent_yy,,-10.52,-53.41
CWKCurrent_sy,,-5.65,-5.43
CWKCurrent_qq,,,
CWKCurrent_sq,,,
WKGrahamCurrent,,,
WKGrahamCurrent_yy,,11.03,169.40
WKGrahamCurrent_sy,,,
WKGrahamCurrent_qq,,,
WKGrahamCurrent_sq,,,
CWKGrahamCurrent,,,
CWKGrahamCurrent_yy,,-9.94,-62.88
CWKGrahamCurrent_sy,,-8.84,1.67
CWKGrahamCurrent_qq,,,
CWKGrahamCurrent_sq,,,
PCurrent,,,
PCurrent_yy,,-2.59,55.76
PCurrent_sy,,,
PCurrent_qq,,,
PCurrent_sq,,,
CPCurrent,,,
CPCurrent_yy,,2.66,-35.80
CPCurrent_sy,,-14.62,-8.22
CPCurrent_qq,,,
CPCurrent_sq,,,
ZCurrent,,,
ZCurrent_yy,,55.55,154.75
ZCurrent_sy,,,
ZCurrent_qq,,,
ZCurrent_sq,,,
CZCurrent,,,
CZCurrent_yy,,-35.72,-60.74
CZCurrent_sy,,-20.42,-0.97
CZCurrent_qq,,,
CZCurrent_sq,,,
ZOCurrent,,,
ZOCurrent_yy,,50.37,172.86
ZOCurrent_sy,,,
ZOCurrent_qq,,,
ZOCurrent_sq,,,
CZOCurrent,,,
CZOCurrent_yy,,-33.51,-63.35
CZOCurrent_sy,,2.45,0.71
CZOCurrent_qq,,,
CZOCurrent_sq,,,
EVCurrent,,,
EVCurrent_yy,,0.17,-0.84
EVCurrent_sy,,,
EVCurrent_qq,,,
EVCurrent_sq,,,
EVPCurrent,,,
EVPCurrent_yy,,2.83,-36.34
EVPCurrent_sy,,-9.64,-14.35
EVPCurrent_qq,,,
EVPCurrent_sq,,,
EVEBITCurrent,,,
EVEBITCurrent_yy,,-33.39,-63.66
EVEBITCurrent_sy,,-17.38,10.63
EVEBITCurrent_qq,,,
EVEBITCurrent_sq,,,
