,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
ShareAmountCurrent,65573800000,65573800000,65573800000,65573800000,65573800000,65573800000,65573800000,65573800000,75024642000,75213589000,75213589000,75213589000,75402375000,75402375000,75402375000,75402375000,75402375000,75402375000,78146944000,78146944000,78146944000,78330841000,78330841000,78330841000,78330841000,78330841000,78330841000,78330841000,78330841000,78330841000,78330841000,78330841000,75042226000
WKCurrent,1020,1050,1230,1340,710,0,1310,1360,1290,0,1390,1480,1450,1540,1580,1660,1570,1740,1750,1830,1920,2000,2080,2160,1940,2040,2150,2270,2390,2150,2240,2380,2220
CWKCurrent,7940,7740,6560,6030,11370,,6200,5940,6260,,5820,5470,5610,5270,5130,4870,5140,4670,4640,4430,4220,4059,3890,3740,4180,3970,3770,3570,3390,3770,3620,3400,3650
WKGrahamCurrent,160,250,340,430,410,0,1000,1060,1020,0,1070,1190,1150,1240,1270,1340,1250,1360,1450,1520,1600,1660,1740,1800,1590,1690,1810,1930,2050,1790,1880,2029,1840
CWKGrahamCurrent,50570,32100,23600,18830,19810,,8060,7630,7910,,7570,6830,7040,6540,6390,6060,6500,5940,5590,5340,5060,4870,4640,4510,5100,4790,4480,4200,3950,4520,4300,3990,4410
PCurrent,2870,2550,2880,3010,3030,3120,3210,3130,2780,2690,2680,2780,2900,3060,3220,3300,3320,3370,3350,3460,3480,3490,3610,3620,3760,3890,3960,4150,4200,4320,4440,4470,4800
CPCurrent,2820,3180,2810,2700,2670,2600,2530,2590,2910,3010,3030,2920,2790,2640,2520,2450,2440,2400,2410,2340,2330,2320,2240,2240,2150,2080,2050,1950,1930,1880,1830,1810,1690
ZCurrent,240,140,270,350,320,370,390,330,310,70,230,270,280,520,340,330,330,340,340,330,320,310,320,350,380,410,420,470,480,510,510,510,580
CZCurrent,34250,59150,30040,22860,25380,21870,20730,24320,26180,121700,34530,29770,29020,15680,24160,24340,24510,24180,23850,24870,25170,26450,24980,23330,21290,19850,19310,17210,16820,16030,15740,15780,14030
ZOCurrent,450,290,440,500,460,500,540,470,440,370,350,380,390,430,440,430,420,430,440,430,420,400,420,440,480,510,530,590,610,630,650,650,730
CZOCurrent,17910,28170,18540,16090,17450,16050,15090,17090,18580,21640,23400,21190,20910,18870,18510,18840,19110,18770,18540,19050,19250,20220,19450,18440,17030,16000,15380,13700,13380,12770,12490,12490,11070
EVCurrent,9420,9100,8990,9210,9250,8100,8760,8800,8680,8100,8410,8450,8210,8150,8130,8300,8250,8450,8430,8610,8520,8310,8150,8060,8010,8590,8400,8240,8039,8360,8370,8440,8630
EVPCurrent,3280,3570,3120,3060,3050,2600,2730,2810,3120,3010,3140,3040,2830,2660,2530,2520,2490,2510,2510,2490,2450,2380,2260,2230,2130,2200,2120,1990,1920,1940,1890,1890,1800
EVEBITCurrent,20820,31660,20580,18290,19920,16050,16320,18560,19920,21640,24310,22100,21180,18980,18580,19310,19460,19600,19290,20250,20260,20750,19570,18360,16840,16970,15960,13930,13280,13180,12900,13010,11800
EVEBITDACurrent,19480,27660,18920,16960,18260,14740,15270,17240,18770,20310,22810,20860,19870,17850,17400,18050,18130,18230,17980,18770,18700,19030,17920,16830,15500,15640,14720,12940,12340,12290,12040,12120,10990
DTAR,670,600,420,420,690,,470,440,420,,320,330,320,220,260,280,370,340,340,360,310,270,170,170,310,350,290,240,210,350,340,300,440
CG,2050,1530,1100,1130,2190,,870,790,740,,460,490,480,290,360,400,610,520,530,550,460,360,200,210,440,540,410,320,270,530,510,420,770
LDER,650,650,140,0,10,,0,0,0,,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,10,10,10,10
PZAT,1120,1010,1340,44610,48290,,61820,73540,89240,,119120,126940,127960,126680,107540,111320,112070,21780,20680,22600,24460,26890,28740,30270,33540,35420,37940,41100,43760,15850,15360,15440,11840
PELDR,1960,2180,4890,4330,2360,,4350,4520,4790,,4340,4650,4500,4750,4690,4760,4430,4710,5900,5850,6020,6020,6200,5930,5550,5880,6330,6740,7090,6070,6370,6830,5870
TSF,540,650,440,370,320,,540,560,580,,680,660,670,760,730,710,620,660,660,650,690,740,830,830,700,650,710,760,790,660,670,710,570
