,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000,299000
ShareAmountCurrent,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000,729000000
WKCurrent,22420,26850,34230,35960,35580,40590,44460,45750,40530,47330,51670,55030,51950,55790,56520,61500,66350
CWKCurrent,13330,11130,8730,8320,8400,7370,6720,6540,7380,6320,5790,5430,5760,5360,5290,4860,4510
WKGrahamCurrent,6800,10150,15920,16670,16149,18740,17430,14040,6610,8390,11960,12160,6900,15360,16340,19210,19390
CWKGrahamCurrent,44000,29450,18790,17940,18520,15960,17150,21300,45210,35650,24990,24600,43360,19460,18300,15560,15420
PCurrent,26320,28330,28090,28770,31590,35260,35110,33910,32369,30670,35070,37270,39390,40140,37280,41080,42770
CPCurrent,11360,10560,10650,10390,9460,8480,8520,8820,9240,9750,8530,8020,7590,7450,8020,7280,6990
ZCurrent,10160,9520,10000,9350,11490,13830,12940,12490,11410,10320,13730,15790,16820,16740,13090,14730,14400
CZCurrent,29420,31410,29910,31960,26020,21620,23110,23940,26210,28970,21780,18930,17770,17860,22840,20300,20770
ZOCurrent,10370,9710,10150,10140,11880,14050,13140,12070,11010,10250,13560,15670,16880,16480,13380,14840,14110
CZOCurrent,28820,30800,29450,29470,25170,21280,22750,24770,27160,29170,22050,19090,17720,18150,22350,20150,21190
EVCurrent,293650,289350,302590,285500,286490,284380,284650,288260,295550,289750,284820,282740,289050,283260,283430,284400,285500
EVPCurrent,11160,10220,10770,9920,9070,8060,8109,8500,9130,9450,8119,7590,7340,7060,7600,6920,6670
EVEBITCurrent,28310,29810,29800,28140,24120,20240,21660,23880,26840,28270,21010,18050,17130,17190,21190,19170,20240
EVEBITDACurrent,25710,25110,24760,23130,20110,17170,18390,19950,21860,22500,17230,15010,14270,14160,16440,15020,15480
DTAR,400,320,250,270,270,230,220,230,220,230,250,260,280,260,270,260,260
CG,670,470,330,380,360,300,290,300,280,300,340,350,400,360,370,350,350
LDER,370,280,150,160,150,110,120,110,120,150,210,230,260,170,160,110,120
PZAT,1730,2009,3390,3070,3410,4200,4120,4800,5510,3770,2480,2050,2000,2820,3030,4190,3970
PELDR,2130,2200,2350,2370,2310,2270,2000,1760,1470,1510,1650,1660,1540,1810,1860,1910,1820
TSF,820,870,860,840,840,860,870,850,870,890,900,910,900,860,850,820,830
ZKO,690,560,420,450,440,390,420,490,630,630,590,610,750,560,560,530,540
OSF,990,890,780,840,810,730,700,710,750,760,770,790,860,780,790,770,770
NetDebt,1135000000,-1608000000,-4171000000,-2387698000,-1937462000,-3669136000,-2612628000,954000000,4857969000,3043000000,1894000000,1441000000,7349000000,2867000000,3867000000,5220000000,6708000000
NetDebtEBITDA,140,-190,-470,-270,-190,-300,-230,90,490,320,160,110,500,200,310,380,500
DebtFin,-3897000000,-7038000000,2617000000,-9844337000,-9119786000,-10657526000,-10459934000,-7830000000,-2517536000,-6746000000,-10338000000,-11850000000,-7251000000,-11471000000,-11352000000,-10646000000,-9843000000
DebtFinEBITDA,-470,-840,290,-1090,-880,-880,-930,-740,-260,-720,-860,-860,-490,-790,-900,-770,-730
SP1,1430,1610,1870,1860,1830,1860,1640,1440,1200,1220,1300,1280,1150,1380,1410,1450,1410
SP2,1960,2060,2140,2170,2100,2070,1840,1600,1340,1400,1570,1580,1450,1610,1630,1610,1580
CAR,1990,2870,,2160,2029,2260,2200,1390,720,1420,2210,2580,1400,1500,1310,970,920
QR,2350,3440,3260,3030,2940,3100,3060,2190,1590,2080,3310,3950,2740,2230,1980,1570,1790
CR,3230,4390,4270,3880,3790,4080,4059,3120,2760,3200,4370,4890,3840,3360,3140,2710,2840
PP,1990,2870,2670,2160,2029,2260,2200,1400,720,1420,2210,2690,1470,1520,1310,970,920
RCLR,260,480,520,740,740,770,710,700,820,580,880,1130,1270,450,390,570,710
KP,400,450,460,450,440,440,400,320,220,250,330,340,280,330,330,310,310
PKKO,1290,1410,1860,1950,1710,1730,1700,1420,910,1360,2020,2410,1960,2260,2170,1930,1890
RN,14980,11460,8440,7060,6970,6860,6240,5910,5730,5880,6530,6610,5970,5940,5790,6070,6000
CRN,24000,32000,43000,52000,52000,53000,58000,62000,64000,62000,56000,55000,61000,61000,63000,60000,61000
CPZ,94000,67000,81000,84000,81000,76000,79000,85000,86000,89000,76000,65000,63000,70000,88000,99000,112000
RZ,3740,5630,5080,5120,5360,6000,5650,5430,4880,4360,4170,4030,3890,3980,4010,4040,4150
CRZ,97000,65000,72000,71000,68000,61000,65000,67000,75000,84000,88000,91000,94000,92000,91000,90000,88000
RMO,1210,1240,1220,1200,1180,1200,1170,1150,1210,1240,1440,1470,1420,1300,1130,1170,1100
RMT,1680,1700,1620,1590,1700,1790,1600,1360,1130,930,970,960,950,960,880,980,1010
RM,700,720,700,680,700,720,680,620,590,530,580,580,570,550,500,530,530
COP,121000,97000,115000,123000,120000,114000,123000,129000,139000,146000,144000,146000,155000,153000,154000,150000,149000
CSP,27000,30000,34000,39000,39000,38000,44000,44000,53000,57000,68000,81000,92000,83000,66000,51000,37000
