,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,5840000000,5840000000,5840000000,8840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,6840000000,7840000000,7840000000,7840000000,7840000000,7840000000,7840000000,7840000000,7840000000,14840000000,14840000000,14840000000,14840000000,14840000000,29840000000,29840000000,29840000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,,,209.49,,-13.66,38.66,126.93,44.53,19.35,143.89,11.89,21.81,-100.00,17.06,42.36,6.27,,32.35,-10.67,36.46,-6.23,-3.45,32.74,28.45,-11.79,71.01,49.78,23.22,96.45,-20.91,25.90,33.36,40.98
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,-68.34,30.70,57.74,32.27,-49.15,113.92,0.46,9.23,3.90,-1.86,9.36,-100.00,,19.34,-18.36,21.28,12.01,-19.45,24.72,-16.67,15.34,10.74,20.69,-42.78,123.60,-3.01,-0.71,-8.77,-9.98,54.40,5.17,-3.55
