,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
ShareAmountCurrent,16500000000,16500000000,16500000000,25300000000,25300000000,25300000000,25300000000,25300000000,25300000000,25300000000,25300000000,25300000000,25300000000,25596465000,25596465000,27596465000,27945465000,27945465000,27945465000,27945465000,27945465000,28268715000,28268715000,28268715000,28268715000,28268715000,28268715000
WKCurrent,120,120,280,180,200,210,210,210,220,240,260,290,140,170,160,800,740,850,830,800,880,820,770,850,590,650,620
CWKCurrent,24010,24290,9960,16010,14120,13640,13600,13600,12630,11650,10960,9560,19890,16530,17550,3520,3790,3310,3380,3510,3210,3460,3650,3320,4800,4330,4520
WKGrahamCurrent,90,90,250,150,170,190,190,180,170,170,170,180,-230,-240,-330,-40,-200,-150,-200,-260,-300,-370,-380,-380,-450,-430,-480
CWKGrahamCurrent,32750,32360,11270,19140,16360,14890,14760,15580,16379,16190,16630,15810,,,,,,,,,,,,,,,
PCurrent,150,180,190,140,200,230,250,300,320,370,430,500,540,620,630,610,620,680,810,840,810,730,660,630,620,590,570
CPCurrent,19210,16050,14530,19850,14040,12430,11270,9430,8860,7600,6600,5670,5210,4550,4460,4600,4550,4140,3470,3360,3460,3870,4250,4500,4520,4820,4980
ZCurrent,10,30,30,10,20,30,30,40,30,40,50,90,30,40,10,280,270,340,330,0,110,-60,0,0,-230,-220,-300
CZCurrent,203210,97140,97350,287710,162770,111600,112080,73100,98580,77650,51410,32240,106390,71230,393930,10100,10390,8180,8530,,26300,,703850,580020,,,
ZOCurrent,20,20,20,10,30,40,40,50,40,50,70,90,40,60,50,0,-40,50,50,40,120,-40,30,50,30,30,-80
CZOCurrent,123220,123220,123220,401680,107260,80660,78330,56480,74400,61820,42530,30030,64730,44600,61070,1699990,,61630,58550,64410,23080,,103920,59200,99920,94520,
EVCurrent,2810,2820,2820,2780,2810,2820,2820,2820,2820,2830,2790,2840,2800,2740,2780,2500,2600,2690,2790,2810,2900,2950,2950,2980,3050,3100,3160
EVPCurrent,19160,16050,14530,19580,14010,12430,11270,9440,8850,7620,6530,5720,5180,4430,4400,4080,4200,3950,3430,3340,3560,4050,4450,4760,4890,5300,5590
EVEBITCurrent,122920,123220,123220,396150,106980,80660,78330,56530,74280,61960,42080,30280,64319,43400,60240,1507020,-70940,58840,57930,64099,23710,-75150,108590,62540,108220,104070,-39890
EVEBITDACurrent,78830,79020,79020,146350,85330,62980,59490,46580,57380,49270,34160,25070,5460,4950,5170,5340,53450,17980,14620,13360,10890,32270,19480,17420,17220,16910,38600
DTAR,90,60,20,10,110,90,90,140,150,170,320,310,740,730,770,550,470,370,390,390,410,420,540,500,590,520,530
CG,100,60,20,10,130,100,100,160,180,210,480,450,2910,2670,3300,1210,900,580,640,630,690,740,1170,1000,1410,1090,1130
LDER,,,,,0,,,10,20,40,130,140,650,660,1090,260,270,220,220,220,260,260,730,640,860,790,810
PZAT,,,,,28230,,,4920,4100,2380,600,510,190,140,100,100,170,160,220,210,140,130,50,40,40,30,30
PELDR,,,,,7340,,,7970,4450,3700,3370,2880,630,700,690,1200,1000,1040,980,920,940,870,1160,1130,1060,1080,1020
