,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460,10460
ShareAmountCurrent,50375000000,50375000000,50375000000,50375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000,60375000000
WKCurrent,280,280,670,2890,2680,2790,2960,2900,0,0,0,2500,2510,2390,0,2360,2330,2360,0,2520,2640,2560,2650,2700,2740,2620,2800,2890,2930,2780,2900,3210,3060,2900,3030,3590,3760,3950,4140,4330,4530,4520,4770,5180,5450,5530
CWKCurrent,37920,37260,15730,3620,3900,3750,3540,3600,,,,4180,4160,4380,,4440,4480,4430,,4140,3960,4090,3950,3880,3820,4000,3730,3620,3570,3760,3610,3260,3420,3610,3450,2910,2780,2650,2530,2410,2310,2320,2190,2020,1920,1890
WKGrahamCurrent,-560,-730,-610,1110,1030,910,730,640,0,0,0,-130,-70,-170,0,-200,-240,-190,0,-90,50,-70,60,100,180,50,250,380,390,230,360,160,230,-780,-800,-1180,-680,-370,-70,-230,590,100,-380,-1200,-1260,-1450
CWKGrahamCurrent,,,,9390,10200,11510,14290,16239,,,,,,,,,,,,,214510,,173260,101040,59300,195820,41890,27380,26960,45910,29030,66710,45480,,,,,,,,17880,109540,,,,
PCurrent,3950,3750,5520,7650,6770,6950,7000,6100,4890,3960,2930,2700,2700,2960,3520,4340,5210,6130,7180,8220,9260,9940,10280,10020,9270,9330,9470,9740,10370,10290,10190,9680,9530,9890,10060,10440,11050,14290,16730,19840,23230,23800,24970,26460,28110,29650
CPCurrent,2650,2790,1890,1370,1550,1500,1490,1710,2140,2640,3570,3880,3870,3530,2970,2410,2009,1710,1460,1270,1130,1050,1020,1040,1130,1120,1110,1070,1010,1020,1030,1080,1100,1060,1040,1000,950,730,630,530,450,440,420,400,370,350
ZCurrent,150,10,170,890,860,1040,980,600,270,30,-150,-160,-100,-310,-290,-150,-180,-20,30,170,310,390,430,380,300,310,390,430,440,430,390,410,410,620,610,560,680,710,800,910,980,860,890,1280,1370,1440
CZCurrent,70030,791170,63070,11750,12120,10030,10680,17460,38130,355590,,,,,,,,,398440,60910,33610,26520,24210,27600,35240,33850,26610,24490,23990,24150,27030,25800,25530,16940,17220,18600,15370,14770,13110,11460,10630,12210,11730,8170,7620,7250
