,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540
ShareAmountCurrent,10000000000,10000000000,10000000000,10000000000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000,12676658000
WKCurrent,840,1160,1080,1760,3370,3440,3200,3110,3170,3110,3270,3330,3340,3340,3580,3590,3510,3370,3600,3610,3630,3680,3780,3860,4000,4300,4950,4970,5020,5080,5500,5330,5160,5020,5060,4920,4870,4760,5000,4880,4830,4770,6080,5940,5780
CWKCurrent,5410,3900,4210,2590,1350,1320,1420,1460,1430,1460,1390,1370,1360,1360,1270,1260,1290,1350,1260,1260,1250,1230,1200,1180,1140,1060,920,910,900,890,830,850,880,900,900,920,930,950,910,930,940,950,750,760,780
WKGrahamCurrent,370,700,640,610,2060,2050,1490,1300,1290,1100,990,1010,810,-30,-290,-220,-840,-840,-460,-320,-530,-540,-570,-520,-390,-360,860,890,980,230,690,510,280,80,-30,-90,-80,-190,40,80,20,10,2320,2240,2170
CWKGrahamCurrent,12260,6510,7050,7420,2210,2210,3060,3500,3520,4110,4580,4490,5610,,,,,,,,,,,,,,5310,5100,4620,19380,6600,8870,16379,56930,,,,,102040,54810,250230,548110,1950,2029,2090
PCurrent,5360,4450,6720,3850,4590,5360,6680,7090,7170,7050,7260,7860,8370,9080,10180,10500,10850,11040,11450,11900,12450,12930,13200,13370,13900,14340,14820,15490,16230,16510,16960,16760,17090,16960,16820,17080,17330,17680,18090,18270,18200,18300,18710,18660,18450
CPCurrent,850,1020,680,1180,990,850,680,640,630,640,630,580,540,500,450,430,420,410,400,380,360,350,340,340,330,320,310,290,280,280,270,270,270,270,270,270,260,260,250,250,250,250,240,240,250
ZCurrent,-10,200,530,260,300,270,60,-150,-270,-330,-60,150,150,200,370,340,370,370,370,410,390,360,230,170,290,360,790,800,870,820,700,500,630,440,290,330,50,70,140,150,90,160,1130,1120,1140
CZCurrent,,22390,8570,17160,15130,16920,82330,,,,,30390,30810,22440,12380,13260,12360,12140,12370,11130,11770,12520,19930,26500,15450,12700,5770,5640,5210,5520,6470,9060,7160,10390,15710,13940,83530,63590,31870,29840,49660,28990,4000,4059,3990
ZOCurrent,100,290,750,300,280,240,400,210,160,50,-40,160,170,120,480,530,530,660,790,810,870,890,750,630,630,630,790,900,1070,1080,1030,890,980,770,540,510,370,400,420,420,170,180,400,280,400
CZOCurrent,47390,15810,6060,15000,16420,19070,11300,21920,28480,93130,,28920,26810,36470,9480,8490,8630,6910,5740,5600,5220,5090,6080,7220,7240,7190,5780,5030,4250,4210,4420,5130,4650,5920,8350,8830,12420,11470,10900,10820,26140,24650,11490,16219,11340
EVCurrent,4370,4460,4320,4450,4270,4490,3800,3610,3850,3830,5860,4040,6050,3800,6530,6910,7480,3290,7040,7310,7540,7880,5990,7930,7990,7870,6920,7010,7260,8130,7640,7950,8000,8620,8580,8730,8490,8530,7950,8280,8180,8029,5930,6920,7090
EVPCurrent,820,1000,640,1160,930,840,570,510,540,540,810,510,720,420,640,660,690,300,620,610,610,610,450,590,570,550,470,450,450,490,450,470,470,510,510,510,490,480,440,450,450,440,320,370,380
EVEBITCurrent,45600,15530,5770,14700,15430,18870,9460,17450,24160,78490,-143950,25730,35740,30550,13650,12920,14220,5000,8910,9020,8670,8840,8020,12620,12730,12470,8820,7760,6790,7540,7440,8990,8210,11230,15780,16980,23210,21540,19080,19730,47110,43600,15000,24710,17700
EVEBITDACurrent,24550,11650,5240,12460,12100,13110,7120,9700,11130,15090,31210,9840,13760,9280,8290,7920,8300,3060,5720,5770,5660,5800,4910,7160,7160,6980,5360,4960,4580,5120,4970,5700,5370,6680,8000,8310,9430,9220,8460,8860,11970,11560,6540,8810,7860
DTAR,710,660,670,570,360,370,450,520,510,570,530,540,590,650,620,650,660,710,670,670,680,700,670,660,650,650,530,570,570,610,550,610,600,650,610,640,610,630,590,620,600,640,500,530,530
CG,2420,1910,1990,1340,550,580,810,1090,1040,1300,1130,1190,1450,1880,1650,1850,1980,2460,2040,2029,2160,2360,1980,1980,1870,1830,1140,1300,1320,1580,1220,1570,1490,1830,1580,1800,1540,1730,1450,1640,1520,1760,1010,1110,1140
