,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,58337906000,58337906000,58337906000,58337906000,58337906000,58337906000,58337906000,47947996000,47947996000,47947996000,47947996000,47947996000,47947996000,47947996000,47947996000,47947996000,60039507000,65039507000,65039507000,65039507000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000,65094823000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,-55.72,41.94,,,-4.60,,50.71,,78.87,154.16,111.26,,98.56,6.30,8.92,-13.35,1.02,-3.87,-2.90,23.48,-7.06,-5.01,-2.41,-3.79,-1.79,-3.63,-36.11,-36.80,-73.79,-71.71,-91.07
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-100.00,,35.98,18.44,-100.00,,93.21,-1.55,0.96,3.40,3.43,0.87,-19.68,20.55,-1.57,1.89,2.14,-9.27,0.60,4.68,0.69,-7.38,-1.29,-30.60,-0.39,-61.59,6.52,-78.09
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
