,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
ShareAmountCurrent,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000,117383635000
WKCurrent,2190,2860,3190,2670,2620,2610,3030,3080,2900,3170,3410,3900,4250
CWKCurrent,2240,1710,1540,1830,1870,1880,1620,1590,1690,1540,1440,1250,1150
WKGrahamCurrent,1940,2560,2930,2430,2380,2390,2820,2870,2740,3020,3270,3780,4130
CWKGrahamCurrent,2530,1910,1670,2020,2060,2050,1740,1710,1790,1620,1500,1300,1190
PCurrent,1830,1740,2390,2280,2260,1810,2130,1930,2230,2490,2330,2800,2950
CPCurrent,2680,2820,2050,2150,2170,2710,2300,2540,2200,1970,2100,1750,1660
ZCurrent,700,660,1010,860,770,370,660,480,720,950,790,1210,1400
CZCurrent,7020,7460,4830,5690,6360,13140,7400,10180,6850,5180,6190,4059,3510
ZOCurrent,910,740,1200,1020,810,360,700,530,990,1240,1090,1520,1620
CZOCurrent,5410,6660,4080,4820,6050,13510,7000,9280,4950,3940,4480,3220,3020
EVCurrent,3560,2580,2220,2510,2890,2930,2620,2710,2980,2930,2120,1220,790
EVPCurrent,1950,1480,930,1100,1280,1620,1230,1400,1340,1180,910,430,270
EVEBITCurrent,3940,3500,1840,2470,3560,8090,3740,5130,3010,2350,1940,800,480
EVEBITDACurrent,3800,3280,1770,2350,3360,7150,3510,4720,2870,2260,1850,770,470
DTAR,540,490,490,560,540,560,550,570,600,590,550,500,490
CG,1170,960,940,1290,1190,1260,1240,1350,1530,1420,1240,1010,960
LDER,40,30,30,30,20,30,40,40,40,50,30,30,30
PZAT,420,480,430,410,590,360,290,230,240,180,300,230,180
PELDR,9120,9810,12930,11420,11330,12160,14510,15510,18450,21620,24960,31300,34530
TSF,480,520,530,450,470,460,460,440,410,430,460,510,530
ZKO,570,520,510,590,570,580,570,590,620,600,560,510,500
OSF,4980,4940,6380,6490,6280,6830,8000,8800,10950,12380,13740,15550,16690
NetDebt,60653000000,-26633000000,-36725000000,49449000000,57194000000,77245000000,55028000000,86304000000,134838000000,118513000000,2175000000,-105173000000,-135656000000
NetDebtEBITDA,550,-290,-250,400,570,1600,630,1280,1110,780,20,-570,-690
DebtFin,-156766000000,-272696000000,-315113000000,-280480000000,-236218000000,-230804000000,-268094000000,-257480000000,-225007000000,-231454000000,-326191000000,-432384000000,-482730000000
DebtFinEBITDA,-1420,-2960,-2150,-2240,-2340,-4790,-3060,-3820,-1850,-1520,-2430,-2340,-2460
SP1,8740,9540,12600,11080,11100,11780,14000,14890,17690,20660,24340,30490,33530
SP2,9120,9810,12930,11420,11330,12160,14510,15510,18450,21620,24960,31300,34530
CAR,580,920,950,740,690,640,680,610,500,510,750,1010,1070
QR,1820,1990,2029,1750,1800,1770,1800,1750,1660,1730,1810,2009,2070
CR,1820,1990,2029,1750,1800,1770,1800,1750,1660,1730,1810,2009,2070
PP,830,1120,1140,900,860,820,900,850,760,800,1020,1260,1320
RCLR,140,10,20,30,40,50,10,30,20,10,10,10,10
KP,430,470,490,410,430,420,430,410,390,410,440,500,510
PKKO,-61280,-53940,-60990,-51400,-50070,-52190,-63340,-65610,-59350,-63090,-65099,-73430,-94450
RN,5310,51480,27980,23690,25970,16940,20280,17600,23520,35540,35300,54090,59830
CRN,69000,7000,13000,15000,14000,22000,18000,21000,16000,10000,10000,7000,6000
CPZ,492000,561000,425000,475000,491000,632000,567000,659000,621000,600000,660000,543000,504000
RZ,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,
RMO,410,330,420,400,390,310,360,310,340,350,320,370,380
RMT,7320,5790,8830,8800,9070,7610,9320,8760,11030,13440,14030,19120,21500
RM,390,310,410,380,380,300,350,300,330,340,310,370,370
COP,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,
