,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,52026000000,52026000000,52026000000,52026000000,52026000000,52026000000,52026000000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000,50823547000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,13.29,10.12,,,9.67,,8.36,8.37,9.32,9.32,5.35,1.66,0.98,0.54,-1.56,-0.87,-50.66,-49.16,-46.36,-44.33,13.73,12.31,7.85,6.88,5.63,2.15,-3.38
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,3.08,-0.11,1.39,3.81,3.08,0.77,1.38,0.04,-0.52,0.09,0.93,-2.04,0.17,-50.17,3.99,3.35,3.97,1.79,2.68,-0.75,3.03,0.59,-0.69,-6.12
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
