,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000
ShareAmountCurrent,11335454000,11335454000,11335454000,11335454000,11335454000,11335454000,11335454000,10742939000,10742939000,10742939000,10742939000,10436205000,10436205000,10436205000,10436205000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000,10271337000
WKCurrent,106790,105860,108830,91240,104790,79660,84270,74290,91410,73200,78210,58770,75770,69420,70330,63200,60590,68500,71070,53960,50190,57340,56860,22970,26510,34340,33890,17000,31130,36540,34580,16730,20800,30960,26860,20670,29320,28480,28080,17000,18240,25500,31340,15350,12410,18410,21630,13330,22980,14550,14350,11530
CWKCurrent,4360,4400,4280,5110,4450,5850,5530,6270,5100,6370,5960,7930,6150,6710,6630,7370,7690,6800,6560,8640,9280,8130,8200,20280,17580,13570,13750,27410,14970,12750,13480,27850,22410,15050,17350,22550,15890,16360,16600,27420,25550,18270,14870,30360,37550,25320,21550,34950,20270,32020,32479,40420
WKGrahamCurrent,-39880,-44890,-39920,-61540,-46380,-66640,-59190,-77990,-58400,-82380,-75330,-104280,-84530,-88380,-83220,-91500,-89350,-78690,-71200,-85210,-85570,-79620,-75270,-109020,-104910,-103500,-101220,-117560,-100680,-99220,-99650,-114890,-106240,-103240,-106900,-109470,-95680,-102250,-100550,-131560,-126550,-110890,-84340,-95310,-94970,-88380,-82490,-89660,-78530,-87150,-85130,-90670
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,246000,250970,252520,258279,267540,279000,289840,320130,323960,327080,331580,349620,360880,365110,359300,365000,363150,363150,368580,357970,353830,353520,352050,354980,349040,351070,351120,351530,350030,347150,344050,341000,343170,336600,331570,322760,311470,301150,298070,295850,301290,304930,294350,282820,257630,232940,245060,264300,217890,217270,215910,222860
CPCurrent,1890,1860,1850,1800,1740,1670,1610,1460,1440,1420,1410,1330,1290,1280,1300,1280,1280,1280,1260,1300,1320,1320,1320,1310,1340,1330,1330,1330,1330,1340,1350,1370,1360,1380,1410,1440,1500,1550,1560,1580,1550,1530,1580,1650,1810,2000,1900,1760,2140,2140,2160,2090
ZCurrent,25090,29380,34630,29510,32229,29180,31550,38590,36910,38970,38850,38330,39750,39840,35740,32810,31250,35980,37620,38750,39590,38830,35800,34010,30320,31000,31030,27030,28620,30200,28690,30730,25670,26420,24280,21930,21520,15520,19220,21330,25920,29030,35250,33160,27950,26540,23430,27000,28520,25170,22890,24100
CZCurrent,18580,15860,13460,15790,14460,15970,14770,12080,12620,11960,12000,12160,11720,11700,13040,14200,14910,12950,12390,12020,11770,12000,13020,13700,15370,15030,15020,17240,16280,15430,16239,15160,18150,17640,19190,21250,21650,30030,24240,21850,17980,16050,13220,14050,16670,17560,19890,17260,16340,18510,20350,19330
ZOCurrent,32790,39890,38770,40240,-283630,39900,42880,51100,49040,52270,52140,51900,54660,55410,51510,47600,44310,42000,42850,44640,46130,44890,41450,39440,35420,36460,36600,32350,34310,36110,34320,36080,29250,26610,23620,20640,20340,13760,17740,19320,25110,27610,31990,33280,27150,31920,31540,32180,32930,32509,29930,32740
CZOCurrent,14210,11680,12020,11580,,11680,10870,9120,9500,8920,8940,8980,8520,8410,9050,9790,10520,11100,10880,10440,10100,10380,11240,11810,13160,12780,12730,14400,13580,12900,13580,12920,15930,17520,19730,22580,22910,33860,26270,24120,18560,16880,14570,14000,17160,14600,14780,14480,14150,14330,15570,14230
EVCurrent,455880,502180,490030,531300,487510,521549,519480,545500,526800,537520,548300,582770,566500,548990,564780,561200,535070,545830,539360,551450,526870,539730,541010,567940,552290,555290,561900,573350,556990,550210,559100,564240,550290,550790,565390,557690,545960,545550,553660,539100,537910,542370,536470,536420,524159,532230,531120,536950,517690,527690,528660,525640
