Date,Open,Max,Min,Close,Volume,TradeSize
30.10.2018,4.44,4.44,4.44,4.44,10,44
24.10.2018,4.44,4.44,4.44,4.44,10,44
22.10.2018,4.44,4.44,4.44,4.44,2,9
19.10.2018,4.44,4.44,4.44,4.44,5,22
18.10.2018,4.44,4.44,4.44,4.44,2,9
17.10.2018,4.44,4.44,4.44,4.44,10,44
16.10.2018,4.44,4.44,4.44,4.44,10,44
10.10.2018,4.44,4.44,4.44,4.44,10,44
01.10.2018,4.44,4.44,4.44,4.44,10,44
28.09.2018,4.44,4.44,4.44,4.44,10,44
27.09.2018,4.44,4.44,4.44,4.44,10,44
26.09.2018,4.44,4.44,4.44,4.44,10,44
25.09.2018,4.44,4.44,4.44,4.44,10,44
24.09.2018,4.44,4.44,4.44,4.44,10,44
21.09.2018,4.44,4.44,4.44,4.44,1,4
20.09.2018,4.44,4.44,4.44,4.44,10,44
13.09.2018,4.44,4.44,4.44,4.44,10,44
12.09.2018,4.44,4.44,4.44,4.44,10,44
11.09.2018,4.44,4.44,4.44,4.44,10,44
07.08.2018,4.74,4.74,4.28,4.28,4263,19088
16.07.2018,4.74,4.74,4.74,4.74,2,9
09.07.2018,5.00,5.00,5.00,5.00,1600,8000
28.06.2018,5.80,5.80,5.60,5.60,1340,7524
21.05.2018,5.95,6.10,5.95,6.10,375,2233
09.05.2018,6.10,6.10,6.10,6.10,200,1220
07.05.2018,6.20,6.20,6.20,6.20,25,155
04.05.2018,6.20,6.20,6.20,6.20,25,155
02.05.2018,6.40,6.40,6.40,6.40,50,320
06.04.2018,6.40,6.40,6.40,6.40,126,806
03.04.2018,6.40,6.40,6.40,6.40,2,13
28.02.2018,6.40,6.40,6.40,6.40,65,416
26.02.2018,6.40,6.40,6.40,6.40,8,51
20.02.2018,6.50,6.50,6.50,6.50,17,111
19.02.2018,6.50,6.50,6.50,6.50,10,65
16.02.2018,6.55,6.55,6.40,6.40,300,1935
12.02.2018,6.55,6.55,6.55,6.55,195,1277
09.02.2018,6.65,6.65,6.65,6.65,86,572
08.02.2018,6.65,6.65,6.65,6.65,60,399
26.01.2018,6.85,6.85,6.85,6.85,10,69
25.01.2018,6.70,6.95,6.70,6.85,652,4378
24.01.2018,6.75,6.80,6.75,6.80,76,514
23.01.2018,6.80,6.80,6.80,6.80,1020,6936
12.01.2018,6.90,6.90,6.90,6.90,2,14
10.01.2018,6.75,6.75,6.75,6.75,1431,9659
09.01.2018,7.00,7.00,6.75,6.75,1372,9529
05.01.2018,7.20,7.20,7.20,7.20,668,4810
04.01.2018,7.55,7.55,7.45,7.45,804,6035
03.01.2018,7.50,7.50,7.20,7.50,435,3201
29.12.2017,7.30,7.66,7.30,7.66,1946,14353
28.12.2017,7.30,7.30,7.30,7.30,1058,7723
27.12.2017,7.27,7.61,7.25,7.25,1801,13233
22.12.2017,7.27,7.27,7.27,7.27,200,1454
21.12.2017,6.87,7.21,6.87,7.21,895,6245
20.12.2017,6.60,6.87,6.60,6.87,3047,20160
19.12.2017,6.61,7.00,6.30,6.60,5220,33975
18.12.2017,6.40,6.90,6.40,6.90,2564,17612
15.12.2017,6.45,6.70,6.10,6.40,8036,50869
14.12.2017,6.15,6.45,6.15,6.35,5031,31262
13.12.2017,6.00,6.15,6.00,6.15,1125,6750
12.12.2017,5.95,5.95,5.95,5.95,10,60
11.12.2017,5.56,6.00,5.55,5.80,4790,26855
08.12.2017,5.29,5.70,5.29,5.55,2550,13735
07.12.2017,5.35,5.35,5.29,5.29,20,106
06.12.2017,5.12,5.12,5.11,5.11,181,926
04.12.2017,5.12,5.12,5.12,5.12,10,51
01.12.2017,5.35,5.35,5.35,5.35,47,251
30.11.2017,5.12,5.35,5.12,5.35,10,52
29.11.2017,5.12,5.35,5.12,5.35,7,37
28.11.2017,5.35,5.35,5.00,5.35,1464,7821
27.11.2017,5.55,5.55,5.55,5.55,250,1388
24.11.2017,5.55,5.55,5.55,5.55,1352,7504
20.11.2017,5.55,5.55,5.55,5.55,15,83
16.11.2017,5.65,5.65,5.65,5.65,6,34
15.11.2017,5.56,5.65,5.56,5.65,1400,7789
13.11.2017,5.09,5.56,5.09,5.56,2700,14051
07.11.2017,5.00,5.00,5.00,5.00,10,50
06.11.2017,5.25,5.25,5.00,5.00,1911,9916
03.11.2017,5.45,5.45,5.45,5.45,54,294
24.10.2017,5.45,5.45,5.45,5.45,146,796
20.10.2017,5.60,5.60,5.60,5.60,180,1008
19.10.2017,5.65,5.65,5.65,5.65,15,85
18.10.2017,5.60,5.60,5.60,5.60,160,896
12.10.2017,5.90,5.90,5.85,5.85,520,3043
11.10.2017,6.00,6.00,5.90,5.90,57,341
10.10.2017,6.06,6.07,6.06,6.06,410,2485
09.10.2017,6.06,6.06,6.06,6.06,10,61
06.10.2017,6.09,6.09,6.09,6.09,158,962
05.10.2017,6.09,6.09,6.09,6.09,10,61
04.10.2017,6.09,6.09,6.09,6.09,74,451
29.09.2017,6.00,6.00,6.00,6.00,1,6
28.09.2017,6.00,6.00,6.00,6.00,100,600
14.09.2017,6.10,6.10,6.10,6.10,50,305
12.09.2017,6.00,6.00,6.00,6.00,324,1944
08.09.2017,6.04,6.04,6.00,6.00,150,901
07.09.2017,6.10,6.10,6.10,6.10,250,1525
01.09.2017,6.10,6.10,6.10,6.10,203,1238
31.08.2017,6.30,6.30,6.30,6.30,10,63
30.08.2017,6.30,6.30,6.30,6.30,10,63
29.08.2017,6.30,6.30,6.30,6.30,100,630
24.08.2017,6.50,6.50,6.40,6.40,350,2250
23.08.2017,6.40,6.50,6.40,6.50,301,1936
18.08.2017,6.53,6.53,6.53,6.53,50,327
17.08.2017,6.53,6.53,6.53,6.53,50,327
16.08.2017,6.53,6.53,6.53,6.53,50,327
07.08.2017,6.53,6.53,6.53,6.53,289,1887
01.08.2017,6.75,6.75,6.75,6.75,15,101
31.07.2017,6.75,6.75,6.75,6.75,1,7
21.07.2017,6.53,6.53,6.53,6.53,5,33
18.07.2017,6.53,6.53,6.53,6.53,20,131
17.07.2017,6.65,6.65,6.60,6.60,505,3338
13.07.2017,7.00,7.00,6.70,6.70,660,4437
12.07.2017,6.99,6.99,6.99,6.99,90,629
11.07.2017,7.00,7.00,7.00,7.00,100,700
10.07.2017,7.00,7.00,7.00,7.00,692,4844
03.07.2017,7.00,7.00,7.00,7.00,104,728
29.06.2017,7.19,7.19,7.00,7.00,32,227
27.06.2017,7.00,7.00,7.00,7.00,1201,8407
26.06.2017,7.00,7.00,7.00,7.00,100,700
23.06.2017,7.00,7.00,7.00,7.00,40,280
21.06.2017,7.00,7.47,6.60,7.47,268,1779
20.06.2017,7.19,7.19,7.19,7.19,1000,7190
19.06.2017,7.54,7.54,7.19,7.19,490,3686
16.06.2017,7.19,7.19,7.19,7.19,40,288
13.06.2017,7.19,7.19,7.19,7.19,403,2898
09.06.2017,7.19,7.19,7.19,7.19,882,6342
08.06.2017,6.85,7.50,6.85,7.19,1815,12608
07.06.2017,6.85,6.85,6.85,6.85,20,137
06.06.2017,6.81,6.81,6.81,6.81,30,204
05.06.2017,6.55,6.82,6.55,6.82,124,823
02.06.2017,6.55,6.55,6.55,6.55,1150,7533
01.06.2017,6.50,6.69,6.50,6.69,1626,10571
22.05.2017,6.51,6.51,6.51,6.51,10,65
18.05.2017,6.51,6.51,6.51,6.51,300,1953
17.05.2017,6.61,6.69,6.61,6.69,115,761
16.05.2017,6.69,6.69,6.69,6.69,5,33
15.05.2017,6.69,6.69,6.69,6.69,10,67
12.05.2017,6.69,6.69,6.51,6.69,1926,12541
11.05.2017,6.69,6.69,6.69,6.69,20,134
10.05.2017,6.69,6.69,6.69,6.69,175,1171
09.05.2017,6.50,6.69,6.50,6.69,1701,11108
08.05.2017,6.40,6.40,6.34,6.35,377,2400
05.05.2017,6.70,6.70,6.40,6.40,2426,15845
04.05.2017,6.70,6.70,6.60,6.70,589,3898
28.04.2017,6.84,7.00,6.84,7.00,3104,21238
27.04.2017,6.84,6.84,6.84,6.84,302,2066
26.04.2017,6.65,6.89,6.65,6.89,510,3394
25.04.2017,6.58,6.58,6.40,6.40,800,5228
24.04.2017,6.85,6.85,6.85,6.85,10,69
21.04.2017,6.85,6.85,6.85,6.85,211,1445
19.04.2017,6.85,6.85,6.85,6.85,375,2569
13.04.2017,6.99,6.99,6.67,6.85,5460,37118
12.04.2017,6.99,6.99,6.68,6.99,40,277
11.04.2017,7.00,7.59,6.80,6.80,13201,93087
10.04.2017,6.70,7.00,6.70,7.00,1050,7253
06.04.2017,6.75,6.75,6.60,6.60,2102,14023
04.04.2017,6.85,6.97,6.60,6.75,1680,11339
03.04.2017,7.00,7.00,7.00,7.00,671,4697
31.03.2017,7.61,7.61,7.30,7.30,1479,10810
30.03.2017,8.08,8.08,7.30,7.61,1940,14766
29.03.2017,7.35,8.08,7.30,8.08,3680,28639
28.03.2017,8.41,8.62,7.11,7.30,4010,30716
27.03.2017,7.13,8.40,7.13,8.40,12823,101787
24.03.2017,6.30,6.70,6.30,6.70,4518,29406
23.03.2017,6.00,6.20,6.00,6.20,4514,27820
22.03.2017,6.15,6.15,6.02,6.02,263,1586
21.03.2017,5.85,6.09,5.85,6.09,1314,7743
20.03.2017,5.85,5.85,5.85,5.85,10,59
17.03.2017,5.81,5.85,5.67,5.85,1013,5811
16.03.2017,6.00,6.02,6.00,6.02,440,2640
15.03.2017,6.00,6.00,6.00,6.00,50,300
14.03.2017,6.00,6.02,6.00,6.02,2000,12020
13.03.2017,6.40,6.40,6.10,6.10,284,1745
09.03.2017,6.40,6.40,6.00,6.20,600,3802
08.03.2017,6.40,6.40,6.00,6.40,290,1777
07.03.2017,5.80,6.25,5.70,6.25,2000,11877
06.03.2017,5.90,5.90,5.55,5.70,2268,12886
03.03.2017,5.85,5.90,5.85,5.90,160,937
02.03.2017,5.69,6.25,5.51,5.90,4465,25255
01.03.2017,5.90,6.09,5.51,5.52,4624,26872
28.02.2017,5.90,5.90,5.90,5.90,283,1670
27.02.2017,6.05,6.20,5.90,5.90,407,2452
24.02.2017,5.61,6.05,5.61,6.05,749,4408
23.02.2017,5.51,6.00,5.51,6.00,2676,15112
22.02.2017,5.51,5.51,5.51,5.51,59,325
21.02.2017,5.65,5.65,5.60,5.60,250,1405
20.02.2017,5.70,5.70,5.70,5.70,100,570
17.02.2017,5.81,5.81,5.70,5.72,2066,11958
16.02.2017,5.80,5.86,5.80,5.81,285,1658
15.02.2017,6.05,6.05,5.60,5.86,1415,8286
14.02.2017,6.02,6.20,5.60,6.05,2075,11980
13.02.2017,6.28,6.28,5.99,6.02,2230,13714
10.02.2017,5.70,6.28,5.60,6.28,1935,11578
09.02.2017,5.95,5.95,5.70,5.75,1761,10217
08.02.2017,6.30,6.30,5.90,6.00,1321,7918
07.02.2017,6.40,6.40,6.01,6.40,462,2840
06.02.2017,6.65,6.70,6.00,6.40,7026,43671
03.02.2017,7.12,7.12,6.80,6.80,745,5210
02.02.2017,7.00,7.23,6.90,7.19,1105,7736
01.02.2017,7.24,7.24,7.00,7.00,346,2434
31.01.2017,7.10,7.20,7.10,7.10,607,4311
30.01.2017,7.00,7.20,7.00,7.20,655,4618
27.01.2017,6.75,7.50,6.50,7.25,5764,40443
26.01.2017,7.20,7.39,6.66,6.88,2189,15287
25.01.2017,7.50,7.50,7.20,7.20,170,1257
24.01.2017,7.39,7.70,7.20,7.50,1954,14359
23.01.2017,7.61,7.98,6.98,7.25,1625,11963
20.01.2017,6.80,8.00,6.80,7.98,4136,30733
19.01.2017,7.40,7.50,6.80,6.80,2399,16857
18.01.2017,7.24,7.24,6.25,7.18,8124,55149
17.01.2017,8.53,8.54,6.92,7.10,9952,74298
16.01.2017,8.38,9.06,7.70,8.35,10229,86219
13.01.2017,6.30,7.62,6.30,7.62,10669,78253
12.01.2017,5.40,6.53,5.40,6.20,15107,91352
11.01.2017,4.27,5.15,4.20,5.15,3305,15101
10.01.2017,5.34,5.34,4.50,4.50,2894,13800
09.01.2017,4.14,5.00,4.06,4.95,8771,38921
05.01.2017,4.01,4.10,4.00,4.00,940,3764
04.01.2017,4.00,4.00,4.00,4.00,100,400
03.01.2017,4.14,4.14,3.95,4.09,2471,10092
02.01.2017,4.20,4.20,4.00,4.10,220,903
30.12.2016,4.40,4.40,4.10,4.10,1471,6180
29.12.2016,4.20,4.20,4.20,4.20,1122,4712
28.12.2016,4.30,4.50,4.30,4.50,360,1552
27.12.2016,4.14,4.50,4.14,4.30,1423,6079
23.12.2016,4.00,4.40,4.00,4.40,1385,5669
22.12.2016,5.05,5.05,4.10,4.10,5217,23643
21.12.2016,5.55,5.55,5.05,5.05,3486,18204
20.12.2016,5.85,6.15,5.50,5.50,9035,51264
19.12.2016,6.44,7.08,5.80,6.00,7851,49541
16.12.2016,6.54,6.54,6.54,6.54,2982,19502
15.12.2016,8.80,8.80,8.00,8.00,1669,13838
14.12.2016,11.11,12.22,8.50,9.00,15558,165951
13.12.2016,7.90,9.55,7.60,9.55,6887,58121
12.12.2016,6.34,7.40,5.71,7.40,9507,61915
09.12.2016,5.77,6.25,5.20,6.00,8678,49135
05.12.2016,4.56,5.01,4.55,5.01,5305,25093
02.12.2016,3.60,4.09,3.30,4.09,19318,71643
01.12.2016,2.00,3.30,2.00,3.30,25116,73286
27.11.2015,1.68,1.68,1.68,1.68,12,20
26.11.2015,1.68,1.68,1.68,1.68,10,17
25.11.2015,1.68,1.68,1.68,1.68,10,17
24.11.2015,1.62,1.67,1.60,1.67,761,1221
23.11.2015,1.68,1.68,1.62,1.62,477,775
20.11.2015,1.68,1.68,1.68,1.68,8,13
19.11.2015,1.68,1.68,1.68,1.68,575,966
18.11.2015,1.62,1.68,1.60,1.68,2955,4819
17.11.2015,1.62,1.68,1.60,1.68,1592,2556
16.11.2015,1.64,1.64,1.64,1.64,800,1312
12.11.2015,1.75,1.75,1.61,1.68,564,923
10.11.2015,1.75,1.75,1.65,1.75,4511,7610
09.11.2015,1.77,1.77,1.75,1.75,618,1082
06.11.2015,1.77,1.77,1.71,1.77,3081,5279
05.11.2015,1.79,1.83,1.79,1.79,1863,3370
04.11.2015,1.79,1.79,1.79,1.79,260,465
02.11.2015,1.77,1.77,1.75,1.77,5613,9862
30.10.2015,1.79,1.79,1.77,1.77,1790,3172
29.10.2015,1.77,1.79,1.68,1.77,4346,7541
28.10.2015,1.65,1.79,1.65,1.78,5391,9373
27.10.2015,1.65,1.65,1.65,1.65,70,116
26.10.2015,1.67,1.67,1.60,1.64,7490,12415
23.10.2015,1.63,1.79,1.60,1.79,7530,12307
22.10.2015,1.65,1.69,1.57,1.69,3537,5566
21.10.2015,1.83,1.83,1.65,1.65,24313,40482
20.10.2015,1.81,1.83,1.81,1.83,1050,1919
19.10.2015,1.60,1.78,1.60,1.78,29530,47702
16.10.2015,1.64,1.64,1.60,1.62,21443,34757
15.10.2015,1.58,1.60,1.58,1.60,2235,3535
14.10.2015,1.55,1.60,1.55,1.60,1424,2238
13.10.2015,1.62,1.69,1.46,1.60,21155,33314
12.10.2015,1.68,1.70,1.58,1.70,18644,30593
09.10.2015,1.70,1.75,1.58,1.70,14396,23850
08.10.2015,1.70,1.70,1.70,1.70,24,41
07.10.2015,1.69,1.70,1.58,1.70,180,289
06.10.2015,1.69,1.69,1.62,1.69,124,203
05.10.2015,1.69,1.69,1.69,1.69,12,20
02.10.2015,1.69,1.69,1.69,1.69,50,85
01.10.2015,1.69,1.69,1.69,1.69,10,17
30.09.2015,1.69,1.69,1.61,1.69,145,237
29.09.2015,1.69,1.69,1.69,1.69,15,25
28.09.2015,1.69,1.69,1.69,1.69,4,7
25.09.2015,1.63,1.69,1.63,1.69,270,449
22.09.2015,1.72,1.72,1.58,1.67,3779,6294
21.09.2015,1.73,1.73,1.73,1.73,12,21
18.09.2015,1.63,1.79,1.63,1.73,35225,60736
17.09.2015,1.58,1.63,1.58,1.63,11085,17863
16.09.2015,1.51,1.58,1.51,1.58,610,931
15.09.2015,1.53,1.58,1.51,1.58,401,614
10.09.2015,1.58,1.58,1.58,1.58,15,24
09.09.2015,1.50,1.58,1.50,1.58,604,916
07.09.2015,1.50,1.58,1.50,1.58,203,305
04.09.2015,1.55,1.55,1.55,1.55,5302,8218
03.09.2015,1.52,1.55,1.43,1.55,1585,2385
01.09.2015,1.58,1.58,1.58,1.58,3,5
28.08.2015,1.54,1.54,1.54,1.54,191,294
26.08.2015,1.55,1.55,1.49,1.55,1849,2863
25.08.2015,1.51,1.51,1.50,1.50,200,301
24.08.2015,1.52,1.52,1.52,1.52,3998,6077
21.08.2015,1.59,1.59,1.52,1.52,2015,3076
20.08.2015,1.58,1.58,1.58,1.58,80,126
19.08.2015,1.55,1.58,1.52,1.58,354,543
18.08.2015,1.58,1.58,1.58,1.58,5,8
17.08.2015,1.59,1.59,1.52,1.55,5536,8453
10.08.2015,1.61,1.62,1.59,1.62,228,365
06.08.2015,1.62,1.64,1.62,1.64,1803,2921
03.08.2015,1.60,1.64,1.60,1.64,3002,4803
31.07.2015,1.60,1.64,1.56,1.64,655,1028
29.07.2015,1.65,1.67,1.56,1.67,8224,13065
28.07.2015,1.65,1.65,1.65,1.65,50,83
27.07.2015,1.65,1.65,1.65,1.65,50,83
23.07.2015,1.60,1.65,1.57,1.65,1484,2374
22.07.2015,1.61,1.61,1.61,1.61,2195,3534
21.07.2015,1.65,1.65,1.60,1.61,1290,2082
14.07.2015,1.62,1.67,1.57,1.67,515,823
13.07.2015,1.62,1.69,1.61,1.69,725,1176
10.07.2015,1.61,1.67,1.61,1.67,1697,2819
09.07.2015,1.62,1.76,1.61,1.76,6364,10449
08.07.2015,1.68,1.68,1.64,1.64,434,719
07.07.2015,1.71,1.71,1.71,1.71,16,27
06.07.2015,1.72,1.72,1.72,1.72,635,1092
03.07.2015,1.71,1.71,1.71,1.71,110,188
02.07.2015,1.73,1.73,1.70,1.71,8418,14431
01.07.2015,1.69,1.69,1.69,1.69,2042,3451
30.06.2015,1.77,1.77,1.77,1.77,2,4
29.06.2015,1.67,1.75,1.64,1.75,1141,1933
26.06.2015,1.67,1.71,1.67,1.71,105,176
25.06.2015,1.82,1.82,1.67,1.67,15125,25784
24.06.2015,1.83,1.83,1.83,1.83,687,1257
