Date,Open,Max,Min,Close,Volume,TradeSize
28.09.2018,3.82,3.90,3.80,3.80,8384,32381
27.09.2018,3.83,3.84,3.75,3.75,5023,19074
26.09.2018,3.74,3.84,3.72,3.73,7452,28236
25.09.2018,3.75,3.85,3.60,3.75,15273,56231
24.09.2018,3.70,3.80,3.64,3.64,7127,26601
21.09.2018,3.61,3.74,3.61,3.65,3921,14329
20.09.2018,3.75,3.83,3.65,3.74,5288,19838
19.09.2018,3.65,3.74,3.61,3.73,4672,17252
18.09.2018,3.78,3.78,3.65,3.65,1175,4308
17.09.2018,3.75,3.82,3.62,3.62,7687,29046
14.09.2018,3.67,3.79,3.67,3.76,2775,10286
13.09.2018,3.52,3.70,3.52,3.60,1688,6096
12.09.2018,3.79,3.80,3.54,3.54,3513,12867
11.09.2018,3.66,3.80,3.39,3.80,20299,73281
10.09.2018,3.71,3.81,3.66,3.66,7941,29628
07.09.2018,3.75,3.84,3.65,3.69,15329,56816
06.09.2018,3.70,3.86,3.52,3.62,16367,59998
05.09.2018,3.70,3.85,3.50,3.60,11336,41534
04.09.2018,4.08,4.09,3.70,3.72,49476,187483
03.09.2018,4.10,4.10,3.96,3.96,13434,54137
31.08.2018,3.96,4.09,3.76,3.91,21633,84413
30.08.2018,3.81,4.00,3.81,3.97,4051,15691
29.08.2018,3.99,4.10,3.71,4.00,31271,121912
28.08.2018,4.09,4.09,3.92,4.04,4427,17818
27.08.2018,4.07,4.15,3.94,4.07,14096,56575
24.08.2018,4.00,4.18,4.00,4.00,18778,77102
23.08.2018,3.70,3.98,3.70,3.97,79102,308427
22.08.2018,3.56,3.90,3.53,3.66,10161,37156
21.08.2018,3.71,3.71,3.45,3.70,8618,30587
20.08.2018,3.90,3.90,3.75,3.75,3389,12905
17.08.2018,3.80,3.94,3.76,3.85,13542,51790
16.08.2018,3.90,3.95,3.80,3.83,16481,63553
14.08.2018,3.69,3.84,3.66,3.83,15035,56580
13.08.2018,3.70,3.73,3.55,3.70,6012,22010
10.08.2018,3.61,3.70,3.50,3.66,5591,20130
09.08.2018,3.73,3.73,3.55,3.67,5739,21019
08.08.2018,3.67,3.75,3.61,3.61,5542,20336
07.08.2018,3.64,3.75,3.53,3.67,12129,44315
06.08.2018,3.77,3.77,3.50,3.64,9159,32993
03.08.2018,3.77,3.98,3.56,3.70,55265,207905
02.08.2018,3.26,3.77,3.25,3.77,72232,251361
01.08.2018,3.19,3.25,3.15,3.25,4905,15621
31.07.2018,3.20,3.26,3.15,3.19,10916,34812
30.07.2018,3.34,3.34,3.18,3.31,6529,21226
27.07.2018,3.31,3.37,3.22,3.34,11725,38955
26.07.2018,3.30,3.34,3.18,3.34,7359,23943
25.07.2018,3.22,3.34,3.21,3.28,14409,47014
24.07.2018,3.07,3.20,3.07,3.20,19429,61127
23.07.2018,3.12,3.17,3.10,3.11,3345,10407
20.07.2018,3.11,3.17,3.10,3.17,9297,29079
19.07.2018,3.17,3.18,3.10,3.15,5828,18266
18.07.2018,3.20,3.20,3.11,3.15,5347,16785
17.07.2018,3.11,3.22,3.11,3.19,5085,16125
16.07.2018,3.19,3.19,3.11,3.16,7075,22258
13.07.2018,3.24,3.26,3.13,3.20,5827,18689
12.07.2018,3.25,3.25,3.13,3.25,5327,16750
11.07.2018,3.19,3.23,3.17,3.20,3324,10585
10.07.2018,3.33,3.33,3.12,3.26,14684,47405
09.07.2018,3.24,3.35,3.24,3.35,2290,7569
06.07.2018,3.41,3.55,3.10,3.29,77206,252171
05.07.2018,3.55,3.57,3.46,3.46,7658,26796
04.07.2018,3.52,3.64,3.36,3.54,36650,128948
03.07.2018,3.19,3.50,3.19,3.50,56005,190701
02.07.2018,3.18,3.20,3.10,3.15,8243,26181
29.06.2018,3.06,3.18,3.02,3.18,14154,44054
28.06.2018,3.05,3.08,3.02,3.02,5813,17682
27.06.2018,3.04,3.05,3.00,3.00,2675,8090
26.06.2018,3.05,3.06,3.00,3.04,8976,27277
25.06.2018,3.02,3.05,3.00,3.05,2599,7810
22.06.2018,3.00,3.04,3.00,3.02,2055,6200
21.06.2018,3.01,3.05,2.99,3.03,12897,38909
20.06.2018,2.99,3.01,2.99,3.01,4762,14270
19.06.2018,2.95,2.99,2.95,2.99,3736,11023
18.06.2018,3.01,3.02,2.96,3.01,6425,19123
15.06.2018,2.96,3.00,2.96,3.00,1337,3988
14.06.2018,2.98,3.07,2.96,2.98,3404,10142
13.06.2018,2.97,3.08,2.97,2.99,5160,15578
12.06.2018,3.02,3.08,2.97,3.05,11384,34391
11.06.2018,2.97,3.02,2.97,3.02,2165,6461
08.06.2018,2.97,3.00,2.91,3.00,5923,17590
07.06.2018,2.90,2.98,2.90,2.97,5678,16584
06.06.2018,2.91,2.91,2.88,2.88,6789,19660
