Date,Open,Max,Min,Close,Volume,TradeSize
02.11.2018,4.55,4.70,4.42,4.60,3355,15201
31.10.2018,4.70,4.70,4.55,4.65,1809,8260
30.10.2018,4.52,4.68,4.52,4.68,2286,10366
29.10.2018,4.47,4.70,4.35,4.70,11426,49752
26.10.2018,4.45,4.45,4.45,4.45,2130,9479
25.10.2018,4.50,4.56,4.40,4.55,2278,10239
24.10.2018,4.44,4.70,4.44,4.59,4878,22074
23.10.2018,4.44,4.57,4.44,4.57,2742,12333
22.10.2018,4.40,4.60,4.40,4.50,4736,21206
19.10.2018,4.38,4.44,4.36,4.44,5876,25725
18.10.2018,4.49,4.50,4.33,4.48,10950,47453
17.10.2018,4.44,4.49,4.33,4.49,5682,25159
16.10.2018,4.40,4.44,4.32,4.44,6154,26809
15.10.2018,4.31,4.40,4.30,4.40,10516,45427
12.10.2018,4.40,4.49,4.31,4.49,4980,21549
11.10.2018,4.46,4.46,4.30,4.30,5004,21535
10.10.2018,4.45,4.49,4.31,4.31,1985,8807
09.10.2018,4.37,4.38,4.37,4.38,10264,44941
08.10.2018,4.39,4.39,4.27,4.38,6548,28080
05.10.2018,4.40,4.40,4.29,4.39,7105,30633
04.10.2018,4.48,4.48,4.32,4.46,7450,32246
03.10.2018,4.48,4.49,4.35,4.49,4642,20230
02.10.2018,4.33,4.50,4.33,4.50,5370,23277
01.10.2018,4.32,4.49,4.30,4.45,55541,245523
28.09.2018,4.49,4.50,4.32,4.50,4160,18027
27.09.2018,4.38,4.50,4.30,4.50,2535,11101
26.09.2018,4.38,4.38,4.25,4.38,39190,170120
25.09.2018,4.37,4.39,4.21,4.39,7175,30441
24.09.2018,4.30,4.40,4.19,4.37,4755,20025
21.09.2018,4.65,4.70,4.20,4.20,162703,698050
20.09.2018,4.42,4.65,4.30,4.64,11325,49290
19.09.2018,4.27,4.42,4.18,4.42,8376,35794
18.09.2018,4.26,4.26,4.10,4.26,6205,25473
17.09.2018,4.25,4.25,4.25,4.25,200,850
14.09.2018,4.24,4.24,4.20,4.24,1890,7955
13.09.2018,4.24,4.24,4.20,4.24,4113,17334
12.09.2018,4.23,4.24,4.17,4.24,3099,13023
11.09.2018,4.21,4.24,4.10,4.23,2770,11506
10.09.2018,4.05,4.18,4.05,4.18,11402,47568
07.09.2018,4.08,4.18,4.03,4.18,2390,9850
06.09.2018,4.15,4.18,4.15,4.18,822,3423
05.09.2018,4.06,4.18,4.06,4.18,4047,16602
04.09.2018,4.16,4.16,4.04,4.16,5005,20649
03.09.2018,4.15,4.16,4.11,4.16,5179,21431
31.08.2018,4.10,4.16,4.10,4.16,1401,5744
30.08.2018,4.19,4.20,4.00,4.16,5214,21185
29.08.2018,4.12,4.20,4.12,4.20,1401,5772
28.08.2018,4.11,4.22,4.04,4.22,55546,228511
27.08.2018,4.09,4.11,4.09,4.11,643,2634
24.08.2018,4.09,4.10,4.01,4.09,2635,10671
23.08.2018,4.07,4.09,4.05,4.09,2303,9356
22.08.2018,4.05,4.05,4.03,4.03,1680,6778
21.08.2018,4.02,4.05,4.01,4.05,3304,13313
20.08.2018,4.04,4.04,4.03,4.03,2420,9757
17.08.2018,4.10,4.10,4.02,4.02,2281,9211
16.08.2018,4.04,4.04,4.03,4.03,2122,8554
14.08.2018,4.02,4.03,4.02,4.03,2748,11069
13.08.2018,4.05,4.12,4.03,4.11,2861,11530
10.08.2018,4.04,4.12,4.04,4.12,2607,10578
09.08.2018,4.13,4.13,4.11,4.12,2570,10569
08.08.2018,4.03,4.15,4.03,4.15,5641,22733
07.08.2018,4.15,4.15,4.11,4.11,2170,8925
06.08.2018,4.07,4.15,4.03,4.15,3151,12804
03.08.2018,4.24,4.24,4.03,4.16,5356,22054
